plz;ort;landkreis;latitude;longitude;fluvial/HQ;AEP;floodrisk
637730;Goldbach;Landkreis Aschaffenburg;5,00087E+16;9,19205E+15;0,031;0,03%;Very Low
637760;Mömbris;Landkreis Aschaffenburg;5,00649E+16;9,15548E+15;0,031;0,03%;Very Low
637760;Mömbris;Landkreis Aschaffenburg;5,00516E+15;9,15388E+15;0,031;0,03%;Very Low
637760;Mömbris;Landkreis Aschaffenburg;5,00859E+15;9,1317E+15;0,031;0,03%;Very Low
637760;Mömbris;Landkreis Aschaffenburg;5,00877E+14;9,16108E+15;0,031;0,03%;Very Low
637760;Mömbris;Landkreis Aschaffenburg;5,00755E+15;9,15539E+15;0,031;0,03%;Very Low
637850;Obernburg am Main;Landkreis Miltenberg;4,98467E+16;9,13225E+15;0,071;0,07%;Very Low
637850;Obernburg am Main;Landkreis Miltenberg;4,98487E+15;9,10447E+15;0,071;0,07%;Very Low
637850;Obernburg am Main;Landkreis Miltenberg;4,97991E+15;9,09396E+15;0,071;0,07%;Very Low
637850;Obernburg am Main;Landkreis Miltenberg;4,97913E+15;9,09548E+15;0,071;0,07%;Very Low
637910;Karlstein am Main;Landkreis Aschaffenburg;5,00401E+15;9,04408E+15;0,031;0,03%;Very Low
637910;Karlstein am Main;Landkreis Aschaffenburg;5,00446E+16;8,99955E+15;0,031;0,03%;Very Low
637910;Karlstein am Main;Landkreis Aschaffenburg;5,0051E+15;9,02427E+15;0,031;0,03%;Very Low
637960;Kahl am Main;Landkreis Aschaffenburg;5,00706E+15;9,00486E+15;0,031;0,03%;Very Low
637960;Kahl am Main;Landkreis Aschaffenburg;5,00883E+16;9,01552E+15;0,031;0,03%;Very Low
637960;Kahl am Main;Landkreis Aschaffenburg;5,00955E+16;9,02679E+15;0,031;0,03%;Very Low
638010;Kleinostheim;Landkreis Aschaffenburg;5,00281E+16;9,10064E+14;0,031;0,03%;Very Low
638010;Kleinostheim;Landkreis Aschaffenburg;5,00241E+16;9,06381E+15;0,031;0,03%;Very Low
638010;Kleinostheim;Landkreis Aschaffenburg;5,00084E+16;9,06509E+15;0,031;0,03%;Very Low
638080;Haibach;Landkreis Aschaffenburg;4,99701E+15;9,19678E+15;0,031;0,03%;Very Low
638080;Haibach;Landkreis Aschaffenburg;4,99435E+15;9,23527E+15;0,031;0,03%;Very Low
638080;Haibach;Landkreis Aschaffenburg;4,99523E+16;9,22558E+14;0,031;0,03%;Very Low
638080;Haibach;Landkreis Aschaffenburg;4,99462E+15;9,22738E+15;0,031;0,03%;Very Low
638110;Stockstadt am Main;Landkreis Aschaffenburg;4,99811E+15;9,04349E+14;0,031;0,03%;Very Low
638110;Stockstadt am Main;Landkreis Aschaffenburg;4,99674E+15;9,0855E+15;0,031;0,03%;Very Low
638110;Stockstadt am Main;Landkreis Aschaffenburg;4,99888E+16;9,02216E+15;0,031;0,03%;Very Low
638140;Mainaschaff;Landkreis Aschaffenburg;4,99915E+15;9,08439E+15;0,031;0,03%;Very Low
638140;Mainaschaff;Landkreis Aschaffenburg;5,00194E+14;9,09186E+15;0,031;0,03%;Very Low
638140;Mainaschaff;Landkreis Aschaffenburg;5,00247E+16;9,1023E+15;0,031;0,03%;Very Low
638140;Mainaschaff;Landkreis Aschaffenburg;4,9992E+16;9,09497E+15;0,031;0,03%;Very Low
638200;Elsenfeld;Landkreis Miltenberg;4,98454E+15;9,19577E+15;0,071;0,07%;Very Low
638200;Elsenfeld;Landkreis Miltenberg;4,98137E+15;9,24243E+15;0,071;0,07%;Very Low
638200;Elsenfeld;Landkreis Miltenberg;4,98121E+15;9,20396E+15;0,071;0,07%;Very Low
638200;Elsenfeld;Landkreis Miltenberg;4,98416E+15;9,22014E+14;0,071;0,07%;Very Low
638260;Geiselbach;Landkreis Aschaffenburg;5,01334E+16;9,20149E+15;0,031;0,03%;Very Low
638280;Kleinkahl;Landkreis Aschaffenburg;5,01176E+16;9,28987E+14;0,031;0,03%;Very Low
638290;Krombach;Landkreis Aschaffenburg;5,00999E+15;9,20037E+15;0,031;0,03%;Very Low
638340;Sulzbach am Main;Landkreis Miltenberg;4,99168E+15;9,18745E+15;0,071;0,07%;Very Low
638340;Sulzbach am Main;Landkreis Miltenberg;4,99298E+15;9,17008E+15;0,071;0,07%;Very Low
638340;Sulzbach am Main;Landkreis Miltenberg;4,99193E+15;9,20017E+15;0,071;0,07%;Very Low
638390;Kleinwallstadt;Landkreis Miltenberg;4,98571E+16;9,17343E+15;0,071;0,07%;Very Low
638390;Kleinwallstadt;Landkreis Miltenberg;4,98618E+15;9,21841E+15;0,071;0,07%;Very Low
638400;Hausen;Landkreis Miltenberg;4,9876E+15;9,22828E+15;0,071;0,07%;Very Low
638430;Niedernberg;Landkreis Miltenberg;4,9889E+15;9,10293E+15;0,071;0,07%;Very Low
638430;Niedernberg;Landkreis Miltenberg;4,98865E+15;9,11403E+15;0,071;0,07%;Very Low
638460;Laufach;Landkreis Aschaffenburg;4,99992E+15;9,33968E+15;0,031;0,03%;Very Low
638460;Laufach;Landkreis Aschaffenburg;4,99971E+15;9,33328E+15;0,031;0,03%;Very Low
638490;Leidersbach;Landkreis Miltenberg;4,98825E+15;9,25808E+15;0,071;0,07%;Very Low
638490;Leidersbach;Landkreis Miltenberg;4,99224E+16;9,26853E+15;0,071;0,07%;Very Low
638530;Mömlingen;Landkreis Miltenberg;4,98623E+15;9,11104E+15;0,071;0,07%;Very Low
638530;Mömlingen;Landkreis Miltenberg;4,98545E+16;9,0744E+15;0,071;0,07%;Very Low
638560;Bessenbach;Landkreis Aschaffenburg;4,99785E+15;9,23842E+15;0,031;0,03%;Very Low
638560;Bessenbach;Landkreis Aschaffenburg;4,9995E+15;9,27954E+15;0,031;0,03%;Very Low
638570;Waldaschaff;Landkreis Aschaffenburg;4,99796E+14;9,30104E+15;0,031;0,03%;Very Low
638570;Waldaschaff;Landkreis Aschaffenburg;4,99631E+16;9,31465E+15;0,031;0,03%;Very Low
638600;Rothenbuch;Landkreis Aschaffenburg;4,99882E+15;9,40051E+15;0,031;0,03%;Very Low
638630;Eschau;Landkreis Miltenberg;4,98495E+15;9,27725E+15;0,071;0,07%;Very Low
638630;Eschau;Landkreis Miltenberg;4,98325E+15;9,33322E+15;0,071;0,07%;Very Low
638640;Glattbach;Landkreis Aschaffenburg;5,00059E+15;9,14853E+15;0,031;0,03%;Very Low
638670;Johannesberg;Landkreis Aschaffenburg;5,00223E+15;9,14547E+15;0,031;0,03%;Very Low
638670;Johannesberg;Landkreis Aschaffenburg;5,00434E+14;9,10256E+15;0,031;0,03%;Very Low
638680;Großwallstadt;Landkreis Miltenberg;4,98819E+15;9,14727E+15;0,071;0,07%;Very Low
638680;Großwallstadt;Landkreis Miltenberg;4,98711E+15;9,11023E+13;0,071;0,07%;Very Low
638690;Heigenbrücken;Landkreis Aschaffenburg;5,0037E+15;9,36659E+15;0,031;0,03%;Very Low
638720;Heimbuchenthal;Landkreis Aschaffenburg;4,98995E+16;9,3304E+15;0,031;0,03%;Very Low
638740;Dammbach;Landkreis Aschaffenburg;4,9876E+15;9,37457E+15;0,031;0,03%;Very Low
638750;Mespelbrunn;Landkreis Aschaffenburg;4,99055E+15;9,3117E+15;0,031;0,03%;Very Low
638770;Sailauf;Landkreis Aschaffenburg;5,00287E+15;9,27428E+15;0,031;0,03%;Very Low
638790;Weibersbrunn;Landkreis Aschaffenburg;4,99028E+15;9,40636E+15;0,031;0,03%;Very Low
639060;Erlenbach am Main;Landkreis Miltenberg;4,98269E+15;9,14992E+14;0,071;0,07%;Very Low
639060;Erlenbach am Main;Landkreis Miltenberg;4,97981E+14;9,17687E+15;0,071;0,07%;Very Low
639060;Erlenbach am Main;Landkreis Miltenberg;4,98148E+14;9,14593E+15;0,071;0,07%;Very Low
639060;Erlenbach am Main;Landkreis Miltenberg;4,98188E+15;9,16069E+15;0,071;0,07%;Very Low
639110;Klingenberg am Main;Landkreis Miltenberg;4,97616E+15;9,17202E+15;0,071;0,07%;Very Low
639110;Klingenberg am Main;Landkreis Miltenberg;4,9756E+16;9,15352E+15;0,071;0,07%;Very Low
639110;Klingenberg am Main;Landkreis Miltenberg;4,97707E+16;9,16072E+15;0,071;0,07%;Very Low
639200;Großheubach;Landkreis Miltenberg;4,97236E+15;9,22364E+15;0,071;0,07%;Very Low
639200;Großheubach;Landkreis Miltenberg;4,9719E+16;9,25436E+15;0,071;0,07%;Very Low
639240;Kleinheubach;Landkreis Miltenberg;4,97159E+16;9,18017E+15;0,071;0,07%;Very Low
639240;Kleinheubach;Landkreis Miltenberg;4,97309E+15;9,147E+15;0,071;0,07%;Very Low
639240;Rüdenau;Landkreis Miltenberg;4,97101E+16;9,16019E+15;0,071;0,07%;Very Low
639240;Rüdenau;Landkreis Miltenberg;4,97078E+14;9,15799E+15;0,071;0,07%;Very Low
639250;Laudenbach;Landkreis Miltenberg;4,97412E+15;9,15362E+15;0,071;0,07%;Very Low
639270;Bürgstadt;Landkreis Miltenberg;4,9725E+15;9,33921E+15;0,071;0,07%;Very Low
639270;Bürgstadt;Landkreis Miltenberg;4,97131E+15;9,29251E+15;0,071;0,07%;Very Low
639280;Eichenbühl;Landkreis Miltenberg;4,96745E+15;9,37363E+15;0,071;0,07%;Very Low
639300;Neunkirchen;Landkreis Miltenberg;4,97081E+16;9,41535E+15;0,071;0,07%;Very Low
639310;Kirchzell;Landkreis Miltenberg;4,95997E+15;9,14062E+15;0,071;0,07%;Very Low
639330;Mönchberg;Landkreis Miltenberg;4,97898E+15;9,2694E+15;0,071;0,07%;Very Low
639340;Röllbach;Landkreis Miltenberg;4,97572E+16;9,26746E+15;0,071;0,07%;Very Low
639360;Schneeberg;Landkreis Miltenberg;4,96227E+15;9,26259E+15;0,071;0,07%;Very Low
639370;Weilbach;Landkreis Miltenberg;4,96727E+16;9,18585E+15;0,071;0,07%;Very Low
639390;Wörth am Main;Landkreis Miltenberg;4,97655E+15;9,11913E+15;0,071;0,07%;Very Low
639390;Wörth am Main;Landkreis Miltenberg;4,97749E+16;9,14042E+15;0,071;0,07%;Very Low
803310;München;;4,81319E+15;1,15713E+15;0,07;0,07%;Very Low
803310;München;;4,81378E+15;1,1572E+16;0,07;0,07%;Very Low
803330;München;;4,8142E+16;1,15665E+16;0,07;0,07%;Very Low
803330;München;;4,8144E+15;1,15639E+16;0,07;0,07%;Very Low
803330;München;;4,81446E+16;1,15743E+16;0,07;0,07%;Very Low
803330;München;;4,81442E+15;1,15653E+16;0,07;0,07%;Very Low
803330;München;;4,81456E+15;1,15727E+16;0,07;0,07%;Very Low
803350;München;;4,81474E+15;1,15588E+16;0,07;0,07%;Very Low
803350;München;;4,81439E+15;1,15556E+15;0,07;0,07%;Very Low
803350;München;;4,81434E+15;1,15562E+16;0,07;0,07%;Very Low
803350;München;;4,81395E+16;1,15556E+16;0,07;0,07%;Very Low
803360;München;;4,8128E+15;1,15469E+16;0,07;0,07%;Very Low
803360;München;;4,81345E+16;1,15509E+16;0,07;0,07%;Very Low
803360;München;;4,81339E+16;1,15474E+16;0,07;0,07%;Very Low
803370;München;;4,8126E+15;1,15602E+16;0,07;0,07%;Very Low
803370;München;;4,81285E+16;1,15627E+15;0,07;0,07%;Very Low
803370;München;;4,81263E+16;1,15613E+16;0,07;0,07%;Very Low
803370;München;;4,81256E+15;1,15539E+16;0,07;0,07%;Very Low
803370;München;;4,81312E+15;1,15631E+15;0,07;0,07%;Very Low
803370;München;;4,81241E+14;1,15478E+14;0,07;0,07%;Very Low
803390;München;;4,81287E+15;1,15389E+15;0,07;0,07%;Very Low
803390;München;;4,81404E+16;1,15458E+16;0,07;0,07%;Very Low
803390;München;;4,81351E+16;1,15471E+16;0,07;0,07%;Very Low
803390;München;;4,81384E+14;1,15495E+16;0,07;0,07%;Very Low
803390;München;;4,81329E+15;1,1538E+16;0,07;0,07%;Very Low
803390;München;;4,81395E+15;1,15333E+16;0,07;0,07%;Very Low
803390;München;;4,81367E+16;1,15437E+16;0,07;0,07%;Very Low
803390;München;;4,81323E+16;1,15332E+15;0,07;0,07%;Very Low
803390;München;;4,81353E+16;1,15331E+16;0,07;0,07%;Very Low
803390;München;;4,81386E+16;1,15453E+16;0,07;0,07%;Very Low
804690;München;;4,81341E+15;1,15792E+16;0,07;0,07%;Very Low
804690;München;;4,81257E+15;1,1567E+16;0,07;0,07%;Very Low
804690;München;;4,81254E+16;1,15724E+15;0,07;0,07%;Very Low
804690;München;;4,81258E+15;1,15679E+16;0,07;0,07%;Very Low
804690;München;;4,81285E+16;1,15682E+15;0,07;0,07%;Very Low
804690;München;;4,81211E+15;1,15598E+16;0,07;0,07%;Very Low
804690;München;;4,812E+15;1,156E+16;0,07;0,07%;Very Low
804690;München;;4,81315E+15;1,15806E+15;0,07;0,07%;Very Low
804690;München;;4,81304E+15;1,15805E+15;0,07;0,07%;Very Low
804690;München;;4,81192E+15;1,15616E+15;0,07;0,07%;Very Low
805380;München;;4,81493E+15;1,15955E+16;0,07;0,07%;Very Low
805380;München;;4,81535E+16;1,15952E+16;0,07;0,07%;Very Low
805380;München;;4,81439E+15;1,15918E+15;0,07;0,07%;Very Low
805380;München;;4,81544E+16;1,15917E+15;0,07;0,07%;Very Low
805380;München;;4,81406E+15;1,15936E+16;0,07;0,07%;Very Low
805390;München;;4,81469E+15;1,15827E+16;0,07;0,07%;Very Low
806340;München;;4,81505E+15;1,15263E+16;0,07;0,07%;Very Low
806340;München;;4,81571E+15;1,15362E+16;0,07;0,07%;Very Low
806340;München;;4,81515E+14;1,15266E+16;0,07;0,07%;Very Low
806340;München;;4,81557E+15;1,1536E+16;0,07;0,07%;Very Low
806340;München;;4,81509E+16;1,15336E+16;0,07;0,07%;Very Low
806340;München;;4,81455E+16;1,15253E+16;0,07;0,07%;Very Low
806340;München;;4,81504E+16;1,15265E+16;0,07;0,07%;Very Low
806340;München;;4,81494E+14;1,15346E+16;0,07;0,07%;Very Low
806360;München;;4,81415E+15;1,1542E+16;0,07;0,07%;Very Low
806360;München;;4,81517E+13;1,15407E+16;0,07;0,07%;Very Low
806360;München;;4,81484E+16;1,15382E+16;0,07;0,07%;Very Low
806360;München;;4,81526E+15;1,15438E+16;0,07;0,07%;Very Low
806360;München;;4,81408E+15;1,15477E+15;0,07;0,07%;Very Low
806360;München;;4,81537E+15;1,1548E+16;0,07;0,07%;Very Low
806360;München;;4,81423E+15;1,15485E+16;0,07;0,07%;Very Low
806360;München;;4,8157E+15;1,15441E+16;0,07;0,07%;Very Low
806360;München;;4,81561E+15;1,15422E+15;0,07;0,07%;Very Low
806370;München;;4,81606E+16;1,15354E+16;0,07;0,07%;Very Low
806370;München;;4,81658E+15;1,15362E+16;0,07;0,07%;Very Low
806370;München;;4,81692E+15;1,15355E+16;0,07;0,07%;Very Low
806370;München;;4,81629E+15;1,15413E+16;0,07;0,07%;Very Low
806370;München;;4,81668E+16;1,15385E+14;0,07;0,07%;Very Low
806370;München;;4,81704E+16;1,15378E+15;0,07;0,07%;Very Low
806370;München;;4,81575E+15;1,1533E+16;0,07;0,07%;Very Low
806370;München;;4,81591E+15;1,1531E+16;0,07;0,07%;Very Low
806370;München;;4,81671E+16;1,15356E+16;0,07;0,07%;Very Low
806380;München;;4,81683E+15;1,1524E+16;0,07;0,07%;Very Low
806380;München;;4,81648E+16;1,1509E+15;0,07;0,07%;Very Low
806380;München;;4,81644E+15;1,14999E+16;0,07;0,07%;Very Low
806380;München;;4,8163E+15;1,15252E+16;0,07;0,07%;Very Low
806390;München;;4,81491E+15;1,15146E+16;0,07;0,07%;Very Low
806390;München;;4,81557E+15;1,1512E+16;0,07;0,07%;Very Low
806390;München;;4,81502E+15;1,14972E+16;0,07;0,07%;Very Low
806390;München;;4,81465E+16;1,15036E+16;0,07;0,07%;Very Low
806390;München;;4,81549E+16;1,15219E+16;0,07;0,07%;Very Low
806390;München;;4,8144E+15;1,15198E+16;0,07;0,07%;Very Low
806390;München;;4,81455E+15;1,15168E+16;0,07;0,07%;Very Low
806390;München;;4,81485E+15;1,15024E+15;0,07;0,07%;Very Low
806860;München;;4,81312E+16;1,15236E+16;0,07;0,07%;Very Low
806860;München;;4,81311E+16;1,15152E+16;0,07;0,07%;Very Low
806860;München;;4,81313E+15;1,15186E+16;0,07;0,07%;Very Low
806860;München;;4,8136E+16;1,15076E+16;0,07;0,07%;Very Low
806860;München;;4,81315E+15;1,15073E+16;0,07;0,07%;Very Low
806860;München;;4,81249E+16;1,15175E+16;0,07;0,07%;Very Low
806860;München;;4,81348E+15;1,15034E+15;0,07;0,07%;Very Low
806860;München;;4,81266E+15;1,151E+16;0,07;0,07%;Very Low
806870;München;;4,81418E+15;1,14985E+16;0,07;0,07%;Very Low
806870;München;;4,81437E+16;1,14899E+16;0,07;0,07%;Very Low
806870;München;;4,81452E+15;1,14849E+16;0,07;0,07%;Very Low
806870;München;;4,81394E+16;1,15035E+16;0,07;0,07%;Very Low
806870;München;;4,81456E+16;1,15E+16;0,07;0,07%;Very Low
806870;München;;4,81372E+14;1,15208E+16;0,07;0,07%;Very Low
806870;München;;4,81393E+14;1,15047E+16;0,07;0,07%;Very Low
806870;München;;4,81376E+15;1,1515E+16;0,07;0,07%;Very Low
806870;München;;4,81443E+16;1,14999E+15;0,07;0,07%;Very Low
806890;München;;4,81237E+16;1,1473E+16;0,07;0,07%;Very Low
806890;München;;4,81337E+14;1,14991E+15;0,07;0,07%;Very Low
806890;München;;4,81326E+13;1,14878E+16;0,07;0,07%;Very Low
806890;München;;4,81243E+15;1,14649E+16;0,07;0,07%;Very Low
806890;München;;4,81332E+15;1,14819E+16;0,07;0,07%;Very Low
806890;München;;4,81319E+15;1,14926E+16;0,07;0,07%;Very Low
806890;München;;4,81276E+15;1,14724E+15;0,07;0,07%;Very Low
806890;München;;4,81354E+15;1,14766E+15;0,07;0,07%;Very Low
806890;München;;4,81355E+15;1,14805E+16;0,07;0,07%;Very Low
806890;München;;4,81376E+15;1,14799E+16;0,07;0,07%;Very Low
806890;München;;4,81354E+16;1,14882E+16;0,07;0,07%;Very Low
807960;München;;4,81631E+16;1,15735E+15;0,07;0,07%;Very Low
807960;München;;4,81617E+15;1,1565E+16;0,07;0,07%;Very Low
807960;München;;4,81602E+15;1,15686E+16;0,07;0,07%;Very Low
807960;München;;4,81644E+14;1,15682E+16;0,07;0,07%;Very Low
807960;München;;4,8165E+15;1,1573E+15;0,07;0,07%;Very Low
807960;München;;4,81644E+14;1,15647E+16;0,07;0,07%;Very Low
807970;München;;4,81629E+14;1,15558E+16;0,07;0,07%;Very Low
807970;München;;4,81577E+15;1,15521E+16;0,07;0,07%;Very Low
807970;München;;4,81577E+15;1,15587E+16;0,07;0,07%;Very Low
807970;München;;4,81692E+16;1,15606E+16;0,07;0,07%;Very Low
807970;München;;4,81547E+15;1,1558E+16;0,07;0,07%;Very Low
807970;München;;4,81675E+15;1,15633E+16;0,07;0,07%;Very Low
807970;München;;4,8167E+16;1,15482E+16;0,07;0,07%;Very Low
807980;München;;4,81545E+15;1,15675E+16;0,07;0,07%;Very Low
807980;München;;4,81521E+16;1,1564E+16;0,07;0,07%;Very Low
807980;München;;4,81542E+15;1,15681E+16;0,07;0,07%;Very Low
807980;München;;4,81559E+15;1,15695E+15;0,07;0,07%;Very Low
807980;München;;4,8156E+15;1,15647E+16;0,07;0,07%;Very Low
807990;München;;4,81503E+15;1,15781E+16;0,07;0,07%;Very Low
807990;München;;4,81478E+15;1,15766E+15;0,07;0,07%;Very Low
807990;München;;4,81533E+15;1,1578E+16;0,07;0,07%;Very Low
807990;München;;4,8152E+16;1,15711E+16;0,07;0,07%;Very Low
807990;München;;4,81494E+16;1,15753E+16;0,07;0,07%;Very Low
807990;München;;4,81485E+15;1,15789E+16;0,07;0,07%;Very Low
808010;München;;4,81579E+15;1,15774E+16;0,07;0,07%;Very Low
808010;München;;4,81567E+16;1,15795E+16;0,07;0,07%;Very Low
808010;München;;4,81555E+16;1,15778E+16;0,07;0,07%;Very Low
808010;München;;4,81593E+15;1,15804E+15;0,07;0,07%;Very Low
808020;München;;4,81598E+16;1,15971E+15;0,07;0,07%;Very Low
808020;München;;4,81598E+15;1,15866E+16;0,07;0,07%;Very Low
808020;München;;4,81646E+15;1,15942E+16;0,07;0,07%;Very Low
808020;München;;4,81604E+15;1,15941E+16;0,07;0,07%;Very Low
808030;München;;4,8167E+15;1,15846E+16;0,07;0,07%;Very Low
808030;München;;4,81633E+15;1,15853E+16;0,07;0,07%;Very Low
808030;München;;4,81652E+15;1,15793E+14;0,07;0,07%;Very Low
808030;München;;4,81637E+15;1,15831E+16;0,07;0,07%;Very Low
808040;München;;4,81706E+15;1,15756E+16;0,07;0,07%;Very Low
808040;München;;4,81777E+15;1,15761E+16;0,07;0,07%;Very Low
808040;München;;4,81769E+15;1,15787E+15;0,07;0,07%;Very Low
808040;München;;4,81756E+16;1,15835E+16;0,07;0,07%;Very Low
808040;München;;4,81737E+15;1,15839E+15;0,07;0,07%;Very Low
808040;München;;4,81727E+16;1,15824E+16;0,07;0,07%;Very Low
808050;München;;4,81741E+15;1,16114E+16;0,07;0,07%;Very Low
808050;München;;4,81839E+16;1,16229E+16;0,07;0,07%;Very Low
808050;München;;4,81771E+15;1,16026E+16;0,07;0,07%;Very Low
808050;München;;4,81689E+15;1,16104E+16;0,07;0,07%;Very Low
808050;München;;4,81813E+15;1,16069E+14;0,07;0,07%;Very Low
808050;München;;4,81742E+15;1,16182E+16;0,07;0,07%;Very Low
808050;München;;4,8162E+16;1,16022E+16;0,07;0,07%;Very Low
808070;München;;4,81846E+15;1,15973E+15;0,07;0,07%;Very Low
808070;München;;4,81805E+15;1,15838E+16;0,07;0,07%;Very Low
808070;München;;4,81869E+15;1,1585E+16;0,07;0,07%;Very Low
808070;München;;4,81781E+15;1,15695E+15;0,07;0,07%;Very Low
808070;München;;4,8186E+16;1,15976E+16;0,07;0,07%;Very Low
808070;München;;4,81798E+16;1,15863E+16;0,07;0,07%;Very Low
808070;München;;4,81852E+16;1,15766E+16;0,07;0,07%;Very Low
808070;München;;4,81815E+16;1,15706E+16;0,07;0,07%;Very Low
808070;München;;4,81818E+15;1,15959E+16;0,07;0,07%;Very Low
808070;München;;4,81855E+15;1,15989E+16;0,07;0,07%;Very Low
808090;München;;4,81873E+15;1,1552E+15;0,07;0,07%;Very Low
808090;München;;4,81754E+15;1,15657E+16;0,07;0,07%;Very Low
808090;München;;4,81893E+16;1,15552E+16;0,07;0,07%;Very Low
808090;München;;4,81769E+16;1,15461E+16;0,07;0,07%;Very Low
808090;München;;4,81867E+15;1,15431E+16;0,07;0,07%;Very Low
808090;München;;4,81836E+14;1,15525E+15;0,07;0,07%;Very Low
808090;München;;4,81726E+14;1,15613E+15;0,07;0,07%;Very Low
808090;München;;4,81742E+16;1,15635E+16;0,07;0,07%;Very Low
808090;München;;4,81759E+14;1,15444E+16;0,07;0,07%;Very Low
809330;München;;4,82115E+15;1,15628E+16;0,07;0,07%;Very Low
