ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Ueberschwemmungstiefe;Schadensfaktor;Energieklasse;Quadratmeterpreise;wohnflaeche;aktueller_immobilienwert;aktuelles_LtV;darlehenbetrag;Risikogewicht;immobilienwert_check;darlehenbetrag_check;ID
Gaukönigshofen;Landkreis Würzburg;4,96303E+16;1,00067E+14;;0.0;very low;0;0;A+;1571.73;142.66;224226.04;0.65;144943.77;0,25;True;True;38
Leinach;Landkreis Würzburg;4,98284E+15;9,82056E+15;;0.0;very low;0;0;D;1571.73;154.57;242941.42;0.57;139119.13;0,2;True;True;39
Roßtal;Landkreis Fürth;4,93877E+15;1,09245E+16;;0.0;very low;0;0;E;2393.48;84.49;202230.8;0.61;123644.0;0,25;True;True;40
Roßtal;Landkreis Fürth;4,94101E+15;1,08587E+16;;0.0;very low;0;0;A;2393.48;128.07;306526.66;0.61;186553.24;0,3;True;True;41
Roßtal;Landkreis Fürth;4,93744E+15;1,0869E+16;;0.0;very low;0;0;C;2393.48;157.37;376672.21;0.55;207013.22;0,2;True;True;42
Großhabersdorf;Landkreis Fürth;4,94083E+15;1,08147E+16;;0.0;very low;0;0;G;2393.48;146.54;350729.63;0.67;233751.96;0,2;True;True;43
Burgthann;Landkreis Nürnberger Land;4,93284E+14;1,13817E+16;;0.0;very low;0;0;B;1864.54;160.53;299317.56;0.63;187162.62;0,2;True;True;44
Burgthann;Landkreis Nürnberger Land;4,93324E+15;1,13134E+16;;0.0;very low;0;0;G;1864.54;82.33;153506.26;0.42;64561.69;0,2;True;True;45
Burgthann;Landkreis Nürnberger Land;4,93569E+15;1,13083E+16;;0.0;very low;0;0;C;1864.54;146.91;273928.7;0.65;177752.01;0,3;True;True;46
Allersberg;Landkreis Roth;4,92442E+15;1,12603E+16;;0.0;very low;0;0;H;1888.46;122.04;230462.04;0.57;132121.48;0,25;True;True;47
Allersberg;Landkreis Roth;4,92533E+12;1,12604E+16;;0.0;very low;0;0;C;1888.46;83.44;157579.21;0.73;114422.03;0,2;True;True;48
Pyrbaum;Landkreis Neumarkt in der Oberpfalz;4,9291E+13;1,12652E+15;;0.0;very low;0;0;D;1567.05;84.82;132912.13;0.66;87062.46;0,2;True;True;49
Pyrbaum;Landkreis Neumarkt in der Oberpfalz;4,92994E+15;1,13075E+16;;0.0;very low;0;0;D;1567.05;156.72;245593.11;0.75;184194.83;0,25;True;True;50
Dasing;Landkreis Aichach-Friedberg;4,83755E+15;1,10383E+16;;0.0;very low;0;0;G;2333.67;84.6;197425.11;0.6;119236.49;0,25;True;True;51
Wildpoldsried;Landkreis Oberallgäu;4,77864E+15;1,03976E+16;;0.0;very low;0;0;H;2522.98;153.88;388245.91;0.75;291184.43;0,2;True;True;52
Haldenwang;Landkreis Oberallgäu;4,78055E+15;1,03421E+15;;0.0;very low;0;0;G;2522.98;148.24;373995.22;0.68;254101.41;0,25;True;True;53
Collenberg;Landkreis Miltenberg;4,97871E+15;9,32577E+15;;0.0;very low;0;0;C;1448.46;132.82;192386.65;0.62;119979.64;0,2;True;True;54
Babenhausen;Landkreis Unterallgäu;4,81545E+15;1,0214E+16;;0.0;very low;0;0;C;1829.69;80.0;146375.47;0.68;100156.77;0,2;True;True;55
Erkheim;Landkreis Unterallgäu;4,80529E+15;1,0321E+16;;0.0;very low;0;0;D;1829.69;123.04;225116.32;0.57;127755.22;0,2;True;True;56
Boos;Landkreis Unterallgäu;4,80869E+14;1,02254E+16;;0.0;very low;0;0;C;1829.69;80.09;146533.19;0.66;97304.76;0,3;True;True;57
Biessenhofen;Landkreis Ostallgäu;4,78357E+15;1,06483E+15;;0.0;very low;0;0;A+;2032.01;80.0;162560.82;0.7;113747.31;0,2;True;True;58
Mauerstetten;Landkreis Ostallgäu;4,78901E+15;1,06774E+16;;0.0;very low;0;0;G;2032.01;80.0;162560.82;0.65;106198.36;0,3;True;True;59
Stöttwang;Landkreis Ostallgäu;4,78612E+16;1,06866E+15;;0.0;very low;0;0;A+;2032.01;107.56;218556.58;0.72;156324.55;0,2;True;True;60
Germaringen;Landkreis Ostallgäu;4,79552E+13;1,06836E+15;;0.0;very low;0;0;H;2032.01;122.34;248596.7;0.73;182361.02;0,2;True;True;61
Pforzen;Landkreis Ostallgäu;4,79404E+15;1,05998E+16;;0.0;very low;0;0;C;2032.01;84.41;171530.67;0.49;83866.78;0,2;True;True;62
Markt Rettenbach;Landkreis Unterallgäu;4,79569E+16;1,03589E+16;;0.0;very low;0;0;E;1829.69;120.03;219626.8;0.61;134884.26;0,25;True;True;63
Ottobeuren;Landkreis Unterallgäu;4,79444E+15;1,03407E+14;;0.0;very low;0;0;C;1829.69;80.0;146375.47;0.6;87394.07;0,3;True;True;64
Ottobeuren;Landkreis Unterallgäu;4,79346E+16;1,02792E+16;;0.0;very low;0;0;F;1829.69;80.0;146375.47;0.68;98868.8;0,2;True;True;65
Wolfertschwenden;Landkreis Unterallgäu;4,79114E+15;1,02481E+16;;0.0;very low;0;0;H;1829.69;83.57;152915.12;0.73;111605.86;0,3;True;True;66
Buxheim;Landkreis Unterallgäu;4,80036E+15;1,01226E+16;;0.0;very low;0;0;F;1829.69;134.32;245764.5;0.43;105810.49;0,25;True;True;67
Woringen;Landkreis Unterallgäu;4,79258E+16;1,0197E+16;;0.0;very low;0;0;D;1829.69;98.15;179591.28;0.66;117695.94;0,3;True;True;68
Bad Grönenbach;Landkreis Unterallgäu;4,78713E+15;1,02162E+16;;0.0;very low;0;0;B;1829.69;110.63;202423.32;0.66;132900.53;0,2;True;True;69
Würzburg;;4,97783E+15;9,93596E+15;;0.0;very low;0;0;E;1571.73;84.16;132278.7;0.68;89413.2;0,2;True;True;70
Würzburg;;4,97858E+14;9,93336E+14;;0.0;very low;0;0;H;1571.73;80.0;125738.11;0.42;53240.19;0,3;True;True;71
Würzburg;;4,97801E+15;9,93906E+15;;0.0;very low;0;0;C;1571.73;117.15;184126.78;0.55;102006.05;0,3;True;True;72
Würzburg;;4,97899E+15;9,9441E+15;;0.0;very low;0;0;A+;1571.73;116.78;183547.35;0.75;137660.51;0,2;True;True;73
Würzburg;;4,97741E+15;9,93474E+15;;0.0;very low;0;0;A;1571.73;97.99;154015.29;0.6;91905.58;0,2;True;True;74
Mindelheim;Landkreis Unterallgäu;4,80731E+15;1,05012E+16;;0.0;very low;0;0;F;1829.69;122.2;223590.13;0.56;125066.36;0,2;True;True;75
Mindelheim;Landkreis Unterallgäu;4,80432E+14;1,05389E+16;;0.0;very low;0;0;A+;1829.69;132.0;241521.88;0.6;145598.11;0,3;True;True;76
Mindelheim;Landkreis Unterallgäu;4,80367E+16;1,04538E+16;;0.0;very low;0;0;E;1829.69;100.75;184340.54;0.64;118199.45;0,3;True;True;77
Mindelheim;Landkreis Unterallgäu;4,80717E+16;1,05184E+16;;0.0;very low;0;0;D;1829.69;85.94;157238.4;0.72;112963.86;0,2;True;True;78
Würzburg;;4,97998E+15;9,92688E+15;;0.0;very low;0;0;B;1571.73;80.0;125738.11;0.66;82772.74;0,3;True;True;79
Würzburg;;4,97994E+15;9,927E+15;;0.0;very low;0;0;C;1571.73;163.47;256931.83;0.67;173251.42;0,2;True;True;80
Würzburg;;4,97988E+15;9,93083E+14;;0.0;very low;0;0;C;1571.73;101.2;159055.44;0.75;119291.58;0,2;True;True;81
Memmingerberg;Landkreis Unterallgäu;4,79908E+15;1,02198E+16;;0.0;very low;0;0;G;1829.69;80.0;146375.47;0.75;109050.15;0,2;True;True;82
Westerheim;Landkreis Unterallgäu;4,79978E+15;1,0315E+16;;0.0;very low;0;0;A+;1829.69;110.09;201425.12;0.63;126400.89;0,25;True;True;83
Sontheim;Landkreis Unterallgäu;4,79974E+16;1,03995E+16;;0.0;very low;0;0;E;1829.69;92.92;170023.91;0.45;77343.72;0,3;True;True;84
Grainau;Landkreis Garmisch-Partenkirchen;4,74354E+15;1,10066E+16;;0.0;very low;0;0;A;3810.21;162.94;620819.56;0.44;272918.41;0,2;True;True;85
Schwangau;Landkreis Ostallgäu;4,7536E+15;1,08396E+16;;0.0;very low;0;0;A;2032.01;124.94;253887.44;0.54;137146.25;0,2;True;True;86
Halblech;Landkreis Ostallgäu;4,76142E+16;1,08054E+16;;0.0;very low;0;0;G;2032.01;98.02;199180.94;0.42;83797.88;0,2;True;True;87
Roßhaupten;Landkreis Ostallgäu;4,76843E+15;1,07178E+16;;0.0;very low;0;0;E;2032.01;141.66;287850.95;0.48;137776.54;0,2;True;True;88
Füssen;Landkreis Ostallgäu;4,75526E+15;1,06943E+16;;0.0;very low;0;0;G;2032.01;106.53;216468.28;0.68;146955.46;0,2;True;True;89
Füssen;Landkreis Ostallgäu;4,75769E+15;1,06328E+16;;0.0;very low;0;0;A;2032.01;92.03;187001.52;0.75;140251.14;0,3;True;True;90
Füssen;Landkreis Ostallgäu;4,75719E+15;1,0621E+16;;0.0;very low;0;0;D;2032.01;155.75;316490.58;0.72;229318.39;0,2;True;True;91
Füssen;Landkreis Ostallgäu;4,75681E+15;1,06047E+16;;0.0;very low;0;0;C;2032.01;80.0;162560.82;0.67;109492.06;0,25;True;True;92
Durach;Landkreis Oberallgäu;4,77002E+16;1,03796E+16;;0.0;very low;0;0;A+;2522.98;109.32;275808.31;0.58;159235.91;0,25;True;True;93
Durach;Landkreis Oberallgäu;4,76978E+15;1,0413E+16;;0.0;very low;0;0;E;2522.98;80.0;201838.37;0.73;147267.04;0,2;True;True;94
Sulzberg;Landkreis Oberallgäu;4,76752E+15;1,03566E+16;;0.0;very low;0;0;C;2522.98;113.5;286367.16;0.75;214775.37;0,2;True;True;95
Buchenberg;Landkreis Oberallgäu;4,77119E+15;1,01714E+16;;0.0;very low;0;0;F;2522.98;80.0;201838.37;0.52;105933.24;0,2;True;True;96
Waltenhofen;Landkreis Oberallgäu;4,76258E+15;1,02211E+16;;0.0;very low;0;0;F;2522.98;80.0;201838.37;0.71;144132.34;0,2;True;True;97
Waltenhofen;Landkreis Oberallgäu;4,7646E+15;1,0265E+16;;0.0;very low;0;0;F;2522.98;109.49;276250.01;0.61;168795.96;0,2;True;True;98
Weitnau;Landkreis Oberallgäu;4,76727E+15;1,01634E+16;;0.0;very low;0;0;C;2522.98;129.24;326078.45;0.68;220483.46;0,25;True;True;99
Giebelstadt;Landkreis Würzburg;4,96099E+15;9,96275E+15;;0.0;very low;0;0;A;1571.73;80.0;125738.11;0.46;57389.23;0,2;True;True;100
Kirchheim;Landkreis Würzburg;4,9645E+16;9,84633E+15;;0.0;very low;0;0;G;1571.73;133.93;210506.01;0.57;120606.68;0,3;True;True;101
Neubrunn;Landkreis Würzburg;4,97314E+15;9,68533E+14;;0.0;very low;0;0;C;1571.73;80.0;125738.11;0.59;74729.51;0,2;True;True;102
Helmstadt;Landkreis Würzburg;4,97596E+15;9,7474E+15;;0.0;very low;0;0;E;1571.73;99.77;156805.64;0.71;111229.2;0,25;True;True;103
Altertheim;Landkreis Würzburg;4,97423E+15;9,75784E+15;;0.0;very low;0;0;D;1571.73;154.74;243209.19;0.55;134397.97;0,2;True;True;104
Eisingen;Landkreis Würzburg;4,97587E+14;9,82668E+15;;0.0;very low;0;0;D;1571.73;127.68;200679.97;0.75;150509.97;0,25;True;True;105
Höchberg;Landkreis Würzburg;4,9778E+15;9,86672E+15;;0.0;very low;0;0;B;1571.73;98.55;154886.3;0.48;74207.88;0,2;True;True;106
Höchberg;Landkreis Würzburg;4,97834E+15;9,90102E+14;;0.0;very low;0;0;D;1571.73;107.74;169344.35;0.72;121759.18;0,2;True;True;107
Waldbüttelbrunn;Landkreis Würzburg;4,97889E+15;9,8162E+15;;0.0;very low;0;0;F;1571.73;80.0;125738.11;0.75;94303.58;0,2;True;True;108
Hettstadt;Landkreis Würzburg;4,98066E+16;9,84397E+14;;0.0;very low;0;0;D;1571.73;80.0;125738.11;0.58;72965.86;0,3;True;True;109
Zell am Main;Landkreis Würzburg;4,9793E+15;9,88002E+15;;0.0;very low;0;0;A;1571.73;131.19;206190.11;0.75;154642.58;0,2;True;True;110
Margetshöchheim;Landkreis Würzburg;4,98354E+15;9,85952E+14;;0.0;very low;0;0;E;1571.73;104.39;164070.7;0.63;103283.76;0,3;True;True;111
Güntersleben;Landkreis Würzburg;4,9891E+15;9,89775E+15;;0.0;very low;0;0;A+;1571.73;103.37;162464.31;0.52;84994.08;0,3;True;True;112
Veitshöchheim;Landkreis Würzburg;4,9843E+16;9,8955E+15;;0.0;very low;0;0;D;1571.73;80.0;125738.11;0.59;74438.25;0,2;True;True;113
Veitshöchheim;Landkreis Würzburg;4,98519E+15;9,90034E+14;;0.0;very low;0;0;H;1571.73;129.13;202951.94;0.71;144721.87;0,3;True;True;114
Veitshöchheim;Landkreis Würzburg;4,98534E+15;9,87319E+15;;0.0;very low;0;0;E;1571.73;80.0;125738.11;0.52;64789.94;0,2;True;True;115
Eibelstadt;Landkreis Würzburg;4,97237E+15;1,00165E+16;;0.0;very low;0;0;F;1571.73;137.1;215481.49;0.7;151041.1;0,2;True;True;116
Theilheim;Landkreis Würzburg;4,97556E+15;1,00556E+16;;0.0;very low;0;0;E;1571.73;141.03;221667.14;0.67;148434.94;0,2;True;True;117
Randersacker;Landkreis Würzburg;4,97373E+14;1,00154E+15;;0.0;very low;0;0;F;1571.73;161.57;253946.29;0.52;133042.16;0,25;True;True;118
Gerbrunn;Landkreis Würzburg;4,97827E+14;1,00067E+14;;0.0;very low;0;0;A;1571.73;137.76;216514.03;0.42;91996.61;0,2;True;True;119
Gerbrunn;Landkreis Würzburg;4,97866E+16;1,00025E+16;;0.0;very low;0;0;B;1571.73;89.77;141089.6;0.75;105817.2;0,2;True;True;120
Rottendorf;Landkreis Würzburg;4,97948E+15;1,00244E+16;;0.0;very low;0;0;H;1571.73;135.3;212653.75;0.75;159490.31;0,2;True;True;121
Kürnach;Landkreis Würzburg;4,98447E+16;1,00489E+16;;0.0;very low;0;0;C;1571.73;155.35;244174.93;0.68;167130.5;0,2;True;True;122
Estenfeld;Landkreis Würzburg;4,9819E+15;1,00155E+16;;0.0;very low;0;0;G;1571.73;132.85;208799.25;0.65;135432.93;0,25;True;True;123
Unterpleichfeld;Landkreis Würzburg;4,98775E+15;1,00239E+15;;0.0;very low;0;0;E;1571.73;80.0;125738.11;0.75;94303.58;0,2;True;True;124
Hausen b. Würzburg;Landkreis Würzburg;4,9904E+14;1,00068E+14;;0.0;very low;0;0;C;1571.73;113.08;177731.5;0.5;88621.05;0,3;True;True;125
Weisendorf;Landkreis Erlangen-Höchstadt;4,96176E+15;1,08417E+16;;0.0;very low;0;0;H;2246.29;92.48;207729.61;0.55;114616.35;0,25;True;True;126
Weisendorf;Landkreis Erlangen-Höchstadt;4,95947E+15;1,0819E+15;;0.0;very low;0;0;E;2246.29;80.0;179703.14;0.72;130062.17;0,2;True;True;127
Puschendorf;Landkreis Fürth;4,9526E+15;1,08342E+16;;0.0;very low;0;0;C;2393.48;112.43;269098.21;0.6;162032.21;0,2;True;True;128
Henfenfeld;Landkreis Nürnberger Land;4,94939E+15;1,13901E+16;;0.0;very low;0;0;E;1864.54;106.62;198800.58;0.51;101980.11;0,2;True;True;129
Hersbruck;Landkreis Nürnberger Land;4,95187E+14;1,14019E+16;;0.0;very low;0;0;A;1864.54;136.3;254135.36;0.55;139210.01;0,25;True;True;130
Hersbruck;Landkreis Nürnberger Land;4,95244E+15;1,14474E+16;;0.0;very low;0;0;D;1864.54;129.53;241518.91;0.5;120984.19;0,3;True;True;131
Hersbruck;Landkreis Nürnberger Land;4,94988E+15;1,14424E+16;;0.0;very low;0;0;D;1864.54;80.0;149163.18;0.53;78593.76;0,2;True;True;132
Kirchensittenbach;Landkreis Nürnberger Land;4,95979E+15;1,14369E+15;;0.0;very low;0;0;H;1864.54;90.82;169336.3;0.7;118584.28;0,2;True;True;133
Simmelsdorf;Landkreis Nürnberger Land;4,9632E+15;1,13196E+15;;0.0;very low;0;0;H;1864.54;98.21;183107.98;0.49;90498.56;0,25;True;True;134
Schnaittach;Landkreis Nürnberger Land;4,95789E+15;1,13887E+16;;0.0;very low;0;0;G;1864.54;167.63;312552.95;0.43;135046.05;0,2;True;True;135
Schnaittach;Landkreis Nürnberger Land;4,96136E+15;1,14188E+16;;0.0;very low;0;0;D;1864.54;137.65;256651.28;0.71;181756.35;0,2;True;True;136
Eckental;Landkreis Erlangen-Höchstadt;4,9564E+15;1,11917E+16;;0.0;very low;0;0;A;2246.29;88.44;198672.15;0.61;120555.48;0,25;True;True;137
Eckental;Landkreis Erlangen-Höchstadt;4,95781E+16;1,12717E+16;;0.0;very low;0;0;F;2246.29;80.0;179703.14;0.45;81074.2;0,2;True;True;138
Eckental;Landkreis Erlangen-Höchstadt;4,95827E+15;1,11967E+15;;0.0;very low;0;0;E;2246.29;127.78;287037.06;0.58;167739.8;0,2;True;True;139
Eckental;Landkreis Erlangen-Höchstadt;4,95836E+15;1,12436E+16;;0.0;very low;0;0;B;2246.29;132.55;297740.32;0.74;220651.16;0,2;True;True;140
Aurachtal;Landkreis Erlangen-Höchstadt;4,95767E+15;1,08255E+16;;0.0;very low;0;0;A;2246.29;96.35;216424.55;0.48;103527.67;0,3;True;True;141
Großenseebach;Landkreis Erlangen-Höchstadt;4,96171E+15;1,08798E+16;;0.0;very low;0;0;C;2246.29;132.36;297327.69;0.55;162222.05;0,3;True;True;142
Herzogenaurach;Landkreis Erlangen-Höchstadt;4,96045E+15;1,08463E+16;;0.0;very low;0;0;D;2246.29;166.46;373906.45;0.62;233344.46;0,2;True;True;143
Herzogenaurach;Landkreis Erlangen-Höchstadt;4,9569E+15;1,08865E+16;;0.0;very low;0;0;H;2246.29;148.09;332648.92;0.53;177759.12;0,2;True;True;144
Herzogenaurach;Landkreis Erlangen-Höchstadt;4,95519E+15;1,08889E+16;;0.0;very low;0;0;E;2246.29;157.59;353993.52;0.54;189428.28;0,3;True;True;145
Herzogenaurach;Landkreis Erlangen-Höchstadt;4,9569E+15;1,08557E+16;;0.0;very low;0;0;D;2246.29;80.0;179703.14;0.51;91823.16;0,2;True;True;146
Herzogenaurach;Landkreis Erlangen-Höchstadt;4,95716E+15;1,08965E+15;;0.0;very low;0;0;A;2246.29;130.95;294162.05;0.54;159761.26;0,2;True;True;147
Herzogenaurach;Landkreis Erlangen-Höchstadt;4,95512E+15;1,08463E+16;;0.0;very low;0;0;D;2246.29;106.84;239997.13;0.63;151114.84;0,3;True;True;148
Heßdorf;Landkreis Erlangen-Höchstadt;4,96562E+14;1,08794E+16;;0.0;very low;0;0;D;2246.29;100.12;224895.5;0.66;147714.91;0,25;True;True;149
Röttenbach;Landkreis Erlangen-Höchstadt;4,96724E+15;1,09267E+15;;0.0;very low;0;0;F;2246.29;111.78;251087.09;0.55;137368.99;0,2;True;True;150
Hemhofen;Landkreis Erlangen-Höchstadt;4,96848E+15;1,09379E+14;;0.0;very low;0;0;G;2246.29;154.96;348086.28;0.65;226607.9;0,25;True;True;151
Adelsdorf;Landkreis Erlangen-Höchstadt;4,97086E+16;1,08854E+16;;0.0;very low;0;0;H;2246.29;80.0;179703.14;0.63;112566.4;0,2;True;True;152
Adelsdorf;Landkreis Erlangen-Höchstadt;4,96899E+15;1,09091E+16;;0.0;very low;0;0;H;2246.29;167.63;376551.83;0.69;260227.23;0,2;True;True;153
Zirndorf;Landkreis Fürth;4,94429E+15;1,09529E+16;;0.0;very low;0;0;C;2393.48;101.74;243504.43;0.54;132095.4;0,2;True;True;154
Zirndorf;Landkreis Fürth;4,94334E+15;1,09427E+16;;0.0;very low;0;0;A;2393.48;86.19;206293.89;0.52;107587.21;0,2;True;True;155
Zirndorf;Landkreis Fürth;4,94486E+15;1,09028E+16;;0.0;very low;0;0;A+;2393.48;80.0;191478.09;0.64;122829.25;0,25;True;True;156
Zirndorf;Landkreis Fürth;4,9434E+15;1,09452E+16;;0.0;very low;0;0;A;2393.48;131.07;313706.09;0.67;209805.28;0,2;True;True;157
Zirndorf;Landkreis Fürth;4,94485E+15;1,09452E+16;;0.0;very low;0;0;D;2393.48;157.2;376251.24;0.61;229806.07;0,2;True;True;158
Zirndorf;Landkreis Fürth;4,94168E+16;1,0936E+15;;0.0;very low;0;0;A;2393.48;123.84;296419.92;0.46;137743.03;0,3;True;True;159
Zirndorf;Landkreis Fürth;4,94325E+16;1,09391E+16;;0.0;very low;0;0;H;2393.48;80.0;191478.09;0.51;98332.02;0,2;True;True;160
Oberasbach;Landkreis Fürth;4,94191E+15;1,09818E+16;;0.0;very low;0;0;E;2393.48;150.77;360856.76;0.7;254379.25;0,2;True;True;161
Oberasbach;Landkreis Fürth;4,94189E+15;1,09613E+15;;0.0;very low;0;0;C;2393.48;80.0;191478.09;0.53;100584.59;0,3;True;True;162
Oberasbach;Landkreis Fürth;4,94292E+15;1,09495E+16;;0.0;very low;0;0;B;2393.48;150.25;359611.79;0.7;250707.32;0,25;True;True;163
Oberasbach;Landkreis Fürth;4,94302E+15;1,09718E+16;;0.0;very low;0;0;H;2393.48;118.86;284493.13;0.44;126097.61;0,3;True;True;164
Oberasbach;Landkreis Fürth;4,94268E+15;1,0986E+16;;0.0;very low;0;0;D;2393.48;116.82;279604.28;0.74;205574.57;0,2;True;True;165
