ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Energieklasse;Quadratmeterpreise;aktuelles_LtV;darlehenbetrag;aktueller_immobilienwert;wohnflaeche;Schadensfaktor
Eckental;Landkreis Erlangen-Höchstadt;4,95836E+15;1,12436E+16;;0;very low;B;4319;0,4259;110365,85;259140;60;0,04
Aurachtal;Landkreis Erlangen-Höchstadt;4,95767E+15;1,08255E+16;;0;very low;A;4319;0,6871;178064,19;259140;60;0,04
Großenseebach;Landkreis Erlangen-Höchstadt;4,96171E+15;1,08798E+16;;0;very low;C;4319;0,7256;252930,56;348572,28;80,71;0,04
Herzogenaurach;Landkreis Erlangen-Höchstadt;4,96045E+15;1,08463E+16;;0;very low;D;4319;0,4477;116009,47;259140;60;0,04
Herzogenaurach;Landkreis Erlangen-Höchstadt;4,9569E+15;1,08865E+16;;0;very low;H;4319;0,2455;83243,32;339131,53;78,52;0,04
Herzogenaurach;Landkreis Erlangen-Höchstadt;4,95519E+15;1,08889E+16;;0;very low;E;4319;0,6595;196533,27;297989,74;69;0,04
Herzogenaurach;Landkreis Erlangen-Höchstadt;4,9569E+15;1,08557E+16;;0;very low;D;4319;0,1738;98725,16;567983,64;131,51;0,04
Herzogenaurach;Landkreis Erlangen-Höchstadt;4,95716E+15;1,08965E+15;;0;very low;A;4319;0,1085;52590,6;484872,44;112,26;0,04
Herzogenaurach;Landkreis Erlangen-Höchstadt;4,95512E+15;1,08463E+16;;0;very low;D;4319;0,6897;240028,19;348005,7;80,58;0,04
Heßdorf;Landkreis Erlangen-Höchstadt;4,96562E+14;1,08794E+16;;0;very low;D;4319;0,5122;132722,57;259140;60;0,04
Röttenbach;Landkreis Erlangen-Höchstadt;4,96724E+15;1,09267E+15;;0;very low;F;4319;0,1214;204738,76;1687105,06;390,62;0,04
Hemhofen;Landkreis Erlangen-Höchstadt;4,96848E+15;1,09379E+14;;0;very low;G;4319;0,5309;213994,64;403041,61;93,32;0,04
Adelsdorf;Landkreis Erlangen-Höchstadt;4,97086E+16;1,08854E+16;;0;very low;H;4319;0,2027;52539,8;259140;60;0,04
Adelsdorf;Landkreis Erlangen-Höchstadt;4,96899E+15;1,09091E+16;;0;very low;H;4319;0,1224;153626,78;1255007,06;290,58;0,04
Zirndorf;Landkreis Fürth;4,94429E+15;1,09529E+16;;0;very low;C;4602;0,2351;84589,62;359832,52;78,19;0,04
Zirndorf;Landkreis Fürth;4,94334E+15;1,09427E+16;;0;very low;A;4602;0,316;214796,36;679710,99;147,7;0,04
Zirndorf;Landkreis Fürth;4,94486E+15;1,09028E+16;;0;very low;A+;4602;0,5941;164055,53;276120;60;0,04
Zirndorf;Landkreis Fürth;4,9434E+15;1,09452E+16;;0;very low;A;4602;0,4738;130819,96;276120;60;0,04
Zirndorf;Landkreis Fürth;4,94485E+15;1,09452E+16;;0;very low;D;4602;0,1609;138874,06;863356,28;187,6;0,04
Zirndorf;Landkreis Fürth;4,94168E+16;1,0936E+15;;0;very low;A;4602;0,6519;180013;276120;60;0,04
Zirndorf;Landkreis Fürth;4,94325E+16;1,09391E+16;;0;very low;H;4602;0,4664;134599,34;288613,45;62,71;0,04
Oberasbach;Landkreis Fürth;4,94191E+15;1,09818E+16;;0;very low;E;4602;0,4729;143619,31;303680,76;65,99;0,04
Oberasbach;Landkreis Fürth;4,94189E+15;1,09613E+15;;0;very low;C;4602;0,7329;202356,95;276120;60;0,04
Oberasbach;Landkreis Fürth;4,94292E+15;1,09495E+16;;0;very low;B;4602;0,5198;156600,32;301277,15;65,47;0,04
Oberasbach;Landkreis Fürth;4,94302E+15;1,09718E+16;;0;very low;H;4602;0,6018;166168,9;276120;60;0,04
Oberasbach;Landkreis Fürth;4,94268E+15;1,0986E+16;;0;very low;D;4602;0,1146;118106,85;1030918,74;224,02;0,04
Stein;Landkreis Fürth;4,93898E+14;1,09478E+16;;0;very low;D;4602;0,43;118731,35;276120;60;0,04
Stein;Landkreis Fürth;4,93965E+15;1,09237E+16;;0;very low;A;4602;0,4125;180038,23;436501,82;94,85;0,04
Stein;Landkreis Fürth;4,94141E+15;1,10061E+16;;0;very low;E;4602;0,1303;60534,97;464481,43;100,93;0,04
Stein;Landkreis Fürth;4,93981E+15;1,09387E+16;;0;very low;H;4602;0,7035;264579,73;376084,97;81,72;0,04
Ammerndorf;Landkreis Fürth;4,94274E+15;1,0852E+16;;0;very low;C;4602;0,3157;95902,41;303760,97;66,01;0,04
Langenzenn;Landkreis Fürth;4,94579E+15;1,07651E+16;;0;very low;E;4602;0,5509;154652,09;280736,15;61;0,04
Langenzenn;Landkreis Fürth;4,94999E+15;1,0812E+16;;0;very low;C;4602;0,6673;184262,63;276120;60;0,04
Langenzenn;Landkreis Fürth;4,95002E+15;1,07623E+14;;0;very low;C;4602;0,6981;192763,92;276120;60;0,04
Bubenreuth;Landkreis Erlangen-Höchstadt;4,96224E+15;1,10037E+16;;0;very low;H;4319;0,0782;93608,58;1196864,7;277,12;0,04
Baiersdorf;Landkreis Erlangen-Höchstadt;4,96681E+15;1,10393E+16;;0;very low;F;4319;0,4224;109454,98;259140;60;0,04
Baiersdorf;Landkreis Erlangen-Höchstadt;4,96591E+15;1,10594E+16;;0;very low;G;4319;0,3983;164109,49;412067,55;95,41;0,04
Altdorf bei Nürnberg;Landkreis Nürnberger Land;4,93803E+15;1,14087E+15;;0;very low;F;3585;0,2722;108480,68;398532,99;111,17;0,04
Altdorf bei Nürnberg;Landkreis Nürnberger Land;4,94032E+15;1,14091E+15;;0;very low;C;3585;0,5269;113331,64;215100;60;0,04
Altdorf bei Nürnberg;Landkreis Nürnberger Land;4,94136E+16;1,14035E+16;;0;very low;E;3585;0,2243;99950,81;445566,42;124,29;0,04
Altdorf bei Nürnberg;Landkreis Nürnberger Land;4,93899E+15;1,13755E+15;;0;very low;D;3585;0,6941;166036,52;239203;66,72;0,04
Schwarzenbruck;Landkreis Nürnberger Land;4,93646E+16;1,12784E+16;;0;very low;A;3585;0,5798;124706,8;215100;60;0,04
Schwarzenbruck;Landkreis Nürnberger Land;4,93699E+15;1,12611E+16;;0;very low;E;3585;0,4782;128260,78;268232,15;74,82;0,04
Lauben;Landkreis Oberallgäu;4,77938E+15;1,02879E+16;HQ 500;0,002;very low;F;4851;0,6114;177943,48;291060;60;0,04
Memmingen;;4,80301E+14;1,01948E+16;;0;very low;A;3862;0,1653;62498,08;378016,44;97,88;0,04
Memmingen;;4,79963E+15;1,01584E+16;;0;very low;F;3862;0,5153;119401,01;231720;60;0,04
Memmingen;;4,79965E+14;1,01909E+15;;0;very low;E;3862;0,1626;118536,09;729120,88;188,79;0,04
Memmingen;;4,80231E+15;1,01506E+16;;0;very low;G;3862;0,3902;127279,21;326201,82;84,46;0,04
Memmingen;;4,79863E+15;1,01866E+16;;0;very low;F;3862;0,5164;119663,63;231720;60;0,04
Memmingen;;4,79388E+15;1,01255E+16;;0;very low;H;3862;0,4069;94296,07;231720;60;0,04
Memmingen;;4,79697E+14;1,01351E+16;;0;very low;D;3862;0,4799;111207,77;231720;60;0,04
Memmingen;;4,80105E+15;1,01944E+16;;0;very low;C;3862;0,2805;64993,83;231720;60;0,04
Memmingen;;4,7988E+15;1,0148E+16;;0;very low;H;3862;0,3334;77265,02;231720;60;0,04
Memmingen;;4,80048E+15;1,02062E+16;;0;very low;E;3862;0,6904;196724,75;284944,14;73,78;0,04
Memmingen;;4,79808E+15;1,01693E+16;;0;very low;F;3862;0,0971;62648,76;645283,26;167,09;0,04
Kaufbeuren;;4,78743E+15;1,06465E+15;;0;very low;G;3716;0,3889;86698,56;222960;60;0,04
Kaufbeuren;;4,78717E+15;1,06362E+16;;0;very low;B;3716;0,6367;141958,31;222960;60;0,04
Kaufbeuren;;4,78642E+15;1,05838E+16;;0;very low;D;3716;0,477;106352,38;222960;60;0,04
Kaufbeuren;;4,78677E+15;1,06084E+16;;0;very low;D;3716;0,5518;211605,64;383497,92;103,2;0,04
Kaufbeuren;;4,78665E+15;1,06387E+15;;0;very low;G;3716;0,1303;81912,99;628868,69;169,23;0,04
Kaufbeuren;;4,7892E+15;1,0577E+16;;0;very low;G;3716;0,463;291864,64;630353,36;169,63;0,04
Kaufbeuren;;4,78503E+16;1,06333E+16;;0;very low;C;3716;0,5955;132777,49;222960;60;0,04
Kaufbeuren;;4,78647E+15;1,06123E+16;;0;very low;G;3716;0,4256;94881,87;222960;60;0,04
Kaufbeuren;;4,7859E+16;1,06544E+16;;0;very low;C;3716;0,4055;136029,39;335445,64;90,27;0,04
Kaufbeuren;;4,78828E+15;1,06284E+16;;0;very low;H;3716;0,4909;179739,47;366173,11;98,54;0,04
Kaufbeuren;;4,78757E+15;1,06342E+16;;0;very low;D;3716;0,6842;152548,81;222960;60;0,04
