ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Ueberschwemmungstiefe;Schadensfaktor;Energieklasse;Quadratmeterpreise;wohnflaeche;aktueller_immobilienwert;aktuelles_LtV;darlehenbetrag;Risikogewicht;immobilienwert_check;darlehenbetrag_check
Oberstdorf;Landkreis Oberallgäu;4,73947E+15;1,03036E+16;;0.0;very low;0;0;C;2522.9796834951467;156.10161677271807;393841.2076783129;0.5791807804357502;228105.25803088362;0,2;True;True
Pfaffenhausen;Landkreis Unterallgäu;4,81169E+15;1,04402E+16;;0.0;very low;0;0;F;1829.6933676635592;113.50421128149492;207677.9025836346;0.6499928213049949;134989.14582304054;0,3;True;True
Breitenbrunn;Landkreis Unterallgäu;4,8163E+15;1,03665E+16;;0.0;very low;0;0;E;1829.6933676635592;111.77826437592817;204519.94897757968;0.6128951567084115;125349.28617861004;0,25;True;True
Kirchheim in Schwaben;Landkreis Unterallgäu;4,81713E+15;1,04656E+16;;0.0;very low;0;0;F;1829.6933676635592;124.36472111986646;227549.30540434783;0.6358118116978178;144678.53611971842;0,25;True;True
Dietmannsried;Landkreis Oberallgäu;4,77993E+14;1,03034E+16;;0.0;very low;0;0;E;2522.9796834951467;120.15467030737304;303147.79206255975;0.75;227360.8440469198;0,2;True;True
Dietmannsried;Landkreis Oberallgäu;4,78294E+15;1,03005E+15;;0.0;very low;0;0;D;2522.9796834951467;88.18959889433646;222500.56630599694;0.6606717852806087;146999.84636732945;0,2;True;True
Legau;Landkreis Unterallgäu;4,78646E+15;1,01833E+16;;0.0;very low;0;0;B;1829.6933676635592;108.67771390086716;198846.89233725445;0.5636800237200851;112086.0209893288;0,3;True;True
Altusried;Landkreis Oberallgäu;4,77928E+16;1,02286E+16;;0.0;very low;0;0;F;2522.9796834951467;126.37982374761184;318853.72771892213;0.75;239140.29578919162;0,2;True;True
Altusried;Landkreis Oberallgäu;4,77946E+15;1,01903E+16;;0.0;very low;0;0;F;2522.9796834951467;149.79282028609387;377924.2423152545;0.7306838507557417;276143.1406688562;0,2;True;True
Altusried;Landkreis Oberallgäu;4,77883E+15;1,00994E+16;;0.0;very low;0;0;H;2522.9796834951467;168.16592028948665;424279.2003466391;0.75;318209.4002599793;0,3;True;True
Oy-Mittelberg;Landkreis Oberallgäu;4,76499E+15;1,05019E+16;;0.0;very low;0;0;A;2522.9796834951467;99.80175639918008;251797.80377226308;0.6259004296941558;157600.3535771042;0,25;True;True
Nesselwang;Landkreis Ostallgäu;4,76133E+16;1,04965E+16;;0.0;very low;0;0;B;2032.0102295228896;139.403939957336;283270.23202910146;0.75;212452.6740218261;0,3;True;True
Wertach;Landkreis Oberallgäu;4,75853E+15;1,0391E+16;;0.0;very low;0;0;B;2522.9796834951467;80.0;201838.37467961173;0.5157285441029824;104093.81111762843;0,2;True;True
Bad Hindelang;Landkreis Oberallgäu;4,74701E+15;1,03634E+16;;0.0;very low;0;0;D;2522.9796834951467;80.0;201838.37467961173;0.46505073679518555;93865.08485829616;0,2;True;True
Rettenberg;Landkreis Oberallgäu;4,75491E+15;1,02956E+16;;0.0;very low;0;0;F;2522.9796834951467;80.0;201838.37467961173;0.44781077513319767;90385.3990169017;0,2;True;True
Burgberg i.Allgäu;Landkreis Oberallgäu;4,75459E+15;1,02823E+15;;0.0;very low;0;0;C;2522.9796834951467;80.0;201838.37467961173;0.6343193498085304;128029.98659318186;0,3;True;True
Blaichach;Landkreis Oberallgäu;4,74807E+15;1,01228E+16;;0.0;very low;0;0;E;2522.9796834951467;119.76588533926406;302166.89548677247;0.5645682417418686;170593.8328975661;0,2;True;True
Blaichach;Landkreis Oberallgäu;4,74944E+15;1,01905E+15;;0.0;very low;0;0;D;2522.9796834951467;81.19731645213959;204859.1797630744;0.5582426826449053;114361.13807537356;0,3;True;True
Immenstadt im Allgäu;Landkreis Oberallgäu;4,75726E+15;1,02274E+16;;0.0;very low;0;0;A;2522.9796834951467;80.0;201838.37467961173;0.477264953938001;96330.38259438588;0,2;True;True
Immenstadt im Allgäu;Landkreis Oberallgäu;4,75784E+15;1,01346E+16;;0.0;very low;0;0;A;2522.9796834951467;80.0;201838.37467961173;0.6082187568428006;122761.88533080484;0,2;True;True
Immenstadt im Allgäu;Landkreis Oberallgäu;4,75346E+15;1,0206E+16;;0.0;very low;0;0;D;2522.9796834951467;85.98331156934529;216934.14820909136;0.6575327824914792;142641.31408934278;0,2;True;True
Immenstadt im Allgäu;Landkreis Oberallgäu;4,75854E+15;1,02394E+16;;0.0;very low;0;0;H;2522.9796834951467;148.11269742016253;373685.3264587341;0.6994718570241664;261382.3692407726;0,25;True;True
Oberstaufen;Landkreis Oberallgäu;4,75E+16;1,00151E+15;;0.0;very low;0;0;H;2522.9796834951467;129.4692543789538;326648.2984353655;0.75;244986.2238265241;0,25;True;True
Oberstaufen;Landkreis Oberallgäu;4,75732E+15;1,00375E+16;;0.0;very low;0;0;G;2522.9796834951467;80.0;201838.37467961173;0.4751249071858243;95898.43903618815;0,2;True;True
Wiggensbach;Landkreis Oberallgäu;4,77166E+15;1,02385E+16;;0.0;very low;0;0;E;2522.9796834951467;80.0;201838.37467961173;0.75;151378.7810097088;0,2;True;True
Gaukönigshofen;Landkreis Würzburg;4,96303E+16;1,00067E+14;;0.0;very low;0;0;A+;1571.726366423899;142.6622641310886;224226.0420285624;0.64641810523505;144943.77323245798;0,25;True;True
Leinach;Landkreis Würzburg;4,98284E+15;9,82056E+15;;0.0;very low;0;0;D;1571.726366423899;154.56979553271216;242941.4230915147;0.5726447503106026;139119.1305663429;0,2;True;True
Roßtal;Landkreis Fürth;4,93877E+15;1,09245E+16;;0.0;very low;0;0;E;2393.4760881147527;84.49251068005272;202230.80393748655;0.6114004040247829;123643.99523363593;0,25;True;True
Roßtal;Landkreis Fürth;4,94101E+15;1,08587E+16;;0.0;very low;0;0;A;2393.4760881147527;128.0675686873982;306526.6633162812;0.6086036295937698;186553.2398615562;0,3;True;True
Roßtal;Landkreis Fürth;4,93744E+15;1,0869E+16;;0.0;very low;0;0;C;2393.4760881147527;157.37454665733742;376672.21430223656;0.5495845265339048;207013.2205557722;0,2;True;True
Großhabersdorf;Landkreis Fürth;4,94083E+15;1,08147E+16;;0.0;very low;0;0;G;2393.4760881147527;146.53567512262907;350729.63446176454;0.6664733761624998;233751.96359997164;0,2;True;True
Burgthann;Landkreis Nürnberger Land;4,93284E+14;1,13817E+16;;0.0;very low;0;0;B;1864.539716621336;160.5316069513059;299317.5569337556;0.6252978460919552;187162.6236481835;0,2;True;True
Burgthann;Landkreis Nürnberger Land;4,93324E+15;1,13134E+16;;0.0;very low;0;0;G;1864.539716621336;82.32930418538716;153506.25749545355;0.420580158726733;64561.6861429846;0,2;True;True
Burgthann;Landkreis Nürnberger Land;4,93569E+15;1,13083E+16;;0.0;very low;0;0;C;1864.539716621336;146.91491673231732;273928.69721152214;0.6488988237953671;177752.00942435398;0,3;True;True
Allersberg;Landkreis Roth;4,92442E+15;1,12603E+16;;0.0;very low;0;0;H;1888.4640756072722;122.03676089390848;230462.03885162057;0.5732895742477864;132121.48413352235;0,25;True;True
Allersberg;Landkreis Roth;4,92533E+12;1,12604E+16;;0.0;very low;0;0;C;1888.4640756072722;83.44305364398352;157579.20916563337;0.7261239146347852;114422.03222440333;0,2;True;True
Pyrbaum;Landkreis Neumarkt in der Oberpfalz;4,9291E+13;1,12652E+15;;0.0;very low;0;0;D;1567.0455135788243;84.81701833840725;132912.12806233394;0.6550377694654876;87062.46390086247;0,2;True;True
Pyrbaum;Landkreis Neumarkt in der Oberpfalz;4,92994E+15;1,13075E+16;;0.0;very low;0;0;D;1567.0455135788243;156.7236581030896;245593.1053021081;0.75;184194.82897658108;0,25;True;True
Dasing;Landkreis Aichach-Friedberg;4,83755E+15;1,10383E+16;;0.0;very low;0;0;G;2333.665190649912;84.59873097726224;197425.11365479327;0.6039580604716618;119236.48873134634;0,25;True;True
Wildpoldsried;Landkreis Oberallgäu;4,77864E+15;1,03976E+16;;0.0;very low;0;0;H;2522.9796834951467;153.88388212082342;388245.90820819954;0.75;291184.43115614966;0,2;True;True
Haldenwang;Landkreis Oberallgäu;4,78055E+15;1,03421E+15;;0.0;very low;0;0;G;2522.9796834951467;148.23552725777768;373995.2236435641;0.6794242005861281;254101.40584705872;0,25;True;True
Collenberg;Landkreis Miltenberg;4,97871E+15;9,32577E+15;;0.0;very low;0;0;C;1448.4639081702708;132.82115505854185;192386.64934378504;0.6236380710919732;119979.63890060595;0,2;True;True
Babenhausen;Landkreis Unterallgäu;4,81545E+15;1,0214E+16;;0.0;very low;0;0;C;1829.6933676635592;80.0;146375.46941308473;0.6842456233585583;100156.77431295776;0,2;True;True
Erkheim;Landkreis Unterallgäu;4,80529E+15;1,0321E+16;;0.0;very low;0;0;D;1829.6933676635592;123.035000597059;225116.3245829209;0.5675075826500448;127755.22117911628;0,2;True;True
Boos;Landkreis Unterallgäu;4,80869E+14;1,02254E+16;;0.0;very low;0;0;C;1829.6933676635592;80.08620017312278;146533.18929813892;0.6640459017996054;97304.76383105495;0,3;True;True
Biessenhofen;Landkreis Ostallgäu;4,78357E+15;1,06483E+15;;0.0;very low;0;0;A+;2032.0102295228896;80.0;162560.81836183116;0.6997215560412161;113747.308775474;0,2;True;True
Mauerstetten;Landkreis Ostallgäu;4,78901E+15;1,06774E+16;;0.0;very low;0;0;G;2032.0102295228896;80.0;162560.81836183116;0.6532838472201402;106198.35682667147;0,3;True;True
Stöttwang;Landkreis Ostallgäu;4,78612E+16;1,06866E+15;;0.0;very low;0;0;A+;2032.0102295228896;107.55682859330847;218556.57595664283;0.7152589513079012;156324.547320194;0,2;True;True
Germaringen;Landkreis Ostallgäu;4,79552E+13;1,06836E+15;;0.0;very low;0;0;H;2032.0102295228896;122.34027735734622;248596.6950727951;0.7335617205801801;182361.01936814594;0,2;True;True
Pforzen;Landkreis Ostallgäu;4,79404E+15;1,05998E+16;;0.0;very low;0;0;C;2032.0102295228896;84.4142730087807;171530.66627158032;0.4889317106773083;83866.78209378224;0,2;True;True
Markt Rettenbach;Landkreis Unterallgäu;4,79569E+16;1,03589E+16;;0.0;very low;0;0;E;1829.6933676635592;120.03475794169924;219626.80049502786;0.614152077508384;134884.25580054073;0,25;True;True
Ottobeuren;Landkreis Unterallgäu;4,79444E+15;1,03407E+14;;0.0;very low;0;0;C;1829.6933676635592;80.0;146375.46941308473;0.5970540507033629;87394.06693668844;0,3;True;True
Ottobeuren;Landkreis Unterallgäu;4,79346E+16;1,02792E+16;;0.0;very low;0;0;F;1829.6933676635592;80.0;146375.46941308473;0.6754464985674921;98868.79829124111;0,2;True;True
Wolfertschwenden;Landkreis Unterallgäu;4,79114E+15;1,02481E+16;;0.0;very low;0;0;H;1829.6933676635592;83.57418000692424;152915.12286658972;0.7298549685484327;111605.86219037457;0,3;True;True
Buxheim;Landkreis Unterallgäu;4,80036E+15;1,01226E+16;;0.0;very low;0;0;F;1829.6933676635592;134.32004811740575;245764.50118466743;0.43053611298740607;105810.49305033547;0,25;True;True
Woringen;Landkreis Unterallgäu;4,79258E+16;1,0197E+16;;0.0;very low;0;0;D;1829.6933676635592;98.15375640427038;179591.27710415813;0.6553544373895445;117695.94036666532;0,3;True;True
Bad Grönenbach;Landkreis Unterallgäu;4,78713E+15;1,02162E+16;;0.0;very low;0;0;B;1829.6933676635592;110.63237285138418;202423.31885505962;0.6565475456603022;132900.53317870217;0,2;True;True
Würzburg;;4,97783E+15;9,93596E+15;;0.0;very low;0;0;E;1571.726366423899;84.16140659867906;132278.7017864662;0.6759455455470788;89413.19924331224;0,2;True;True
Würzburg;;4,97858E+14;9,93336E+14;;0.0;very low;0;0;H;1571.726366423899;80.0;125738.10931391192;0.4234212789145962;53240.191053999886;0,3;True;True
Würzburg;;4,97801E+15;9,93906E+15;;0.0;very low;0;0;C;1571.726366423899;117.14938502524771;184126.7772545269;0.553998986882667;102006.04805697841;0,3;True;True
Würzburg;;4,97899E+15;9,9441E+15;;0.0;very low;0;0;A+;1571.726366423899;116.78072708969789;183547.34785703185;0.75;137660.5108927739;0,2;True;True
Würzburg;;4,97741E+15;9,93474E+15;;0.0;very low;0;0;A;1571.726366423899;97.99116025727666;154015.29025283142;0.5967302385293084;91905.58088973275;0,2;True;True
Mindelheim;Landkreis Unterallgäu;4,80731E+15;1,05012E+16;;0.0;very low;0;0;F;1829.6933676635592;122.20087400586023;223590.1286912127;0.5593554542452877;125066.3579988356;0,2;True;True
Mindelheim;Landkreis Unterallgäu;4,80432E+14;1,05389E+16;;0.0;very low;0;0;A+;1829.6933676635592;132.00128902099374;241521.88304475285;0.6028360888662146;145598.10735030213;0,3;True;True
Mindelheim;Landkreis Unterallgäu;4,80367E+16;1,04538E+16;;0.0;very low;0;0;E;1829.6933676635592;100.74941679556225;184340.53970681186;0.6412015994136873;118199.44889679008;0,3;True;True
Mindelheim;Landkreis Unterallgäu;4,80717E+16;1,05184E+16;;0.0;very low;0;0;D;1829.6933676635592;85.93702115541683;157238.39764482915;0.7184241233120071;112963.85797897115;0,2;True;True
Würzburg;;4,97998E+15;9,92688E+15;;0.0;very low;0;0;B;1571.726366423899;80.0;125738.10931391192;0.6582948009278404;82772.74363984469;0,3;True;True
Würzburg;;4,97994E+15;9,927E+15;;0.0;very low;0;0;C;1571.726366423899;163.47109755560564;256931.83417639876;0.6743088806584605;173251.41750901262;0,2;True;True
Würzburg;;4,97988E+15;9,93083E+14;;0.0;very low;0;0;C;1571.726366423899;101.19792117606752;159055.44093971275;0.75;119291.58070478456;0,2;True;True
Memmingerberg;Landkreis Unterallgäu;4,79908E+15;1,02198E+16;;0.0;very low;0;0;G;1829.6933676635592;80.0;146375.46941308473;0.7450028832918738;109050.14675594961;0,2;True;True
Westerheim;Landkreis Unterallgäu;4,79978E+15;1,0315E+16;;0.0;very low;0;0;A+;1829.6933676635592;110.08682001955536;201425.12445695238;0.6275328648443286;126400.88540209676;0,25;True;True
Sontheim;Landkreis Unterallgäu;4,79974E+16;1,03995E+16;;0.0;very low;0;0;E;1829.6933676635592;92.92481239682007;170023.91293384216;0.45489906553172904;77343.71911165286;0,3;True;True
Grainau;Landkreis Garmisch-Partenkirchen;4,74354E+15;1,10066E+16;;0.0;very low;0;0;A;3810.21421589063;162.93560540852977;620819.5600023264;0.43960986925119805;272918.40560120903;0,2;True;True
Schwangau;Landkreis Ostallgäu;4,7536E+15;1,08396E+16;;0.0;very low;0;0;A;2032.0102295228896;124.94397795592907;253887.4413237303;0.5401852346954029;137146.2470776746;0,2;True;True
Halblech;Landkreis Ostallgäu;4,76142E+16;1,08054E+16;;0.0;very low;0;0;G;2032.0102295228896;98.02162373428129;199180.94214250325;0.4207123413926546;83797.88052956741;0,2;True;True
Roßhaupten;Landkreis Ostallgäu;4,76843E+15;1,07178E+16;;0.0;very low;0;0;E;2032.0102295228896;141.6582204912585;287850.9531342463;0.4786384797444157;137776.5426011567;0,2;True;True
Füssen;Landkreis Ostallgäu;4,75526E+15;1,06943E+16;;0.0;very low;0;0;G;2032.0102295228896;106.52913001514398;216468.28193294647;0.6788775619198475;146955.45947161686;0,2;True;True
Füssen;Landkreis Ostallgäu;4,75769E+15;1,06328E+16;;0.0;very low;0;0;A;2032.0102295228896;92.02784611058733;187001.52469767173;0.75;140251.1435232538;0,3;True;True
Füssen;Landkreis Ostallgäu;4,75719E+15;1,0621E+16;;0.0;very low;0;0;D;2032.0102295228896;155.75245312303687;316490.57801929524;0.7245662505544864;229318.3914512629;0,2;True;True
Füssen;Landkreis Ostallgäu;4,75681E+15;1,06047E+16;;0.0;very low;0;0;C;2032.0102295228896;80.0;162560.81836183116;0.6735452280326899;109492.06347270025;0,25;True;True
Durach;Landkreis Oberallgäu;4,77002E+16;1,03796E+16;;0.0;very low;0;0;A+;2522.9796834951467;109.3184835031115;275808.3129088497;0.5773426733977832;159235.9087201276;0,25;True;True
Durach;Landkreis Oberallgäu;4,76978E+15;1,0413E+16;;0.0;very low;0;0;E;2522.9796834951467;80.0;201838.37467961173;0.7296285610460693;147267.0428813625;0,2;True;True
Sulzberg;Landkreis Oberallgäu;4,76752E+15;1,03566E+16;;0.0;very low;0;0;C;2522.9796834951467;113.50355503332305;286367.16335354734;0.75;214775.3725151605;0,2;True;True
Buchenberg;Landkreis Oberallgäu;4,77119E+15;1,01714E+16;;0.0;very low;0;0;F;2522.9796834951467;80.0;201838.37467961173;0.5248418957037545;105933.2351926121;0,2;True;True
Waltenhofen;Landkreis Oberallgäu;4,76258E+15;1,02211E+16;;0.0;very low;0;0;F;2522.9796834951467;80.0;201838.37467961173;0.7140978228487179;144132.34392603452;0,2;True;True
Waltenhofen;Landkreis Oberallgäu;4,7646E+15;1,0265E+16;;0.0;very low;0;0;F;2522.9796834951467;109.49355328651833;276250.010415579;0.6110260796727411;168795.96087378517;0,2;True;True
Weitnau;Landkreis Oberallgäu;4,76727E+15;1,01634E+16;;0.0;very low;0;0;C;2522.9796834951467;129.24339144227375;326078.4508348672;0.6761669149447487;220483.46013097506;0,25;True;True
Giebelstadt;Landkreis Würzburg;4,96099E+15;9,96275E+15;;0.0;very low;0;0;A;1571.726366423899;80.0;125738.10931391192;0.45641875456454045;57389.23125435572;0,2;True;True
Kirchheim;Landkreis Würzburg;4,9645E+16;9,84633E+15;;0.0;very low;0;0;G;1571.726366423899;133.93298853067452;210506.0094076108;0.5729370061393493;120606.68280433823;0,3;True;True
Neubrunn;Landkreis Würzburg;4,97314E+15;9,68533E+14;;0.0;very low;0;0;C;1571.726366423899;80.0;125738.10931391192;0.5943266334847845;74729.50720927911;0,2;True;True
Helmstadt;Landkreis Würzburg;4,97596E+15;9,7474E+15;;0.0;very low;0;0;E;1571.726366423899;99.76650274000593;156805.64284236947;0.7093443563247448;111229.1977901084;0,25;True;True
Altertheim;Landkreis Würzburg;4,97423E+15;9,75784E+15;;0.0;very low;0;0;D;1571.726366423899;154.74016024465777;243209.18980118784;0.5526023696504914;134397.9746049125;0,2;True;True
Eisingen;Landkreis Würzburg;4,97587E+14;9,82668E+15;;0.0;very low;0;0;D;1571.726366423899;127.68123684281782;200679.96644347132;0.75;150509.97483260348;0,25;True;True
Höchberg;Landkreis Würzburg;4,9778E+15;9,86672E+15;;0.0;very low;0;0;B;1571.726366423899;98.54533318825324;154886.29846000572;0.4791119758473234;74207.88048685159;0,2;True;True
Höchberg;Landkreis Würzburg;4,97834E+15;9,90102E+14;;0.0;very low;0;0;D;1571.726366423899;107.74416877022868;169344.35088459487;0.71900352151136;121759.18463407911;0,2;True;True
Waldbüttelbrunn;Landkreis Würzburg;4,97889E+15;9,8162E+15;;0.0;very low;0;0;F;1571.726366423899;80.0;125738.10931391192;0.75;94303.58198543394;0,2;True;True
Hettstadt;Landkreis Würzburg;4,98066E+16;9,84397E+14;;0.0;very low;0;0;D;1571.726366423899;80.0;125738.10931391192;0.5803002777326925;72965.85975644675;0,3;True;True
Zell am Main;Landkreis Würzburg;4,9793E+15;9,88002E+15;;0.0;very low;0;0;A;1571.726366423899;131.18702958209954;206190.11332701787;0.75;154642.5849952634;0,2;True;True
Margetshöchheim;Landkreis Würzburg;4,98354E+15;9,85952E+14;;0.0;very low;0;0;E;1571.726366423899;104.38884717772703;164070.7034698286;0.6295076516657805;103283.76324844442;0,3;True;True
Güntersleben;Landkreis Würzburg;4,9891E+15;9,89775E+15;;0.0;very low;0;0;A+;1571.726366423899;103.3667934363084;162464.31465653874;0.5231553953432803;84994.0827633166;0,3;True;True
Veitshöchheim;Landkreis Würzburg;4,9843E+16;9,8955E+15;;0.0;very low;0;0;D;1571.726366423899;80.0;125738.10931391192;0.5920102644484817;74438.25134618109;0,2;True;True
Veitshöchheim;Landkreis Würzburg;4,98519E+15;9,90034E+14;;0.0;very low;0;0;H;1571.726366423899;129.1267666431331;202951.9437440783;0.7130844073216691;144721.8665195268;0,3;True;True
Veitshöchheim;Landkreis Würzburg;4,98534E+15;9,87319E+15;;0.0;very low;0;0;E;1571.726366423899;80.0;125738.10931391192;0.5152768561336895;64789.937663466706;0,2;True;True
Eibelstadt;Landkreis Würzburg;4,97237E+15;1,00165E+16;;0.0;very low;0;0;F;1571.726366423899;137.09860330445926;215481.4896135093;0.7009469778085107;151041.0989182653;0,2;True;True
Theilheim;Landkreis Würzburg;4,97556E+15;1,00556E+16;;0.0;very low;0;0;E;1571.726366423899;141.0341774304911;221667.13523440924;0.6696298711890498;148434.93521386315;0,2;True;True
Randersacker;Landkreis Würzburg;4,97373E+14;1,00154E+15;;0.0;very low;0;0;F;1571.726366423899;161.57156373311693;253946.2867836793;0.5238988243824865;133042.16110226736;0,25;True;True
Gerbrunn;Landkreis Würzburg;4,97827E+14;1,00067E+14;;0.0;very low;0;0;A;1571.726366423899;137.75555246981176;216514.033938094;0.424899047893675;91996.60687591498;0,2;True;True
Gerbrunn;Landkreis Würzburg;4,97866E+16;1,00025E+16;;0.0;very low;0;0;B;1571.726366423899;89.76727754273375;141089.5969560066;0.75;105817.19771700495;0,2;True;True
Rottendorf;Landkreis Würzburg;4,97948E+15;1,00244E+16;;0.0;very low;0;0;H;1571.726366423899;135.29947369256067;212653.75016587428;0.75;159490.31262440572;0,2;True;True
Kürnach;Landkreis Würzburg;4,98447E+16;1,00489E+16;;0.0;very low;0;0;C;1571.726366423899;155.35460778220946;244174.93319674206;0.684470345867837;167130.50097743003;0,2;True;True
Estenfeld;Landkreis Würzburg;4,9819E+15;1,00155E+16;;0.0;very low;0;0;G;1571.726366423899;132.84707479416332;208799.25015627424;0.6486274859403603;135432.93269509656;0,25;True;True
Unterpleichfeld;Landkreis Würzburg;4,98775E+15;1,00239E+15;;0.0;very low;0;0;E;1571.726366423899;80.0;125738.10931391192;0.75;94303.58198543394;0,2;True;True
Hausen b. Würzburg;Landkreis Würzburg;4,9904E+14;1,00068E+14;;0.0;very low;0;0;C;1571.726366423899;113.08043214300066;177731.4967257627;0.4986231922274349;88621.04625675968;0,3;True;True
Weisendorf;Landkreis Erlangen-Höchstadt;4,96176E+15;1,08417E+16;;0.0;very low;0;0;H;2246.2892708751883;92.47678710652049;207729.61468238593;0.5517573803164081;114616.34801129012;0,25;True;True
Weisendorf;Landkreis Erlangen-Höchstadt;4,95947E+15;1,0819E+15;;0.0;very low;0;0;E;2246.2892708751883;80.0;179703.14167001506;0.7237612623974223;130062.17267187293;0,2;True;True
Puschendorf;Landkreis Fürth;4,9526E+15;1,08342E+16;;0.0;very low;0;0;C;2393.4760881147527;112.42987246118207;269098.2113256306;0.6021303744086126;162032.2067381899;0,2;True;True
Henfenfeld;Landkreis Nürnberger Land;4,94939E+15;1,13901E+16;;0.0;very low;0;0;E;1864.539716621336;106.62179793426537;198800.57690601252;0.5129769392764268;101980.11146763421;0,2;True;True
Hersbruck;Landkreis Nürnberger Land;4,95187E+14;1,14019E+16;;0.0;very low;0;0;A;1864.539716621336;136.29924528015297;254135.3561703584;0.5477790043333046;139210.01236888865;0,25;True;True
Hersbruck;Landkreis Nürnberger Land;4,95244E+15;1,14474E+16;;0.0;very low;0;0;D;1864.539716621336;129.5327261754108;241518.91255628958;0.5009305165299499;120984.19361857395;0,3;True;True
Hersbruck;Landkreis Nürnberger Land;4,94988E+15;1,14424E+16;;0.0;very low;0;0;D;1864.539716621336;80.0;149163.1773297069;0.5268978482305803;78593.75717025904;0,2;True;True
Kirchensittenbach;Landkreis Nürnberger Land;4,95979E+15;1,14369E+15;;0.0;very low;0;0;H;1864.539716621336;90.81935752590692;169336.2991450863;0.7002886243066672;118584.28397349473;0,2;True;True
Simmelsdorf;Landkreis Nürnberger Land;4,9632E+15;1,13196E+15;;0.0;very low;0;0;H;1864.539716621336;98.20546076333687;183107.98198233987;0.49423604251742587;90498.56436830378;0,25;True;True
Schnaittach;Landkreis Nürnberger Land;4,95789E+15;1,13887E+16;;0.0;very low;0;0;G;1864.539716621336;167.63008692550386;312552.9547732889;0.4320741512644414;135046.05265886214;0,2;True;True
Schnaittach;Landkreis Nürnberger Land;4,96136E+15;1,14188E+16;;0.0;very low;0;0;D;1864.539716621336;137.64860075713483;256651.2830490316;0.7081840799901086;181756.35276435938;0,2;True;True
Eckental;Landkreis Erlangen-Höchstadt;4,9564E+15;1,11917E+16;;0.0;very low;0;0;A;2246.2892708751883;88.44459562531605;198672.14622004208;0.6068061465784248;120555.4794802491;0,25;True;True
Eckental;Landkreis Erlangen-Höchstadt;4,95781E+16;1,12717E+16;;0.0;very low;0;0;F;2246.2892708751883;80.0;179703.14167001506;0.45115630169965604;81074.20479965335;0,2;True;True
Eckental;Landkreis Erlangen-Höchstadt;4,95827E+15;1,11967E+15;;0.0;very low;0;0;E;2246.2892708751883;127.78276938383988;287037.063869638;0.584383766280392;167739.8004462045;0,2;True;True
Eckental;Landkreis Erlangen-Höchstadt;4,95836E+15;1,12436E+16;;0.0;very low;0;0;B;2246.2892708751883;132.54762952871346;297740.3180902883;0.7410859165632905;220651.15652978697;0,2;True;True
