ID;ort;landkreis;latitude;longitude;GEB_HQ;flood_risk;Energieklasse;Quadratmeterpreise;aktuelles_LtV;darlehenbetrag;aktueller_immobilienwert;wohnflaeche
24;Nesselwang;Landkreis Ostallgäu;4,76133e+16;1,04965e+16;;very low;B;3907,0;0,6047;141757,32;234420,0;60,0
25;Wertach;Landkreis Oberallgäu;4758530000000000,0;1,0391e+16;;very low;B;4851,0;0,4647;135245,56;291060,0;60,0
26;Bad Hindelang;Landkreis Oberallgäu;4747010000000000,0;1,03634e+16;;very low;D;4851,0;0,4885;142184,92;291060,0;60,0
27;Rettenberg;Landkreis Oberallgäu;4754910000000000,0;1,02956e+16;;very low;F;4851,0;0,4338;144286,57;332604,17;68,56
28;Burgberg i.Allgäu;Landkreis Oberallgäu;4754590000000000,0;1028230000000000,0;;very low;C;4851,0;0,728;211900,18;291060,0;60,0
29;Blaichach;Landkreis Oberallgäu;4748070000000000,0;1,01228e+16;;very low;E;4851,0;0,0927;66883,01;721304,18;148,69
30;Blaichach;Landkreis Oberallgäu;4749440000000000,0;1019050000000000,0;;very low;D;4851,0;0,6767;209843,36;310077,44;63,92
31;Immenstadt im Allgäu;Landkreis Oberallgäu;4757260000000000,0;1,02274e+16;;very low;A;4851,0;0,1434;102358,78;713594,24;147,1
32;Immenstadt im Allgäu;Landkreis Oberallgäu;4757840000000000,0;1,01346e+16;;very low;A;4851,0;0,0685;73057,98;1067006,41;219,96
33;Immenstadt im Allgäu;Landkreis Oberallgäu;4753460000000000,0;1,0206e+16;;very low;D;4851,0;0,3946;114865,12;291060,0;60,0
34;Immenstadt im Allgäu;Landkreis Oberallgäu;4758540000000000,0;1,02394e+16;;very low;H;4851,0;0,5233;222386,13;424981,58;87,61
35;Oberstaufen;Landkreis Oberallgäu;4,75e+16;1001510000000000,0;;very low;H;4851,0;0,5722;166549,81;291060,0;60,0
36;Oberstaufen;Landkreis Oberallgäu;4757320000000000,0;1,00375e+16;;very low;G;4851,0;0,4035;222665,87;551798,19;113,75
37;Wiggensbach;Landkreis Oberallgäu;4771660000000000,0;1,02385e+16;;very low;E;4851,0;0,2746;119818,23;436365,99;89,95
38;Gaukönigshofen;Landkreis Würzburg;4,96303e+16;100067000000000,0;;very low;A+;3022,0;0,5236;159904,91;305395,31;101,06
39;Leinach;Landkreis Würzburg;4982840000000000,0;9820560000000000,0;;very low;D;3022,0;0,2267;217657,18;960200,61;317,74
40;Roßtal;Landkreis Fürth;4938770000000000,0;1,09245e+16;;very low;E;4602,0;0,5623;251265,41;446826,74;97,09
41;Roßtal;Landkreis Fürth;4941010000000000,0;1,08587e+16;;very low;A;4602,0;0,7193;256090,38;356032,5;77,36
42;Roßtal;Landkreis Fürth;4937440000000000,0;1,0869e+16;;very low;C;4602,0;0,4721;210094,43;444994,57;96,7
43;Großhabersdorf;Landkreis Fürth;4940830000000000,0;1,08147e+16;;very low;G;4602,0;0,4538;125314,21;276120,0;60,0
44;Burgthann;Landkreis Nürnberger Land;493284000000000,0;1,13817e+16;;very low;B;3585,0;0,4604;99030,75;215100,0;60,0
45;Burgthann;Landkreis Nürnberger Land;4933240000000000,0;1,13134e+16;;very low;G;3585,0;0,2164;106334,17;491400,22;137,07
46;Burgthann;Landkreis Nürnberger Land;4935690000000000,0;1,13083e+16;;very low;C;3585,0;0,6251;134450,52;215100,0;60,0
47;Allersberg;Landkreis Roth;4924420000000000,0;1,12603e+16;;very low;H;3631,0;0,5428;146534,23;269972,3;74,35
48;Allersberg;Landkreis Roth;4925330000000,0;1,12604e+16;;very low;C;3631,0;0,3327;228318,34;686265,11;189,0
49;Pyrbaum;Landkreis Neumarkt in der Oberpfalz;49291000000000,0;1126520000000000,0;;very low;D;3013,0;0,4655;192454,96;413402,97;137,21
50;Pyrbaum;Landkreis Neumarkt in der Oberpfalz;4929940000000000,0;1,13075e+16;;very low;D;3013,0;0,5617;138653,32;246848,9;81,93
51;Dasing;Landkreis Aichach-Friedberg;4837550000000000,0;1,10383e+16;;very low;G;4487,0;0,5386;144990,85;269220,0;60,0
52;Wildpoldsried;Landkreis Oberallgäu;4778640000000000,0;1,03976e+16;;very low;H;4851,0;0,4874;141867,06;291060,0;60,0
53;Haldenwang;Landkreis Oberallgäu;4780550000000000,0;1034210000000000,0;;very low;G;4851,0;0,533;155136,91;291060,0;60,0
54;Collenberg;Landkreis Miltenberg;4978710000000000,0;9325770000000000,0;;very low;C;2785,0;0,3781;89723,53;237302,3;85,21
55;Babenhausen;Landkreis Unterallgäu;4815450000000000,0;1,0214e+16;;very low;C;3518,0;0,2984;153626,35;514828,29;146,34
56;Erkheim;Landkreis Unterallgäu;4805290000000000,0;1,0321e+16;;very low;D;3518,0;0,4235;89398,29;211080,0;60,0
57;Boos;Landkreis Unterallgäu;480869000000000,0;1,02254e+16;;very low;C;3518,0;0,6834;144250,36;211080,0;60,0
58;Biessenhofen;Landkreis Ostallgäu;4783570000000000,0;1064830000000000,0;;very low;A+;3907,0;0,3933;92201,32;234420,0;60,0
59;Mauerstetten;Landkreis Ostallgäu;4789010000000000,0;1,06774e+16;;very low;G;3907,0;0,733;171838,09;234420,0;60,0
60;Stöttwang;Landkreis Ostallgäu;4,78612e+16;1068660000000000,0;;very low;A+;3907,0;0,4109;135000,8;328562,15;84,1
61;Germaringen;Landkreis Ostallgäu;47955200000000,0;1068360000000000,0;;very low;H;3907,0;0,2014;136933,53;679790,91;173,99
62;Pforzen;Landkreis Ostallgäu;4794040000000000,0;1,05998e+16;;very low;C;3907,0;0,4942;115849,88;234420,0;60,0
63;Markt Rettenbach;Landkreis Unterallgäu;4,79569e+16;1,03589e+16;;very low;E;3518,0;0,588;243791,49;414584,96;117,85
64;Ottobeuren;Landkreis Unterallgäu;4794440000000000,0;103407000000000,0;;very low;C;3518,0;0,644;135941,73;211080,0;60,0
65;Ottobeuren;Landkreis Unterallgäu;4,79346e+16;1,02792e+16;;very low;F;3518,0;0,4336;100438,5;231623,86;65,84
66;Wolfertschwenden;Landkreis Unterallgäu;4791140000000000,0;1,02481e+16;;very low;H;3518,0;0,6714;141715,31;211080,0;60,0
67;Buxheim;Landkreis Unterallgäu;4800360000000000,0;1,01226e+16;;very low;F;3518,0;0,5784;122098,28;211080,0;60,0
68;Woringen;Landkreis Unterallgäu;4,79258e+16;1,0197e+16;;very low;D;3518,0;0,6272;132378,89;211080,0;60,0
69;Bad Grönenbach;Landkreis Unterallgäu;4787130000000000,0;1,02162e+16;;very low;B;3518,0;0,1832;116159,62;634044,96;180,23
70;Würzburg;;4977830000000000,0;9935960000000000,0;;very low;E;3022,0;0,4798;141770,35;295469,38;97,77
71;Würzburg;;497858000000000,0;993336000000000,0;;very low;H;3022,0;0,7274;131893,29;181320,0;60,0
72;Würzburg;;4978010000000000,0;9939060000000000,0;;very low;C;3022,0;0,6022;109195,99;181320,0;60,0
73;Würzburg;;4978990000000000,0;9944100000000000,0;;very low;A+;3022,0;0,0673;98377,81;1460710,1;483,36
74;Würzburg;;4977410000000000,0;9934740000000000,0;;very low;A;3022,0;0,2431;76911,62;316421,56;104,71
75;Mindelheim;Landkreis Unterallgäu;4807310000000000,0;1,05012e+16;;very low;F;3518,0;0,1569;47915,78;305480,86;86,83
76;Mindelheim;Landkreis Unterallgäu;480432000000000,0;1,05389e+16;;very low;A+;3518,0;0,6298;138872,72;220503,94;62,68
77;Mindelheim;Landkreis Unterallgäu;4,80367e+16;1,04538e+16;;very low;E;3518,0;0,6976;147257,75;211080,0;60,0
78;Mindelheim;Landkreis Unterallgäu;4,80717e+16;1,05184e+16;;very low;D;3518,0;0,2677;86764,29;324075,51;92,12
79;Würzburg;;4979980000000000,0;9926880000000000,0;;very low;B;3022,0;0,6782;122965,48;181320,0;60,0
80;Würzburg;;4979940000000000,0;9927000000000000,0;;very low;C;3022,0;0,4127;88024,26;213272,35;70,57
81;Würzburg;;4979880000000000,0;993083000000000,0;;very low;C;3022,0;0,475;86130,29;181320,0;60,0
82;Memmingerberg;Landkreis Unterallgäu;4799080000000000,0;1,02198e+16;;very low;G;3518,0;0,4353;107608,33;247226,54;70,27
83;Westerheim;Landkreis Unterallgäu;4799780000000000,0;1,0315e+16;;very low;A+;3518,0;0,5121;501866,0;980082,24;278,59
84;Sontheim;Landkreis Unterallgäu;4,79974e+16;1,03995e+16;;very low;E;3518,0;0,6748;142440,17;211080,0;60,0
85;Grainau;Landkreis Garmisch-Partenkirchen;4743540000000000,0;1,10066e+16;;very low;A;7326,0;0,3535;155362,84;439560,0;60,0
86;Schwangau;Landkreis Ostallgäu;4753600000000000,0;1,08396e+16;;very low;A;3907,0;0,3624;84958,96;234420,0;60,0
87;Halblech;Landkreis Ostallgäu;4,76142e+16;1,08054e+16;;very low;G;3907,0;0,4328;284259,99;656789,67;168,11
88;Roßhaupten;Landkreis Ostallgäu;4768430000000000,0;1,07178e+16;;very low;E;3907,0;0,4019;94221,58;234420,0;60,0
89;Füssen;Landkreis Ostallgäu;4755260000000000,0;1,06943e+16;;very low;G;3907,0;0,3198;74970,13;234420,0;60,0
90;Füssen;Landkreis Ostallgäu;4757690000000000,0;1,06328e+16;;very low;A;3907,0;0,6279;147183,36;234420,0;60,0
91;Füssen;Landkreis Ostallgäu;4757190000000000,0;1,0621e+16;;very low;D;3907,0;0,3979;93283,19;234420,0;60,0
92;Füssen;Landkreis Ostallgäu;4756810000000000,0;1,06047e+16;;very low;C;3907,0;0,5189;134203,42;258651,28;66,2
93;Durach;Landkreis Oberallgäu;4,77002e+16;1,03796e+16;;very low;A+;4851,0;0,5135;149461,42;291060,0;60,0
94;Durach;Landkreis Oberallgäu;4769780000000000,0;1,0413e+16;;very low;E;4851,0;0,2211;128839,11;582799,33;120,14
95;Sulzberg;Landkreis Oberallgäu;4767520000000000,0;1,03566e+16;;very low;C;4851,0;0,4855;141312,86;291060,0;60,0
96;Buchenberg;Landkreis Oberallgäu;4771190000000000,0;1,01714e+16;;very low;F;4851,0;0,087;159764,51;1835727,01;378,42
97;Waltenhofen;Landkreis Oberallgäu;4762580000000000,0;1,02211e+16;;very low;F;4851,0;0,2625;110953,71;422691,2;87,13
98;Waltenhofen;Landkreis Oberallgäu;4764600000000000,0;1,0265e+16;;very low;F;4851,0;0,458;133299,86;291060,0;60,0
99;Weitnau;Landkreis Oberallgäu;4767270000000000,0;1,01634e+16;;very low;C;4851,0;0,5153;149995,01;291060,0;60,0
100;Giebelstadt;Landkreis Würzburg;4960990000000000,0;9962750000000000,0;;very low;A;3022,0;0,4427;80277,94;181320,0;60,0
101;Kirchheim;Landkreis Würzburg;4,9645e+16;9846330000000000,0;;very low;G;3022,0;0,7148;148264,38;207430,35;68,64
102;Neubrunn;Landkreis Würzburg;4973140000000000,0;968533000000000,0;;very low;C;3022,0;0,1338;54492,69;407254,61;134,76
103;Helmstadt;Landkreis Würzburg;4975960000000000,0;9747400000000000,0;;very low;E;3022,0;0,5178;93893,75;181320,0;60,0
104;Altertheim;Landkreis Würzburg;4974230000000000,0;9757840000000000,0;;very low;D;3022,0;0,189;152438,55;806527,43;266,89
105;Eisingen;Landkreis Würzburg;497587000000000,0;9826680000000000,0;;very low;D;3022,0;0,5827;189382,91;325031,56;107,56
106;Höchberg;Landkreis Würzburg;4977800000000000,0;9866720000000000,0;;very low;B;3022,0;0,4233;237565,67;561167,68;185,69
107;Höchberg;Landkreis Würzburg;4978340000000000,0;990102000000000,0;;very low;D;3022,0;0,4093;124746,91;304809,25;100,86
108;Waldbüttelbrunn;Landkreis Würzburg;4978890000000000,0;9816200000000000,0;;very low;F;3022,0;0,1293;186832,42;1444905,08;478,13
109;Hettstadt;Landkreis Würzburg;4,98066e+16;984397000000000,0;;very low;D;3022,0;0,6285;261725,71;416410,1;137,79
110;Zell am Main;Landkreis Würzburg;4979300000000000,0;9880020000000000,0;;very low;A;3022,0;0,2987;196684,61;658455,62;217,89
111;Margetshöchheim;Landkreis Würzburg;4983540000000000,0;985952000000000,0;;very low;E;3022,0;0,7185;130286,73;181320,0;60,0
112;Güntersleben;Landkreis Würzburg;4989100000000000,0;9897750000000000,0;;very low;A+;3022,0;0,6953;126077,88;181320,0;60,0
113;Veitshöchheim;Landkreis Würzburg;4,9843e+16;9895500000000000,0;;very low;D;3022,0;0,4457;162649,17;364947,84;120,76
114;Veitshöchheim;Landkreis Würzburg;4985190000000000,0;990034000000000,0;;very low;H;3022,0;0,6889;124906,11;181320,0;60,0
115;Veitshöchheim;Landkreis Würzburg;4985340000000000,0;9873190000000000,0;;very low;E;3022,0;0,4626;146275,79;316185,46;104,63
116;Eibelstadt;Landkreis Würzburg;4972370000000000,0;1,00165e+16;;very low;F;3022,0;0,3873;260577,26;672884,79;222,66
117;Theilheim;Landkreis Würzburg;4975560000000000,0;1,00556e+16;;very low;E;3022,0;0,1379;53719,89;389509,9;128,89
118;Randersacker;Landkreis Würzburg;497373000000000,0;1001540000000000,0;;very low;F;3022,0;0,5313;96844,13;182282,28;60,32
119;Gerbrunn;Landkreis Würzburg;497827000000000,0;100067000000000,0;;very low;A;3022,0;0,3312;137558,05;415284,22;137,42
120;Gerbrunn;Landkreis Würzburg;4,97866e+16;1,00025e+16;;very low;B;3022,0;0,371;221211,21;596291,75;197,32
121;Rottendorf;Landkreis Würzburg;4979480000000000,0;1,00244e+16;;very low;H;3022,0;0,4194;117752,02;280780,26;92,91
122;Kürnach;Landkreis Würzburg;4,98447e+16;1,00489e+16;;very low;C;3022,0;0,493;202830,93;411450,83;136,15
123;Estenfeld;Landkreis Würzburg;4981900000000000,0;1,00155e+16;;very low;G;3022,0;0,5014;135191,02;269631,29;89,22
124;Unterpleichfeld;Landkreis Würzburg;4987750000000000,0;1002390000000000,0;;very low;E;3022,0;0,3758;159353,3;424034,12;140,32
125;Hausen b. Würzburg;Landkreis Würzburg;499040000000000,0;100068000000000,0;;very low;C;3022,0;0,6587;119428,61;181320,0;60,0
126;Weisendorf;Landkreis Erlangen-Höchstadt;4961760000000000,0;1,08417e+16;;very low;H;4319,0;0,5835;151203,43;259140,0;60,0
127;Weisendorf;Landkreis Erlangen-Höchstadt;4959470000000000,0;1081900000000000,0;;very low;E;4319,0;0,2354;210431,81;893758,1;206,94
128;Puschendorf;Landkreis Fürth;4952600000000000,0;1,08342e+16;;very low;C;4602,0;0,2634;97854,04;371565,02;80,74
129;Henfenfeld;Landkreis Nürnberger Land;4949390000000000,0;1,13901e+16;;very low;E;3585,0;0,1121;33882,39;302153,73;84,28
130;Hersbruck;Landkreis Nürnberger Land;495187000000000,0;1,14019e+16;;very low;A;3585,0;0,5095;109594,03;215100,0;60,0
131;Hersbruck;Landkreis Nürnberger Land;4952440000000000,0;1,14474e+16;;very low;D;3585,0;0,6967;149850,26;215100,0;60,0
132;Hersbruck;Landkreis Nürnberger Land;4949880000000000,0;1,14424e+16;;very low;D;3585,0;0,2785;59908,62;215100,0;60,0
133;Kirchensittenbach;Landkreis Nürnberger Land;4959790000000000,0;1143690000000000,0;;very low;H;3585,0;0,2039;59941,77;293932,22;81,99
134;Simmelsdorf;Landkreis Nürnberger Land;4963200000000000,0;1131960000000000,0;;very low;H;3585,0;0,5224;134898,11;258220,52;72,03
135;Schnaittach;Landkreis Nürnberger Land;4957890000000000,0;1,13887e+16;;very low;G;3585,0;0,152;62564,7;411734,13;114,85
136;Schnaittach;Landkreis Nürnberger Land;4961360000000000,0;1,14188e+16;;very low;D;3585,0;0,1798;153557,04;854008,13;238,22
137;Eckental;Landkreis Erlangen-Höchstadt;4956400000000000,0;1,11917e+16;;very low;A;4319,0;0,5272;145313,59;275610,64;63,81
138;Eckental;Landkreis Erlangen-Höchstadt;4,95781e+16;1,12717e+16;;very low;F;4319,0;0,1204;172046,46;1429266,94;330,93
139;Eckental;Landkreis Erlangen-Höchstadt;4958270000000000,0;1119670000000000,0;;very low;E;4319,0;0,1975;77698,97;393366,48;91,08
140;Eckental;Landkreis Erlangen-Höchstadt;4958360000000000,0;1,12436e+16;;very low;B;4319,0;0,4259;110365,85;259140,0;60,0
141;Aurachtal;Landkreis Erlangen-Höchstadt;4957670000000000,0;1,08255e+16;;very low;A;4319,0;0,6871;178064,19;259140,0;60,0
142;Großenseebach;Landkreis Erlangen-Höchstadt;4961710000000000,0;1,08798e+16;;very low;C;4319,0;0,7256;252930,56;348572,28;80,71
143;Herzogenaurach;Landkreis Erlangen-Höchstadt;4960450000000000,0;1,08463e+16;;very low;D;4319,0;0,4477;116009,47;259140,0;60,0
144;Herzogenaurach;Landkreis Erlangen-Höchstadt;4956900000000000,0;1,08865e+16;;very low;H;4319,0;0,2455;83243,32;339131,53;78,52
145;Herzogenaurach;Landkreis Erlangen-Höchstadt;4955190000000000,0;1,08889e+16;;very low;E;4319,0;0,6595;196533,27;297989,74;69,0
146;Herzogenaurach;Landkreis Erlangen-Höchstadt;4956900000000000,0;1,08557e+16;;very low;D;4319,0;0,1738;98725,16;567983,64;131,51
147;Herzogenaurach;Landkreis Erlangen-Höchstadt;4957160000000000,0;1089650000000000,0;;very low;A;4319,0;0,1085;52590,6;484872,44;112,26
148;Herzogenaurach;Landkreis Erlangen-Höchstadt;4955120000000000,0;1,08463e+16;;very low;D;4319,0;0,6897;240028,19;348005,7;80,58
149;Heßdorf;Landkreis Erlangen-Höchstadt;496562000000000,0;1,08794e+16;;very low;D;4319,0;0,5122;132722,57;259140,0;60,0
150;Röttenbach;Landkreis Erlangen-Höchstadt;4967240000000000,0;1092670000000000,0;;very low;F;4319,0;0,1214;204738,76;1687105,06;390,62
151;Hemhofen;Landkreis Erlangen-Höchstadt;4968480000000000,0;109379000000000,0;;very low;G;4319,0;0,5309;213994,64;403041,61;93,32
152;Adelsdorf;Landkreis Erlangen-Höchstadt;4,97086e+16;1,08854e+16;;very low;H;4319,0;0,2027;52539,8;259140,0;60,0
153;Adelsdorf;Landkreis Erlangen-Höchstadt;4968990000000000,0;1,09091e+16;;very low;H;4319,0;0,1224;153626,78;1255007,06;290,58
154;Zirndorf;Landkreis Fürth;4944290000000000,0;1,09529e+16;;very low;C;4602,0;0,2351;84589,62;359832,52;78,19
155;Zirndorf;Landkreis Fürth;4943340000000000,0;1,09427e+16;;very low;A;4602,0;0,316;214796,36;679710,99;147,7
156;Zirndorf;Landkreis Fürth;4944860000000000,0;1,09028e+16;;very low;A+;4602,0;0,5941;164055,53;276120,0;60,0
157;Zirndorf;Landkreis Fürth;4943400000000000,0;1,09452e+16;;very low;A;4602,0;0,4738;130819,96;276120,0;60,0
158;Zirndorf;Landkreis Fürth;4944850000000000,0;1,09452e+16;;very low;D;4602,0;0,1609;138874,06;863356,28;187,6
159;Zirndorf;Landkreis Fürth;4,94168e+16;1093600000000000,0;;very low;A;4602,0;0,6519;180013,0;276120,0;60,0
160;Zirndorf;Landkreis Fürth;4,94325e+16;1,09391e+16;;very low;H;4602,0;0,4664;134599,34;288613,45;62,71
161;Oberasbach;Landkreis Fürth;4941910000000000,0;1,09818e+16;;very low;E;4602,0;0,4729;143619,31;303680,76;65,99
162;Oberasbach;Landkreis Fürth;4941890000000000,0;1096130000000000,0;;very low;C;4602,0;0,7329;202356,95;276120,0;60,0
163;Oberasbach;Landkreis Fürth;4942920000000000,0;1,09495e+16;;very low;B;4602,0;0,5198;156600,32;301277,15;65,47
164;Oberasbach;Landkreis Fürth;4943020000000000,0;1,09718e+16;;very low;H;4602,0;0,6018;166168,9;276120,0;60,0
165;Oberasbach;Landkreis Fürth;4942680000000000,0;1,0986e+16;;very low;D;4602,0;0,1146;118106,85;1030918,74;224,02
166;Stein;Landkreis Fürth;493898000000000,0;1,09478e+16;;very low;D;4602,0;0,43;118731,35;276120,0;60,0
167;Stein;Landkreis Fürth;4939650000000000,0;1,09237e+16;;very low;A;4602,0;0,4125;180038,23;436501,82;94,85
168;Stein;Landkreis Fürth;4941410000000000,0;1,10061e+16;;very low;E;4602,0;0,1303;60534,97;464481,43;100,93
169;Stein;Landkreis Fürth;4939810000000000,0;1,09387e+16;;very low;H;4602,0;0,7035;264579,73;376084,97;81,72
170;Ammerndorf;Landkreis Fürth;4942740000000000,0;1,0852e+16;;very low;C;4602,0;0,3157;95902,41;303760,97;66,01
171;Langenzenn;Landkreis Fürth;4945790000000000,0;1,07651e+16;;very low;E;4602,0;0,5509;154652,09;280736,15;61,0
172;Langenzenn;Landkreis Fürth;4949990000000000,0;1,0812e+16;;very low;C;4602,0;0,6673;184262,63;276120,0;60,0
173;Langenzenn;Landkreis Fürth;4950020000000000,0;107623000000000,0;;very low;C;4602,0;0,6981;192763,92;276120,0;60,0
174;Bubenreuth;Landkreis Erlangen-Höchstadt;4962240000000000,0;1,10037e+16;;very low;H;4319,0;0,0782;93608,58;1196864,7;277,12
175;Baiersdorf;Landkreis Erlangen-Höchstadt;4966810000000000,0;1,10393e+16;;very low;F;4319,0;0,4224;109454,98;259140,0;60,0
176;Baiersdorf;Landkreis Erlangen-Höchstadt;4965910000000000,0;1,10594e+16;;very low;G;4319,0;0,3983;164109,49;412067,55;95,41
177;Altdorf bei Nürnberg;Landkreis Nürnberger Land;4938030000000000,0;1140870000000000,0;;very low;F;3585,0;0,2722;108480,68;398532,99;111,17
178;Altdorf bei Nürnberg;Landkreis Nürnberger Land;4940320000000000,0;1140910000000000,0;;very low;C;3585,0;0,5269;113331,64;215100,0;60,0
179;Altdorf bei Nürnberg;Landkreis Nürnberger Land;4,94136e+16;1,14035e+16;;very low;E;3585,0;0,2243;99950,81;445566,42;124,29
180;Altdorf bei Nürnberg;Landkreis Nürnberger Land;4938990000000000,0;1137550000000000,0;;very low;D;3585,0;0,6941;166036,52;239203,0;66,72
181;Schwarzenbruck;Landkreis Nürnberger Land;4,93646e+16;1,12784e+16;;very low;A;3585,0;0,5798;124706,8;215100,0;60,0
182;Schwarzenbruck;Landkreis Nürnberger Land;4936990000000000,0;1,12611e+16;;very low;E;3585,0;0,4782;128260,78;268232,15;74,82
183;Lauben;Landkreis Oberallgäu;4779380000000000,0;1,02879e+16;HQ 500;very low;F;4851,0;0,6114;177943,48;291060,0;60,0
184;Memmingen;;480301000000000,0;1,01948e+16;;very low;A;3862,0;0,1653;62498,08;378016,44;97,88
185;Memmingen;;4799630000000000,0;1,01584e+16;;very low;F;3862,0;0,5153;119401,01;231720,0;60,0
186;Memmingen;;479965000000000,0;1019090000000000,0;;very low;E;3862,0;0,1626;118536,09;729120,88;188,79
187;Memmingen;;4802310000000000,0;1,01506e+16;;very low;G;3862,0;0,3902;127279,21;326201,82;84,46
188;Memmingen;;4798630000000000,0;1,01866e+16;;very low;F;3862,0;0,5164;119663,63;231720,0;60,0
189;Memmingen;;4793880000000000,0;1,01255e+16;;very low;H;3862,0;0,4069;94296,07;231720,0;60,0
190;Memmingen;;479697000000000,0;1,01351e+16;;very low;D;3862,0;0,4799;111207,77;231720,0;60,0
191;Memmingen;;4801050000000000,0;1,01944e+16;;very low;C;3862,0;0,2805;64993,83;231720,0;60,0
192;Memmingen;;4798800000000000,0;1,0148e+16;;very low;H;3862,0;0,3334;77265,02;231720,0;60,0
193;Memmingen;;4800480000000000,0;1,02062e+16;;very low;E;3862,0;0,6904;196724,75;284944,14;73,78
194;Memmingen;;4798080000000000,0;1,01693e+16;;very low;F;3862,0;0,0971;62648,76;645283,26;167,09
195;Kaufbeuren;;4787430000000000,0;1064650000000000,0;;very low;G;3716,0;0,3889;86698,56;222960,0;60,0
196;Kaufbeuren;;4787170000000000,0;1,06362e+16;;very low;B;3716,0;0,6367;141958,31;222960,0;60,0
197;Kaufbeuren;;4786420000000000,0;1,05838e+16;;very low;D;3716,0;0,477;106352,38;222960,0;60,0
198;Kaufbeuren;;4786770000000000,0;1,06084e+16;;very low;D;3716,0;0,5518;211605,64;383497,92;103,2
199;Kaufbeuren;;4786650000000000,0;1063870000000000,0;;very low;G;3716,0;0,1303;81912,99;628868,69;169,23
200;Kaufbeuren;;4789200000000000,0;1,0577e+16;;very low;G;3716,0;0,463;291864,64;630353,36;169,63
201;Kaufbeuren;;4,78503e+16;1,06333e+16;;very low;C;3716,0;0,5955;132777,49;222960,0;60,0
202;Kaufbeuren;;4786470000000000,0;1,06123e+16;;very low;G;3716,0;0,4256;94881,87;222960,0;60,0
203;Kaufbeuren;;4,7859e+16;1,06544e+16;;very low;C;3716,0;0,4055;136029,39;335445,64;90,27
