ID;ort;landkreis;latitude;longitude;GEB_HQ;flood_risk;Energieklasse;Quadratmeterpreise
70;Würzburg;;4,97783E+15;9,93596E+15;;very low;E;3.022
71;Würzburg;;4,97858E+14;9,93336E+14;;very low;H;3.022
72;Würzburg;;4,97801E+15;9,93906E+15;;very low;C;3.022
73;Würzburg;;4,97899E+15;9,9441E+15;;very low;A+;3.022
74;Würzburg;;4,97741E+15;9,93474E+15;;very low;A;3.022
75;Mindelheim;Landkreis Unterallgäu;4,80731E+15;1,05012E+16;;very low;F;3.518
76;Mindelheim;Landkreis Unterallgäu;4,80432E+14;1,05389E+16;;very low;A+;3.518
77;Mindelheim;Landkreis Unterallgäu;4,80367E+16;1,04538E+16;;very low;E;3.518
78;Mindelheim;Landkreis Unterallgäu;4,80717E+16;1,05184E+16;;very low;D;3.518
79;Würzburg;;4,97998E+15;9,92688E+15;;very low;B;3.022
80;Würzburg;;4,97994E+15;9,927E+15;;very low;C;3.022
81;Würzburg;;4,97988E+15;9,93083E+14;;very low;C;3.022
82;Memmingerberg;Landkreis Unterallgäu;4,79908E+15;1,02198E+16;;very low;G;3.518
83;Westerheim;Landkreis Unterallgäu;4,79978E+15;1,0315E+16;;very low;A+;3.518
84;Sontheim;Landkreis Unterallgäu;4,79974E+16;1,03995E+16;;very low;E;3.518
85;Grainau;Landkreis Garmisch-Partenkirchen;4,74354E+15;1,10066E+16;;very low;A;7.326
86;Schwangau;Landkreis Ostallgäu;4,7536E+15;1,08396E+16;;very low;A;3.907
87;Halblech;Landkreis Ostallgäu;4,76142E+16;1,08054E+16;;very low;G;3.907
88;Roßhaupten;Landkreis Ostallgäu;4,76843E+15;1,07178E+16;;very low;E;3.907
89;Füssen;Landkreis Ostallgäu;4,75526E+15;1,06943E+16;;very low;G;3.907
90;Füssen;Landkreis Ostallgäu;4,75769E+15;1,06328E+16;;very low;A;3.907
91;Füssen;Landkreis Ostallgäu;4,75719E+15;1,0621E+16;;very low;D;3.907
92;Füssen;Landkreis Ostallgäu;4,75681E+15;1,06047E+16;;very low;C;3.907
93;Durach;Landkreis Oberallgäu;4,77002E+16;1,03796E+16;;very low;A+;4.851
94;Durach;Landkreis Oberallgäu;4,76978E+15;1,0413E+16;;very low;E;4.851
95;Sulzberg;Landkreis Oberallgäu;4,76752E+15;1,03566E+16;;very low;C;4.851
96;Buchenberg;Landkreis Oberallgäu;4,77119E+15;1,01714E+16;;very low;F;4.851
97;Waltenhofen;Landkreis Oberallgäu;4,76258E+15;1,02211E+16;;very low;F;4.851
98;Waltenhofen;Landkreis Oberallgäu;4,7646E+15;1,0265E+16;;very low;F;4.851
99;Weitnau;Landkreis Oberallgäu;4,76727E+15;1,01634E+16;;very low;C;4.851
100;Giebelstadt;Landkreis Würzburg;4,96099E+15;9,96275E+15;;very low;A;3.022
101;Kirchheim;Landkreis Würzburg;4,9645E+16;9,84633E+15;;very low;G;3.022
102;Neubrunn;Landkreis Würzburg;4,97314E+15;9,68533E+14;;very low;C;3.022
103;Helmstadt;Landkreis Würzburg;4,97596E+15;9,7474E+15;;very low;E;3.022
104;Altertheim;Landkreis Würzburg;4,97423E+15;9,75784E+15;;very low;D;3.022
105;Eisingen;Landkreis Würzburg;4,97587E+14;9,82668E+15;;very low;D;3.022
106;Höchberg;Landkreis Würzburg;4,9778E+15;9,86672E+15;;very low;B;3.022
107;Höchberg;Landkreis Würzburg;4,97834E+15;9,90102E+14;;very low;D;3.022
108;Waldbüttelbrunn;Landkreis Würzburg;4,97889E+15;9,8162E+15;;very low;F;3.022
109;Hettstadt;Landkreis Würzburg;4,98066E+16;9,84397E+14;;very low;D;3.022
110;Zell am Main;Landkreis Würzburg;4,9793E+15;9,88002E+15;;very low;A;3.022
111;Margetshöchheim;Landkreis Würzburg;4,98354E+15;9,85952E+14;;very low;E;3.022
112;Güntersleben;Landkreis Würzburg;4,9891E+15;9,89775E+15;;very low;A+;3.022
113;Veitshöchheim;Landkreis Würzburg;4,9843E+16;9,8955E+15;;very low;D;3.022
114;Veitshöchheim;Landkreis Würzburg;4,98519E+15;9,90034E+14;;very low;H;3.022
115;Veitshöchheim;Landkreis Würzburg;4,98534E+15;9,87319E+15;;very low;E;3.022
116;Eibelstadt;Landkreis Würzburg;4,97237E+15;1,00165E+16;;very low;F;3.022
117;Theilheim;Landkreis Würzburg;4,97556E+15;1,00556E+16;;very low;E;3.022
118;Randersacker;Landkreis Würzburg;4,97373E+14;1,00154E+15;;very low;F;3.022
119;Gerbrunn;Landkreis Würzburg;4,97827E+14;1,00067E+14;;very low;A;3.022
120;Gerbrunn;Landkreis Würzburg;4,97866E+16;1,00025E+16;;very low;B;3.022
121;Rottendorf;Landkreis Würzburg;4,97948E+15;1,00244E+16;;very low;H;3.022
122;Kürnach;Landkreis Würzburg;4,98447E+16;1,00489E+16;;very low;C;3.022
123;Estenfeld;Landkreis Würzburg;4,9819E+15;1,00155E+16;;very low;G;3.022
124;Unterpleichfeld;Landkreis Würzburg;4,98775E+15;1,00239E+15;;very low;E;3.022
125;Hausen b. Würzburg;Landkreis Würzburg;4,9904E+14;1,00068E+14;;very low;C;3.022
126;Weisendorf;Landkreis Erlangen-Höchstadt;4,96176E+15;1,08417E+16;;very low;H;4.319
127;Weisendorf;Landkreis Erlangen-Höchstadt;4,95947E+15;1,0819E+15;;very low;E;4.319
128;Puschendorf;Landkreis Fürth;4,9526E+15;1,08342E+16;;very low;C;4.602
129;Henfenfeld;Landkreis Nürnberger Land;4,94939E+15;1,13901E+16;;very low;E;3.585
130;Hersbruck;Landkreis Nürnberger Land;4,95187E+14;1,14019E+16;;very low;A;3.585
131;Hersbruck;Landkreis Nürnberger Land;4,95244E+15;1,14474E+16;;very low;D;3.585
132;Hersbruck;Landkreis Nürnberger Land;4,94988E+15;1,14424E+16;;very low;D;3.585
133;Kirchensittenbach;Landkreis Nürnberger Land;4,95979E+15;1,14369E+15;;very low;H;3.585
134;Simmelsdorf;Landkreis Nürnberger Land;4,9632E+15;1,13196E+15;;very low;H;3.585
135;Schnaittach;Landkreis Nürnberger Land;4,95789E+15;1,13887E+16;;very low;G;3.585
136;Schnaittach;Landkreis Nürnberger Land;4,96136E+15;1,14188E+16;;very low;D;3.585
137;Eckental;Landkreis Erlangen-Höchstadt;4,9564E+15;1,11917E+16;;very low;A;4.319
138;Eckental;Landkreis Erlangen-Höchstadt;4,95781E+16;1,12717E+16;;very low;F;4.319
139;Eckental;Landkreis Erlangen-Höchstadt;4,95827E+15;1,11967E+15;;very low;E;4.319
140;Eckental;Landkreis Erlangen-Höchstadt;4,95836E+15;1,12436E+16;;very low;B;4.319
141;Aurachtal;Landkreis Erlangen-Höchstadt;4,95767E+15;1,08255E+16;;very low;A;4.319
142;Großenseebach;Landkreis Erlangen-Höchstadt;4,96171E+15;1,08798E+16;;very low;C;4.319
143;Herzogenaurach;Landkreis Erlangen-Höchstadt;4,96045E+15;1,08463E+16;;very low;D;4.319
144;Herzogenaurach;Landkreis Erlangen-Höchstadt;4,9569E+15;1,08865E+16;;very low;H;4.319
145;Herzogenaurach;Landkreis Erlangen-Höchstadt;4,95519E+15;1,08889E+16;;very low;E;4.319
146;Herzogenaurach;Landkreis Erlangen-Höchstadt;4,9569E+15;1,08557E+16;;very low;D;4.319
147;Herzogenaurach;Landkreis Erlangen-Höchstadt;4,95716E+15;1,08965E+15;;very low;A;4.319
148;Herzogenaurach;Landkreis Erlangen-Höchstadt;4,95512E+15;1,08463E+16;;very low;D;4.319
149;Heßdorf;Landkreis Erlangen-Höchstadt;4,96562E+14;1,08794E+16;;very low;D;4.319
150;Röttenbach;Landkreis Erlangen-Höchstadt;4,96724E+15;1,09267E+15;;very low;F;4.319
151;Hemhofen;Landkreis Erlangen-Höchstadt;4,96848E+15;1,09379E+14;;very low;G;4.319
152;Adelsdorf;Landkreis Erlangen-Höchstadt;4,97086E+16;1,08854E+16;;very low;H;4.319
153;Adelsdorf;Landkreis Erlangen-Höchstadt;4,96899E+15;1,09091E+16;;very low;H;4.319
154;Zirndorf;Landkreis Fürth;4,94429E+15;1,09529E+16;;very low;C;4.602
155;Zirndorf;Landkreis Fürth;4,94334E+15;1,09427E+16;;very low;A;4.602
156;Zirndorf;Landkreis Fürth;4,94486E+15;1,09028E+16;;very low;A+;4.602
157;Zirndorf;Landkreis Fürth;4,9434E+15;1,09452E+16;;very low;A;4.602
158;Zirndorf;Landkreis Fürth;4,94485E+15;1,09452E+16;;very low;D;4.602
159;Zirndorf;Landkreis Fürth;4,94168E+16;1,0936E+15;;very low;A;4.602
160;Zirndorf;Landkreis Fürth;4,94325E+16;1,09391E+16;;very low;H;4.602
161;Oberasbach;Landkreis Fürth;4,94191E+15;1,09818E+16;;very low;E;4.602
162;Oberasbach;Landkreis Fürth;4,94189E+15;1,09613E+15;;very low;C;4.602
163;Oberasbach;Landkreis Fürth;4,94292E+15;1,09495E+16;;very low;B;4.602
164;Oberasbach;Landkreis Fürth;4,94302E+15;1,09718E+16;;very low;H;4.602
165;Oberasbach;Landkreis Fürth;4,94268E+15;1,0986E+16;;very low;D;4.602
166;Stein;Landkreis Fürth;4,93898E+14;1,09478E+16;;very low;D;4.602
167;Stein;Landkreis Fürth;4,93965E+15;1,09237E+16;;very low;A;4.602
168;Stein;Landkreis Fürth;4,94141E+15;1,10061E+16;;very low;E;4.602
169;Stein;Landkreis Fürth;4,93981E+15;1,09387E+16;;very low;H;4.602
170;Ammerndorf;Landkreis Fürth;4,94274E+15;1,0852E+16;;very low;C;4.602
171;Langenzenn;Landkreis Fürth;4,94579E+15;1,07651E+16;;very low;E;4.602
172;Langenzenn;Landkreis Fürth;4,94999E+15;1,0812E+16;;very low;C;4.602
173;Langenzenn;Landkreis Fürth;4,95002E+15;1,07623E+14;;very low;C;4.602
174;Bubenreuth;Landkreis Erlangen-Höchstadt;4,96224E+15;1,10037E+16;;very low;H;4.319
175;Baiersdorf;Landkreis Erlangen-Höchstadt;4,96681E+15;1,10393E+16;;very low;F;4.319
176;Baiersdorf;Landkreis Erlangen-Höchstadt;4,96591E+15;1,10594E+16;;very low;G;4.319
177;Altdorf bei Nürnberg;Landkreis Nürnberger Land;4,93803E+15;1,14087E+15;;very low;F;3.585
178;Altdorf bei Nürnberg;Landkreis Nürnberger Land;4,94032E+15;1,14091E+15;;very low;C;3.585
179;Altdorf bei Nürnberg;Landkreis Nürnberger Land;4,94136E+16;1,14035E+16;;very low;E;3.585
180;Altdorf bei Nürnberg;Landkreis Nürnberger Land;4,93899E+15;1,13755E+15;;very low;D;3.585
181;Schwarzenbruck;Landkreis Nürnberger Land;4,93646E+16;1,12784E+16;;very low;A;3.585
182;Schwarzenbruck;Landkreis Nürnberger Land;4,93699E+15;1,12611E+16;;very low;E;3.585
183;Lauben;Landkreis Oberallgäu;4,77938E+15;1,02879E+16;HQ 500;very low;F;4.851
184;Memmingen;;4,80301E+14;1,01948E+16;;very low;A;3.862
185;Memmingen;;4,79963E+15;1,01584E+16;;very low;F;3.862
186;Memmingen;;4,79965E+14;1,01909E+15;;very low;E;3.862
187;Memmingen;;4,80231E+15;1,01506E+16;;very low;G;3.862
188;Memmingen;;4,79863E+15;1,01866E+16;;very low;F;3.862
189;Memmingen;;4,79388E+15;1,01255E+16;;very low;H;3.862
190;Memmingen;;4,79697E+14;1,01351E+16;;very low;D;3.862
191;Memmingen;;4,80105E+15;1,01944E+16;;very low;C;3.862
192;Memmingen;;4,7988E+15;1,0148E+16;;very low;H;3.862
193;Memmingen;;4,80048E+15;1,02062E+16;;very low;E;3.862
194;Memmingen;;4,79808E+15;1,01693E+16;;very low;F;3.862
195;Kaufbeuren;;4,78743E+15;1,06465E+15;;very low;G;3.716
196;Kaufbeuren;;4,78717E+15;1,06362E+16;;very low;B;3.716
197;Kaufbeuren;;4,78642E+15;1,05838E+16;;very low;D;3.716
198;Kaufbeuren;;4,78677E+15;1,06084E+16;;very low;D;3.716
199;Kaufbeuren;;4,78665E+15;1,06387E+15;;very low;G;3.716
200;Kaufbeuren;;4,7892E+15;1,0577E+16;;very low;G;3.716
201;Kaufbeuren;;4,78503E+16;1,06333E+16;;very low;C;3.716
202;Kaufbeuren;;4,78647E+15;1,06123E+16;;very low;G;3.716
203;Kaufbeuren;;4,7859E+16;1,06544E+16;;very low;C;3.716
204;Kaufbeuren;;4,78828E+15;1,06284E+16;;very low;H;3.716
205;Kaufbeuren;;4,78757E+15;1,06342E+16;;very low;D;3.716
206;Klingenberg am Main;Landkreis Miltenberg;4,97486E+15;9,18838E+15;;very low;D;2.785
207;Klingenberg am Main;Landkreis Miltenberg;4,97525E+15;9,18511E+11;;very low;F;2.785
208;Bodolz;Landkreis Lindau;4,75752E+15;9,68104E+14;;very low;E;5.279
209;Bodolz;Landkreis Lindau;4,75598E+15;9,65678E+14;;very low;C;5.279
210;Bodolz;Landkreis Lindau;4,7579E+15;9,69147E+15;;very low;D;5.279
211;Bodolz;Landkreis Lindau;4,75834E+16;9,66482E+15;;very low;C;5.279
212;Bodolz;Landkreis Lindau;4,75667E+16;9,70482E+15;;very low;G;5.279
213;Bodolz;Landkreis Lindau;4,75911E+15;9,69288E+15;;very low;H;5.279
214;Bodolz;Landkreis Lindau;4,7573E+15;9,71351E+15;;very low;A+;5.279
215;Lindau (Bodensee);Landkreis Lindau;4,75426E+15;9,72728E+15;;very low;A+;5.279
216;Lindau (Bodensee);Landkreis Lindau;4,7553E+15;9,72331E+14;;very low;G;5.279
217;Lindau (Bodensee);Landkreis Lindau;4,75802E+15;9,65379E+15;;very low;F;5.279
218;Lindau (Bodensee);Landkreis Lindau;4,75704E+15;9,68342E+14;;very low;G;5.279
219;Lindau (Bodensee);Landkreis Lindau;4,75976E+15;9,6838E+15;;very low;E;5.279
220;Lindau (Bodensee);Landkreis Lindau;4,7591E+14;9,67883E+14;;very low;D;5.279
221;Lindau (Bodensee);Landkreis Lindau;4,75564E+16;9,69691E+15;;very low;C;5.279
222;Eschau;Landkreis Miltenberg;4,98218E+15;9,3463E+14;;very low;H;2.785
223;Großheubach;Landkreis Miltenberg;4,97323E+15;9,22212E+15;;very low;A;2.785
224;Wörth am Main;Landkreis Miltenberg;4,97742E+15;9,13302E+15;;very low;D;2.785
225;Erlenbach am Main;Landkreis Miltenberg;4,97912E+16;9,17231E+15;;very low;G;2.785
226;Erlenbach am Main;Landkreis Miltenberg;4,98087E+15;9,20098E+14;;very low;F;2.785
227;Erlenbach am Main;Landkreis Miltenberg;4,97983E+15;9,1754E+15;;very low;G;2.785
228;Mönchberg;Landkreis Miltenberg;4,97978E+15;9,30256E+15;;very low;E;2.785
229;Hausen;Landkreis Miltenberg;4,98834E+15;9,20844E+15;;very low;E;2.785
230;Kleinwallstadt;Landkreis Miltenberg;4,98727E+15;9,16995E+15;;very low;C;2.785
231;Kleinwallstadt;Landkreis Miltenberg;4,98624E+15;9,19975E+15;;very low;H;2.785
232;Sulzbach am Main;Landkreis Miltenberg;4,99115E+15;9,17163E+15;;very low;F;2.785
233;Sulzbach am Main;Landkreis Miltenberg;4,99205E+15;9,18931E+15;;very low;A;2.785
234;Großwallstadt;Landkreis Miltenberg;4,98821E+15;9,11905E+15;;very low;E;2.785
235;Niedernberg;Landkreis Miltenberg;4,99062E+15;9,12753E+15;;very low;D;2.785
236;Hösbach;Landkreis Aschaffenburg;5,00442E+15;9,2148E+14;;very low;C;3.619
237;Hösbach;Landkreis Aschaffenburg;5,0023E+15;9,23071E+15;;very low;G;3.619
238;Hösbach;Landkreis Aschaffenburg;5,00299E+15;9,19341E+15;;very low;F;3.619
239;Hösbach;Landkreis Aschaffenburg;4,99738E+15;9,21046E+14;;very low;G;3.619
240;Obernburg am Main;Landkreis Miltenberg;4,98306E+15;9,09928E+15;;very low;A+;2.785
241;Obernburg am Main;Landkreis Miltenberg;4,984E+16;9,12652E+15;;very low;B;2.785
242;Mömlingen;Landkreis Miltenberg;4,98529E+15;9,05653E+14;;very low;D;2.785
243;Stockstadt am Main;Landkreis Aschaffenburg;4,99771E+14;9,04745E+14;;very low;D;3.619
244;Stockstadt am Main;Landkreis Aschaffenburg;4,9975E+14;9,04366E+15;;very low;H;3.619
245;Krombach;Landkreis Aschaffenburg;5,007E+14;9,19309E+15;;very low;B;3.619
246;Mömbris;Landkreis Aschaffenburg;5,00548E+16;9,11214E+15;;very low;E;3.619
247;Mömbris;Landkreis Aschaffenburg;5,00369E+14;9,1299E+15;;very low;E;3.619
248;Mömbris;Landkreis Aschaffenburg;5,00462E+15;9,182E+15;;very low;E;3.619
249;Johannesberg;Landkreis Aschaffenburg;5,00167E+16;9,11745E+15;;very low;G;3.619
250;Mainaschaff;Landkreis Aschaffenburg;5,00153E+15;9,08469E+15;;very low;B;3.619
251;Mainaschaff;Landkreis Aschaffenburg;4,99847E+15;9,10062E+15;;very low;D;3.619
252;Kleinostheim;Landkreis Aschaffenburg;5,00225E+15;9,08928E+15;;very low;C;3.619
253;Kleinostheim;Landkreis Aschaffenburg;5,00253E+15;9,03357E+15;;very low;C;3.619
254;Karlstein am Main;Landkreis Aschaffenburg;5,00336E+15;9,0452E+14;;very low;C;3.619
255;Karlstein am Main;Landkreis Aschaffenburg;5,00389E+15;9,03967E+15;;very low;C;3.619
256;Kahl am Main;Landkreis Aschaffenburg;5,00617E+15;9,00027E+15;;very low;A+;3.619
257;Kahl am Main;Landkreis Aschaffenburg;5,00762E+15;9,01363E+15;;very low;H;3.619
258;Alzenau;Landkreis Aschaffenburg;5,00669E+15;9,07678E+14;;very low;A+;3.619
259;Alzenau;Landkreis Aschaffenburg;5,00945E+15;9,03762E+14;;very low;D;3.619
260;Alzenau;Landkreis Aschaffenburg;5,00644E+15;9,04807E+15;;very low;H;3.619
261;Alzenau;Landkreis Aschaffenburg;5,01154E+15;9,07508E+15;;very low;A+;3.619
262;Alzenau;Landkreis Aschaffenburg;5,00853E+15;9,09157E+14;;very low;C;3.619
263;Würzburg;;4,97957E+15;9,97942E+15;;very low;E;3.022
264;Würzburg;;4,97852E+15;9,95316E+15;;very low;F;3.022
265;Würzburg;;4,97789E+16;9,94292E+15;;very low;B;3.022
266;Würzburg;;4,97926E+15;9,97854E+14;;very low;E;3.022
267;Würzburg;;4,97919E+15;9,96923E+14;;very low;E;3.022
268;Ringelai;Landkreis Freyung-Grafenau;4,88136E+15;1,3452E+16;;very low;C;2.122
269;Pfronten;Landkreis Ostallgäu;4,75468E+15;1,05784E+16;;very low;A;3.907
270;Pfronten;Landkreis Ostallgäu;4,75515E+16;1,05291E+16;;very low;G;3.907
271;Benningen;Landkreis Unterallgäu;4,79666E+15;1,02316E+16;;very low;H;3.518
272;Höchstadt a.d.Aisch;Landkreis Erlangen-Höchstadt;4,9692E+15;1,08134E+16;;very low;E;4.319
273;Höchstadt a.d.Aisch;Landkreis Erlangen-Höchstadt;4,97576E+15;1,08827E+15;;very low;D;4.319
274;Höchstadt a.d.Aisch;Landkreis Erlangen-Höchstadt;4,97637E+15;1,09022E+16;;very low;F;4.319
275;Höchstadt a.d.Aisch;Landkreis Erlangen-Höchstadt;4,97607E+16;1,09063E+16;;very low;G;4.319
276;Mespelbrunn;Landkreis Aschaffenburg;4,99013E+15;9,31847E+13;;very low;D;3.619
277;Neuhaus a.d.Pegnitz;Landkreis Nürnberger Land;4,9626E+15;1,15401E+16;;very low;A;3.585
278;Sailauf;Landkreis Aschaffenburg;5,00413E+15;9,29457E+15;;very low;A+;3.619
279;Kirchenlamitz;Landkreis Wunsiedel im Fichtelgebirge;5,01437E+15;1,19049E+16;;very low;H;1.589
280;Röslau;Landkreis Wunsiedel im Fichtelgebirge;5,00804E+15;1,20233E+16;;very low;E;1.589
281;Thiersheim;Landkreis Wunsiedel im Fichtelgebirge;5,00852E+15;1,21415E+15;;very low;C;1.589
282;Weißenstadt;Landkreis Wunsiedel im Fichtelgebirge;5,00905E+15;1,18305E+16;;very low;E;1.589
283;Waldbrunn;Landkreis Würzburg;4,97535E+15;9,79453E+15;;very low;F;3.022
284;Tröstau;Landkreis Wunsiedel im Fichtelgebirge;5,00536E+15;1,18886E+16;;very low;D;1.589
285;Marktleuthen;Landkreis Wunsiedel im Fichtelgebirge;5,01095E+14;1,20182E+16;;very low;F;1.589
286;Kleinrinderfeld;Landkreis Würzburg;4,97074E+15;9,84228E+14;;very low;B;3.022
287;Kemnath;Landkreis Tirschenreuth;4,98441E+15;1,19866E+16;;very low;D;1.750
288;Waldershof;Landkreis Tirschenreuth;4,99866E+16;1,20295E+14;;very low;A+;1.750
289;Leonberg;Landkreis Tirschenreuth;4,99153E+15;1,23184E+16;;very low;D;1.750
290;Leonberg;Landkreis Tirschenreuth;4,99463E+15;1,2221E+14;;very low;C;1.750
291;Mitterteich;Landkreis Tirschenreuth;4,99619E+15;1,2253E+16;;very low;G;1.750
292;Mitterteich;Landkreis Tirschenreuth;4,99411E+15;1,21971E+16;;very low;H;1.750
293;Bärnau;Landkreis Tirschenreuth;4,98476E+14;1,23679E+16;;very low;A;1.750
