ort,landkreis,latitude,longitude,geometry,GEB_HQ,flood_risk
Memmingerberg,Landkreis Unterallgäu,2763347.6922124377,4337052.130773091,POINT (4337052.130773091 2763347.6922124377),,very low
Westerheim,Landkreis Unterallgäu,2769112.70564539,4342271.447221806,POINT (4342271.447221806 2769112.70564539),,very low
Sontheim,Landkreis Unterallgäu,2767367.6026408966,4350967.33644807,POINT (4350967.33644807 2767367.6026408966),,very low
Grainau,Landkreis Garmisch-Partenkirchen,2707859.314543913,4395028.447486843,POINT (4395028.447486843 2707859.314543913),,very low
Schwangau,Landkreis Ostallgäu,2715303.6719687874,4374333.288550785,POINT (4374333.288550785 2715303.6719687874),,very low
Halblech,Landkreis Ostallgäu,2723219.787803962,4386601.348822406,POINT (4386601.348822406 2723219.787803962),,very low
Roßhaupten,Landkreis Ostallgäu,2726475.156103727,4375941.374282651,POINT (4375941.374282651 2726475.156103727),,very low
Füssen,Landkreis Ostallgäu,2720537.462970154,4374053.6825040905,POINT (4374053.6825040905 2720537.462970154),,very low
Füssen,Landkreis Ostallgäu,2716461.9103077822,4373824.832733424,POINT (4373824.832733424 2716461.9103077822),,very low
Füssen,Landkreis Ostallgäu,2717449.729551189,4368347.307193768,POINT (4368347.307193768 2717449.729551189),,very low
Füssen,Landkreis Ostallgäu,2719612.1024318095,4374558.473132797,POINT (4374558.473132797 2719612.1024318095),,very low
Durach,Landkreis Oberallgäu,2729924.5118609113,4351276.664489586,POINT (4351276.664489586 2729924.5118609113),,very low
Durach,Landkreis Oberallgäu,2732455.4402705305,4349639.69149475,POINT (4349639.69149475 2732455.4402705305),,very low
Sulzberg,Landkreis Oberallgäu,2725499.452783194,4348052.513245759,POINT (4348052.513245759 2725499.452783194),,very low
Buchenberg,Landkreis Oberallgäu,2729598.422028906,4337734.661671581,POINT (4337734.661671581 2729598.422028906),,very low
Waltenhofen,Landkreis Oberallgäu,2727339.978057435,4344006.863242313,POINT (4344006.863242313 2727339.978057435),,very low
Waltenhofen,Landkreis Oberallgäu,2723201.134965422,4337270.91097316,POINT (4337270.91097316 2723201.134965422),,very low
Weitnau,Landkreis Oberallgäu,2728381.7197373654,4334885.635376309,POINT (4334885.635376309 2728381.7197373654),,very low
Giebelstadt,Landkreis Würzburg,2950671.502552976,4319055.220713126,POINT (4319055.220713126 2950671.502552976),,very low
Kirchheim,Landkreis Würzburg,2949159.0946812425,4311497.500405066,POINT (4311497.500405066 2949159.0946812425),,very low
Neubrunn,Landkreis Würzburg,2957826.302712151,4298132.977988955,POINT (4298132.977988955 2957826.302712151),,very low
Helmstadt,Landkreis Würzburg,2960918.2939326465,4302274.718016371,POINT (4302274.718016371 2960918.2939326465),,very low
Altertheim,Landkreis Würzburg,2956176.556418586,4304092.554998609,POINT (4304092.554998609 2956176.556418586),,very low
Eisingen,Landkreis Würzburg,2961047.6571262167,4309506.16078586,POINT (4309506.16078586 2961047.6571262167),,very low
Höchberg,Landkreis Würzburg,2962775.148197446,4312904.8577626115,POINT (4312904.8577626115 2962775.148197446),,very low
Höchberg,Landkreis Würzburg,2963146.201409964,4310948.872592519,POINT (4310948.872592519 2963146.201409964),,very low
Waldbüttelbrunn,Landkreis Würzburg,2963119.3962123883,4305146.131529087,POINT (4305146.131529087 2963119.3962123883),,very low
Hettstadt,Landkreis Würzburg,2967307.4357634773,4307532.007125156,POINT (4307532.007125156 2967307.4357634773),,very low
Zell am Main,Landkreis Würzburg,2964127.479685168,4312079.343612967,POINT (4312079.343612967 2964127.479685168),,very low
Margetshöchheim,Landkreis Würzburg,2970141.023480118,4311014.933914466,POINT (4311014.933914466 2970141.023480118),,very low
Güntersleben,Landkreis Würzburg,2972534.5309041445,4314441.2083271425,POINT (4314441.2083271425 2972534.5309041445),,very low
Veitshöchheim,Landkreis Würzburg,2969858.839632904,4312456.181579043,POINT (4312456.181579043 2969858.839632904),,very low
Veitshöchheim,Landkreis Würzburg,2970265.7996413684,4311576.268742866,POINT (4311576.268742866 2970265.7996413684),,very low
Veitshöchheim,Landkreis Würzburg,2969652.1342703593,4313660.981625207,POINT (4313660.981625207 2969652.1342703593),,very low
Eibelstadt,Landkreis Würzburg,2957069.3272859417,4322345.042437658,POINT (4322345.042437658 2957069.3272859417),,very low
Theilheim,Landkreis Würzburg,2959596.551087832,4321957.460263545,POINT (4321957.460263545 2959596.551087832),,very low
Randersacker,Landkreis Würzburg,2960438.1486283815,4319509.687083499,POINT (4319509.687083499 2960438.1486283815),,very low
Gerbrunn,Landkreis Würzburg,2962749.4048404912,4319964.05809707,POINT (4319964.05809707 2962749.4048404912),,very low
Gerbrunn,Landkreis Würzburg,2963865.505926328,4320458.208402535,POINT (4320458.208402535 2963865.505926328),,very low
Rottendorf,Landkreis Würzburg,2963066.2514469945,4322702.392938625,POINT (4322702.392938625 2963066.2514469945),,very low
Kürnach,Landkreis Würzburg,2970123.7957796236,4326359.2609510375,POINT (4326359.2609510375 2970123.7957796236),,very low
Estenfeld,Landkreis Würzburg,2968508.3603996085,4320147.704025408,POINT (4320147.704025408 2968508.3603996085),,very low
Unterpleichfeld,Landkreis Würzburg,2973892.654025191,4323041.261944939,POINT (4323041.261944939 2973892.654025191),,very low
Hausen b. Würzburg,Landkreis Würzburg,2979898.050870621,4322666.125579365,POINT (4322666.125579365 2979898.050870621),,very low
Weisendorf,Landkreis Erlangen-Höchstadt,2946338.245464073,4382903.479329302,POINT (4382903.479329302 2946338.245464073),,very low
Weisendorf,Landkreis Erlangen-Höchstadt,2942650.5115324045,4381132.171972865,POINT (4381132.171972865 2942650.5115324045),,very low
Puschendorf,Landkreis Fürth,2935974.2060780814,4380238.809967014,POINT (4380238.809967014 2935974.2060780814),,very low
Henfenfeld,Landkreis Nürnberger Land,2933668.13054659,4421083.826401189,POINT (4421083.826401189 2933668.13054659),,very low
Hersbruck,Landkreis Nürnberger Land,2931108.314488884,4426204.913319302,POINT (4426204.913319302 2931108.314488884),,very low
Hersbruck,Landkreis Nürnberger Land,2935745.604621883,4425229.404394649,POINT (4425229.404394649 2935745.604621883),,very low
Hersbruck,Landkreis Nürnberger Land,2931829.184200068,4423844.100936326,POINT (4423844.100936326 2931829.184200068),,very low
Kirchensittenbach,Landkreis Nürnberger Land,2940211.0047213314,4421382.293417112,POINT (4421382.293417112 2940211.0047213314),,very low
Simmelsdorf,Landkreis Nürnberger Land,2944934.71248958,4419264.75326081,POINT (4419264.75326081 2944934.71248958),,very low
Schnaittach,Landkreis Nürnberger Land,2943573.1432983694,4422342.463714042,POINT (4422342.463714042 2943573.1432983694),,very low
Schnaittach,Landkreis Nürnberger Land,2940777.884533005,4414593.644673589,POINT (4414593.644673589 2940777.884533005),,very low
Eckental,Landkreis Erlangen-Höchstadt,2943666.67510613,4408665.789938719,POINT (4408665.789938719 2943666.67510613),,very low
Eckental,Landkreis Erlangen-Höchstadt,2940462.640053109,4408950.259811449,POINT (4408950.259811449 2940462.640053109),,very low
Eckental,Landkreis Erlangen-Höchstadt,2940812.2571570934,4405538.249310683,POINT (4405538.249310683 2940812.2571570934),,very low
Eckental,Landkreis Erlangen-Höchstadt,2940634.131387327,4404655.1361216465,POINT (4404655.1361216465 2940634.131387327),,very low
Aurachtal,Landkreis Erlangen-Höchstadt,2939399.274733097,4382375.500590895,POINT (4382375.500590895 2939399.274733097),,very low
Großenseebach,Landkreis Erlangen-Höchstadt,2945954.5395609,4385113.219982658,POINT (4385113.219982658 2945954.5395609),,very low
Herzogenaurach,Landkreis Erlangen-Höchstadt,2938526.588660476,4385111.837867747,POINT (4385111.837867747 2938526.588660476),,very low
Herzogenaurach,Landkreis Erlangen-Höchstadt,2940058.7778465366,4382698.021551309,POINT (4382698.021551309 2940058.7778465366),,very low
Herzogenaurach,Landkreis Erlangen-Höchstadt,2943595.048791347,4383402.066891303,POINT (4383402.066891303 2943595.048791347),,very low
Herzogenaurach,Landkreis Erlangen-Höchstadt,2938256.2947014417,4385259.652477846,POINT (4385259.652477846 2938256.2947014417),,very low
Herzogenaurach,Landkreis Erlangen-Höchstadt,2936452.650894201,4381635.466553791,POINT (4381635.466553791 2936452.650894201),,very low
Herzogenaurach,Landkreis Erlangen-Höchstadt,2939300.95076199,4381884.719758319,POINT (4381884.719758319 2939300.95076199),,very low
Heßdorf,Landkreis Erlangen-Höchstadt,2945409.2251053974,4387162.816153092,POINT (4387162.816153092 2945409.2251053974),,very low
Röttenbach,Landkreis Erlangen-Höchstadt,2950164.2303174483,4387512.242232742,POINT (4387512.242232742 2950164.2303174483),,very low
Hemhofen,Landkreis Erlangen-Höchstadt,2953160.556749698,4388656.53727461,POINT (4388656.53727461 2953160.556749698),,very low
Adelsdorf,Landkreis Erlangen-Höchstadt,2958053.3567036544,4384686.010632448,POINT (4384686.010632448 2958053.3567036544),,very low
Adelsdorf,Landkreis Erlangen-Höchstadt,2952336.4987200433,4385885.311135851,POINT (4385885.311135851 2952336.4987200433),,very low
Zirndorf,Landkreis Fürth,2927668.6853665076,4388829.109052016,POINT (4388829.109052016 2927668.6853665076),,very low
Zirndorf,Landkreis Fürth,2924809.2323345263,4387088.036305345,POINT (4387088.036305345 2924809.2323345263),,very low
Zirndorf,Landkreis Fürth,2926355.0171100586,4389162.809003013,POINT (4389162.809003013 2926355.0171100586),,very low
Zirndorf,Landkreis Fürth,2927124.5358569613,4387170.581429087,POINT (4387170.581429087 2927124.5358569613),,very low
Zirndorf,Landkreis Fürth,2923105.2038805867,4389324.804942429,POINT (4389324.804942429 2923105.2038805867),,very low
Zirndorf,Landkreis Fürth,2927535.4333754126,4390380.957685537,POINT (4390380.957685537 2927535.4333754126),,very low
Zirndorf,Landkreis Fürth,2923660.379157907,4386744.727783641,POINT (4386744.727783641 2923660.379157907),,very low
Oberasbach,Landkreis Fürth,2924334.408611716,4392875.08066052,POINT (4392875.08066052 2924334.408611716),,very low
Oberasbach,Landkreis Fürth,2924911.1519546136,4392987.006889075,POINT (4392987.006889075 2924911.1519546136),,very low
Oberasbach,Landkreis Fürth,2925511.2127202963,4392584.92853434,POINT (4392584.92853434 2925511.2127202963),,very low
Oberasbach,Landkreis Fürth,2923444.4570442378,4391611.431228034,POINT (4391611.431228034 2923444.4570442378),,very low
Oberasbach,Landkreis Fürth,2924097.920367911,4390076.00631402,POINT (4390076.00631402 2924097.920367911),,very low
Stein,Landkreis Fürth,2920561.311542586,4389432.310521761,POINT (4389432.310521761 2920561.311542586),,very low
Stein,Landkreis Fürth,2921873.327236817,4394735.148132611,POINT (4394735.148132611 2921873.327236817),,very low
Stein,Landkreis Fürth,2921115.8403725345,4389152.632144008,POINT (4389152.632144008 2921115.8403725345),,very low
Stein,Landkreis Fürth,2920916.5237387144,4391736.327444571,POINT (4391736.327444571 2920916.5237387144),,very low
Ammerndorf,Landkreis Fürth,2923989.002923339,4381918.510674571,POINT (4381918.510674571 2923989.002923339),,very low
Langenzenn,Landkreis Fürth,2930097.1324308924,4377485.435400253,POINT (4377485.435400253 2930097.1324308924),,very low
Langenzenn,Landkreis Fürth,2928307.00626389,4376638.959364472,POINT (4376638.959364472 2928307.00626389),,very low
Langenzenn,Landkreis Fürth,2931244.211180454,4378325.897436471,POINT (4378325.897436471 2931244.211180454),,very low
Bubenreuth,Landkreis Erlangen-Höchstadt,2946220.3307376504,4393892.775264425,POINT (4393892.775264425 2946220.3307376504),,very low
Baiersdorf,Landkreis Erlangen-Höchstadt,2949931.81101722,4396481.532923888,POINT (4396481.532923888 2949931.81101722),,very low
Baiersdorf,Landkreis Erlangen-Höchstadt,2951288.0541960816,4394905.16060848,POINT (4394905.16060848 2951288.0541960816),,very low
Altdorf bei Nürnberg,Landkreis Nürnberger Land,2918456.2838399555,4418837.345914242,POINT (4418837.345914242 2918456.2838399555),,very low
Altdorf bei Nürnberg,Landkreis Nürnberger Land,2920893.100408918,4417027.022226565,POINT (4417027.022226565 2920893.100408918),,very low
Altdorf bei Nürnberg,Landkreis Nürnberger Land,2920251.958449291,4422712.8144494435,POINT (4422712.8144494435 2920251.958449291),,very low
Altdorf bei Nürnberg,Landkreis Nürnberger Land,2923085.883686814,4420573.561373528,POINT (4420573.561373528 2923085.883686814),,very low
Schwarzenbruck,Landkreis Nürnberger Land,2918578.316037694,4414260.782833451,POINT (4414260.782833451 2918578.316037694),,very low
Schwarzenbruck,Landkreis Nürnberger Land,2913181.2521897173,4413972.493617869,POINT (4413972.493617869 2913181.2521897173),,very low
Lauben,Landkreis Oberallgäu,2740701.807563923,4343231.218872055,POINT (4343231.218872055 2740701.807563923),,very low
Memmingen,,2767283.2273318386,4336205.216271072,POINT (4336205.216271072 2767283.2273318386),,very low
Memmingen,,2761190.073923704,4334428.562078129,POINT (4334428.562078129 2761190.073923704),,very low
Memmingen,,2769068.7399081513,4336072.763491685,POINT (4336072.763491685 2769068.7399081513),,very low
Memmingen,,2768413.6762335394,4337140.443037157,POINT (4337140.443037157 2768413.6762335394),,very low
Memmingen,,2759158.1180394795,4332682.972477037,POINT (4332682.972477037 2759158.1180394795),,very low
Memmingen,,2767161.8598035504,4335530.869535106,POINT (4335530.869535106 2767161.8598035504),,very low
Memmingen,,2761618.257632552,4334584.931538643,POINT (4334584.931538643 2761618.257632552),,very low
Memmingen,,2761248.4451732943,4333151.927680068,POINT (4333151.927680068 2761248.4451732943),,very low
Memmingen,,2766826.110523251,4334745.029414598,POINT (4334745.029414598 2766826.110523251),,very low
Memmingen,,2766297.5649381503,4336254.070518947,POINT (4336254.070518947 2766297.5649381503),,very low
Memmingen,,2764381.5963503574,4335053.9249290405,POINT (4335053.9249290405 2764381.5963503574),,very low
Kaufbeuren,,2749536.7722442015,4365434.637742342,POINT (4365434.637742342 2749536.7722442015),,very low
Kaufbeuren,,2753489.828234801,4365221.199030344,POINT (4365221.199030344 2753489.828234801),,very low
Kaufbeuren,,2756364.809751035,4368816.851273159,POINT (4368816.851273159 2756364.809751035),,very low
Kaufbeuren,,2752123.4951753784,4367590.0429019155,POINT (4367590.0429019155 2752123.4951753784),,very low
Kaufbeuren,,2749205.395979865,4370070.1186164105,POINT (4370070.1186164105 2749205.395979865),,very low
Kaufbeuren,,2748444.759066821,4369883.83698972,POINT (4369883.83698972 2748444.759066821),,very low
Kaufbeuren,,2750441.8301675566,4369196.75847563,POINT (4369196.75847563 2750441.8301675566),,very low
Kaufbeuren,,2754430.42945989,4368825.610987345,POINT (4368825.610987345 2754430.42945989),,very low
Kaufbeuren,,2753307.7899004268,4367590.145334867,POINT (4367590.145334867 2753307.7899004268),,very low
Kaufbeuren,,2751703.8217340508,4368836.653579072,POINT (4368836.653579072 2751703.8217340508),,very low
Kaufbeuren,,2752389.7146218214,4365516.028378273,POINT (4365516.028378273 2752389.7146218214),,very low
Klingenberg am Main,Landkreis Miltenberg,2963026.385420208,4261765.188047532,POINT (4261765.188047532 2963026.385420208),,very low
Klingenberg am Main,Landkreis Miltenberg,2963959.9031590894,4263635.819455192,POINT (4263635.819455192 2963959.9031590894),,very low
Bodolz,Landkreis Lindau,2719576.4294692785,4298251.676233577,POINT (4298251.676233577 2719576.4294692785),,very low
Bodolz,Landkreis Lindau,2717388.777327388,4298250.389986289,POINT (4298250.389986289 2717388.777327388),,very low
Bodolz,Landkreis Lindau,2716306.9877886316,4299691.010035075,POINT (4299691.010035075 2716306.9877886316),,very low
Bodolz,Landkreis Lindau,2716717.9669067203,4300188.240497797,POINT (4300188.240497797 2716717.9669067203),,very low
Bodolz,Landkreis Lindau,2717650.027451939,4300142.850145234,POINT (4300142.850145234 2717650.027451939),,very low
Bodolz,Landkreis Lindau,2721110.8591272444,4295867.473303425,POINT (4295867.473303425 2721110.8591272444),,very low
Bodolz,Landkreis Lindau,2721055.034987945,4300349.929430578,POINT (4300349.929430578 2721055.034987945),,very low
Lindau (Bodensee),Landkreis Lindau,2720685.210182357,4294978.367241206,POINT (4294978.367241206 2720685.210182357),,very low
Lindau (Bodensee),Landkreis Lindau,2716145.5126148486,4299071.345291641,POINT (4299071.345291641 2716145.5126148486),,very low
Lindau (Bodensee),Landkreis Lindau,2716980.01653236,4298410.600419736,POINT (4298410.600419736 2716980.01653236),,very low
Lindau (Bodensee),Landkreis Lindau,2719185.557004328,4296773.969711772,POINT (4296773.969711772 2719185.557004328),,very low
Lindau (Bodensee),Landkreis Lindau,2716028.1314817662,4300165.374724411,POINT (4300165.374724411 2716028.1314817662),,very low
Lindau (Bodensee),Landkreis Lindau,2721059.3889728137,4298569.449078579,POINT (4298569.449078579 2721059.3889728137),,very low
Lindau (Bodensee),Landkreis Lindau,2717264.9094442655,4297105.188717224,POINT (4297105.188717224 2717264.9094442655),,very low
Eschau,Landkreis Miltenberg,2971052.534542137,4269276.698166665,POINT (4269276.698166665 2971052.534542137),,very low
Großheubach,Landkreis Miltenberg,2956664.4663739987,4266846.277941989,POINT (4266846.277941989 2956664.4663739987),,very low
Wörth am Main,Landkreis Miltenberg,2963500.31985169,4260943.802163942,POINT (4260943.802163942 2963500.31985169),,very low
Erlenbach am Main,Landkreis Miltenberg,2965393.935837289,4260579.6700336095,POINT (4260579.6700336095 2965393.935837289),,very low
Erlenbach am Main,Landkreis Miltenberg,2964428.4870271278,4263198.983165584,POINT (4263198.983165584 2964428.4870271278),,very low
Erlenbach am Main,Landkreis Miltenberg,2964711.9653951726,4262451.402345322,POINT (4262451.402345322 2964711.9653951726),,very low
Mönchberg,Landkreis Miltenberg,2964845.5396521534,4266849.114946938,POINT (4266849.114946938 2964845.5396521534),,very low
Hausen,Landkreis Miltenberg,2975477.702395393,4264729.761049226,POINT (4264729.761049226 2975477.702395393),,very low
Kleinwallstadt,Landkreis Miltenberg,2970687.9897324126,4264368.890936393,POINT (4264368.890936393 2970687.9897324126),,very low
Kleinwallstadt,Landkreis Miltenberg,2973373.9934056154,4261003.103110515,POINT (4261003.103110515 2973373.9934056154),,very low
Sulzbach am Main,Landkreis Miltenberg,2978905.9430804653,4262659.706055083,POINT (4262659.706055083 2978905.9430804653),,very low
