ort,landkreis,latitude,longitude
Würzburg,,2963939.1407499705,4317763.638653362
Würzburg,,2962207.3875593785,4318155.354915178
Würzburg,,2961625.5653318125,4317461.345084215
Ringelai,Landkreis Freyung-Grafenau,2863865.314697825,4576375.74832425
Pfronten,Landkreis Ostallgäu,2718034.1467916225,4356630.4050783785
Pfronten,Landkreis Ostallgäu,2719955.7138915737,4362297.701216878
Benningen,Landkreis Unterallgäu,2762060.1949413703,4337086.860048506
Höchstadt a.d.Aisch,Landkreis Erlangen-Höchstadt,2949935.4739853526,4380675.4184308015
Höchstadt a.d.Aisch,Landkreis Erlangen-Höchstadt,2957618.921087915,4382995.339218551
Höchstadt a.d.Aisch,Landkreis Erlangen-Höchstadt,2961385.1122038537,4384377.238400694
Höchstadt a.d.Aisch,Landkreis Erlangen-Höchstadt,2960223.201712649,4386253.669271853
Mespelbrunn,Landkreis Aschaffenburg,2979790.552588382,4271940.452738709
Neuhaus a.d.Pegnitz,Landkreis Nürnberger Land,2946872.275526119,4434424.736425336
Sailauf,Landkreis Aschaffenburg,2992763.8257874013,4269958.5898377085
Kirchenlamitz,Landkreis Wunsiedel im Fichtelgebirge,3010982.651174816,4461318.440740088
Röslau,Landkreis Wunsiedel im Fichtelgebirge,2999380.8821945125,4465777.006437832
Thiersheim,Landkreis Wunsiedel im Fichtelgebirge,2998569.872980045,4472494.448501497
Weißenstadt,Landkreis Wunsiedel im Fichtelgebirge,3001271.8202943816,4454156.346640942
Waldbrunn,Landkreis Würzburg,2961599.567172971,4306770.753810254
Tröstau,Landkreis Wunsiedel im Fichtelgebirge,2990910.926825705,4456213.053375038
Marktleuthen,Landkreis Wunsiedel im Fichtelgebirge,3005137.076511602,4465292.588415003
Kleinrinderfeld,Landkreis Würzburg,2957598.4518708726,4309886.584711549
Kemnath,Landkreis Tirschenreuth,2973745.4397448734,4465152.191892468
Waldershof,Landkreis Tirschenreuth,2985939.1128233178,4465845.199556946
Leonberg,Landkreis Tirschenreuth,2985444.3618053054,4487866.371960579
Leonberg,Landkreis Tirschenreuth,2986987.8595880964,4486948.565594116
Mitterteich,Landkreis Tirschenreuth,2983196.056185325,4479995.115262785
Mitterteich,Landkreis Tirschenreuth,2980839.18119622,4483679.783263034
Bärnau,Landkreis Tirschenreuth,2969005.41366363,4497191.808111015
Waldsassen,Landkreis Tirschenreuth,2992588.840792137,4485297.864726907
Waldsassen,Landkreis Tirschenreuth,2993772.9010528405,4483900.595856757
Kulmain,Landkreis Tirschenreuth,2979171.5423350083,4456814.277316193
Plößberg,Landkreis Tirschenreuth,2965563.5370699256,4490112.402323911
Mähring,Landkreis Tirschenreuth,2977285.7784324014,4499214.529812874
Immenreuth,Landkreis Tirschenreuth,2983855.65835895,4453631.908920174
Neusorg,Landkreis Tirschenreuth,2982496.180212857,4463710.976811544
Tirschenreuth,Landkreis Tirschenreuth,2980560.3710043672,4491412.964803348
Tirschenreuth,Landkreis Tirschenreuth,2981510.115892134,4490609.867343381
Wiesau,Landkreis Tirschenreuth,2976926.870782135,4477417.538560816
Konnersreuth,Landkreis Tirschenreuth,2993141.0390641955,4480844.309916452
Auerbach,Landkreis Deggendorf,2860184.4769510217,4550108.724449931
Grainet,Landkreis Freyung-Grafenau,2858121.8854115317,4591940.952153311
Bruck i.d.OPf.,Landkreis Schwandorf,2905409.1654514875,4491450.719870849
Steinberg am See,Landkreis Schwandorf,2910559.157952886,4477982.078741228
Neunburg vorm Wald,Landkreis Schwandorf,2914930.438450061,4500346.079395737
Neunburg vorm Wald,Landkreis Schwandorf,2917982.0220289696,4499257.047375787
Wackersdorf,Landkreis Schwandorf,2913533.1255800296,4481532.827015889
Schwarzenfeld,Landkreis Schwandorf,2918505.084058146,4482257.1702355025
Schwarzenfeld,Landkreis Schwandorf,2921853.2158913324,4476137.243930826
Bodenwöhr,Landkreis Schwandorf,2911813.2133049746,4485206.997517085
Teunz,Landkreis Schwandorf,2932909.6297126026,4495412.845531362
Nabburg,Landkreis Schwandorf,2925841.283705756,4477811.578280447
Nabburg,Landkreis Schwandorf,2929034.3506221976,4477678.514139748
Wernberg-Köblitz,Landkreis Schwandorf,2942979.222064623,4479359.542760314
Wernberg-Köblitz,Landkreis Schwandorf,2940693.128735181,4478668.38649187
Schmidgaden,Landkreis Schwandorf,2930661.2509717233,4470076.127730581
Rötz,Landkreis Cham,2924095.4092836776,4506042.339622112
Oberviechtach,Landkreis Schwandorf,2932521.7669230443,4496858.15392099
Schönsee,Landkreis Schwandorf,2937697.0525754592,4506071.426995351
Schwandorf,Landkreis Schwandorf,2916191.6067326786,4469256.037495185
Schwandorf,Landkreis Schwandorf,2912508.7012139386,4471863.276022311
Schwandorf,Landkreis Schwandorf,2915296.8603212126,4476279.993600973
Schwandorf,Landkreis Schwandorf,2914105.973917357,4473951.355574308
Schwandorf,Landkreis Schwandorf,2907538.180594888,4471803.264418537
Schwandorf,Landkreis Schwandorf,2913615.118626528,4472427.139789276
Schwandorf,Landkreis Schwandorf,2912050.814238432,4470324.311153651
Rieden,Landkreis Amberg-Sulzbach,2912329.32784112,4463524.040593756
Hirschau,Landkreis Amberg-Sulzbach,2942872.59059579,4461042.324438188
Hirschau,Landkreis Amberg-Sulzbach,2939003.46993642,4459647.183470012
Ebermannsdorf,Landkreis Amberg-Sulzbach,2921428.283874075,4464916.540305303
Schmidmühlen,Landkreis Amberg-Sulzbach,2911599.236032556,4459066.966523026
Neukirchen bei Sulzbach-Rosenberg,Landkreis Amberg-Sulzbach,2936719.886606717,4441675.4930263
Amberg,,2929304.4714457416,4455536.139463985
Amberg,,2927389.624688081,4456119.5513804015
Amberg,,2929370.984640196,4452619.315100114
Amberg,,2926068.836282223,4455248.614841798
Amberg,,2926587.9620303325,4457185.755656779
Amberg,,2927164.180576042,4455329.258212529
Amberg,,2930444.5872036796,4456607.8084308915
Amberg,,2929821.7487175516,4451051.6494892035
Amberg,,2927136.500545951,4457798.535546689
Amberg,,2926300.0652744095,4452755.195726935
Amberg,,2926390.3510496644,4453205.101348163
Freihung,Landkreis Amberg-Sulzbach,2942170.017993657,4457897.804933383
Ammerthal,Landkreis Amberg-Sulzbach,2925901.7025725194,4448835.495220642
Poppenricht,Landkreis Amberg-Sulzbach,2930422.8918392616,4451284.285921809
Schnaittenbach,Landkreis Amberg-Sulzbach,2938889.4129228815,4469470.6327961935
Illschwang,Landkreis Amberg-Sulzbach,2925127.3850638024,4445801.466860677
Ensdorf,Landkreis Amberg-Sulzbach,2915685.07303543,4461098.531264905
Hahnbach,Landkreis Amberg-Sulzbach,2936805.737703884,4453275.195099354
Kastl,Landkreis Amberg-Sulzbach,2917071.2529455083,4440496.833803292
Kümmersbruck,Landkreis Amberg-Sulzbach,2922469.5594232427,4457195.426209631
Kümmersbruck,Landkreis Amberg-Sulzbach,2920718.480073681,4459662.550718756
Kümmersbruck,Landkreis Amberg-Sulzbach,2922216.4246369773,4454075.708358172
Edelsfeld,Landkreis Amberg-Sulzbach,2939154.7423852147,4442856.261401674
Ursensollen,Landkreis Amberg-Sulzbach,2923639.9506385266,4446357.654483298
Vilseck,Landkreis Amberg-Sulzbach,2946763.1740098502,4446783.8903621035
Vilseck,Landkreis Amberg-Sulzbach,2943552.5433238,4455142.407940847
Sulzbach-Rosenberg,Landkreis Amberg-Sulzbach,2938489.8231654577,4443354.002744036
Sulzbach-Rosenberg,Landkreis Amberg-Sulzbach,2933761.3368969304,4450158.115458346
Sulzbach-Rosenberg,Landkreis Amberg-Sulzbach,2938927.912293714,4446252.192398313
Sulzbach-Rosenberg,Landkreis Amberg-Sulzbach,2932659.3366835993,4444976.9094216125
Sulzbach-Rosenberg,Landkreis Amberg-Sulzbach,2936223.4331831895,4447300.89582096
Freudenberg,Landkreis Amberg-Sulzbach,2929859.12180643,4468004.597396285
Freystadt,Landkreis Neumarkt in der Oberpfalz,2893117.6162696374,4418383.0791640105
Freystadt,Landkreis Neumarkt in der Oberpfalz,2896691.6785765486,4417593.322100887
Dietfurt an der Altmühl,Landkreis Neumarkt in der Oberpfalz,2883670.5633132816,4433469.486207746
Dietfurt an der Altmühl,Landkreis Neumarkt in der Oberpfalz,2878805.7475017593,4441448.68461701
Sengenthal,Landkreis Neumarkt in der Oberpfalz,2901993.111549278,4429290.452354505
Mühlhausen,Landkreis Neumarkt in der Oberpfalz,2900202.055094816,4423877.132946865
Neumarkt in der Oberpfalz,Landkreis Neumarkt in der Oberpfalz,2909079.3351858174,4429422.670692153
Neumarkt in der Oberpfalz,Landkreis Neumarkt in der Oberpfalz,2909919.9704278875,4423943.523688553
Neumarkt in der Oberpfalz,Landkreis Neumarkt in der Oberpfalz,2906481.809496567,4430014.7670066655
Neumarkt in der Oberpfalz,Landkreis Neumarkt in der Oberpfalz,2906431.2090347153,4425464.724831195
Neumarkt in der Oberpfalz,Landkreis Neumarkt in der Oberpfalz,2908206.392248103,4434599.9426239645
Neumarkt in der Oberpfalz,Landkreis Neumarkt in der Oberpfalz,2907892.042405402,4424929.4796103975
Neumarkt in der Oberpfalz,Landkreis Neumarkt in der Oberpfalz,2912337.261764138,4424097.174512803
