ID;ort;landkreis;latitude;longitude;GEB_HQ;flood_risk;Energieklasse;Quadratmeterpreise
88;Roßhaupten;Landkreis Ostallgäu;4768430000000000,0;1,07178e+16;;very low;E;3907,0
89;Füssen;Landkreis Ostallgäu;4755260000000000,0;1,06943e+16;;very low;G;3907,0
90;Füssen;Landkreis Ostallgäu;4757690000000000,0;1,06328e+16;;very low;A;3907,0
91;Füssen;Landkreis Ostallgäu;4757190000000000,0;1,0621e+16;;very low;D;3907,0
92;Füssen;Landkreis Ostallgäu;4756810000000000,0;1,06047e+16;;very low;C;3907,0
93;Durach;Landkreis Oberallgäu;4,77002e+16;1,03796e+16;;very low;A+;4851,0
94;Durach;Landkreis Oberallgäu;4769780000000000,0;1,0413e+16;;very low;E;4851,0
95;Sulzberg;Landkreis Oberallgäu;4767520000000000,0;1,03566e+16;;very low;C;4851,0
96;Buchenberg;Landkreis Oberallgäu;4771190000000000,0;1,01714e+16;;very low;F;4851,0
97;Waltenhofen;Landkreis Oberallgäu;4762580000000000,0;1,02211e+16;;very low;F;4851,0
98;Waltenhofen;Landkreis Oberallgäu;4764600000000000,0;1,0265e+16;;very low;F;4851,0
99;Weitnau;Landkreis Oberallgäu;4767270000000000,0;1,01634e+16;;very low;C;4851,0
100;Giebelstadt;Landkreis Würzburg;4960990000000000,0;9962750000000000,0;;very low;A;3022,0
101;Kirchheim;Landkreis Würzburg;4,9645e+16;9846330000000000,0;;very low;G;3022,0
102;Neubrunn;Landkreis Würzburg;4973140000000000,0;968533000000000,0;;very low;C;3022,0
103;Helmstadt;Landkreis Würzburg;4975960000000000,0;9747400000000000,0;;very low;E;3022,0
104;Altertheim;Landkreis Würzburg;4974230000000000,0;9757840000000000,0;;very low;D;3022,0
105;Eisingen;Landkreis Würzburg;497587000000000,0;9826680000000000,0;;very low;D;3022,0
106;Höchberg;Landkreis Würzburg;4977800000000000,0;9866720000000000,0;;very low;B;3022,0
107;Höchberg;Landkreis Würzburg;4978340000000000,0;990102000000000,0;;very low;D;3022,0
108;Waldbüttelbrunn;Landkreis Würzburg;4978890000000000,0;9816200000000000,0;;very low;F;3022,0
109;Hettstadt;Landkreis Würzburg;4,98066e+16;984397000000000,0;;very low;D;3022,0
110;Zell am Main;Landkreis Würzburg;4979300000000000,0;9880020000000000,0;;very low;A;3022,0
111;Margetshöchheim;Landkreis Würzburg;4983540000000000,0;985952000000000,0;;very low;E;3022,0
112;Güntersleben;Landkreis Würzburg;4989100000000000,0;9897750000000000,0;;very low;A+;3022,0
113;Veitshöchheim;Landkreis Würzburg;4,9843e+16;9895500000000000,0;;very low;D;3022,0
114;Veitshöchheim;Landkreis Würzburg;4985190000000000,0;990034000000000,0;;very low;H;3022,0
115;Veitshöchheim;Landkreis Würzburg;4985340000000000,0;9873190000000000,0;;very low;E;3022,0
116;Eibelstadt;Landkreis Würzburg;4972370000000000,0;1,00165e+16;;very low;F;3022,0
117;Theilheim;Landkreis Würzburg;4975560000000000,0;1,00556e+16;;very low;E;3022,0
118;Randersacker;Landkreis Würzburg;497373000000000,0;1001540000000000,0;;very low;F;3022,0
119;Gerbrunn;Landkreis Würzburg;497827000000000,0;100067000000000,0;;very low;A;3022,0
120;Gerbrunn;Landkreis Würzburg;4,97866e+16;1,00025e+16;;very low;B;3022,0
121;Rottendorf;Landkreis Würzburg;4979480000000000,0;1,00244e+16;;very low;H;3022,0
122;Kürnach;Landkreis Würzburg;4,98447e+16;1,00489e+16;;very low;C;3022,0
123;Estenfeld;Landkreis Würzburg;4981900000000000,0;1,00155e+16;;very low;G;3022,0
124;Unterpleichfeld;Landkreis Würzburg;4987750000000000,0;1002390000000000,0;;very low;E;3022,0
125;Hausen b. Würzburg;Landkreis Würzburg;499040000000000,0;100068000000000,0;;very low;C;3022,0
126;Weisendorf;Landkreis Erlangen-Höchstadt;4961760000000000,0;1,08417e+16;;very low;H;4319,0
127;Weisendorf;Landkreis Erlangen-Höchstadt;4959470000000000,0;1081900000000000,0;;very low;E;4319,0
128;Puschendorf;Landkreis Fürth;4952600000000000,0;1,08342e+16;;very low;C;4602,0
129;Henfenfeld;Landkreis Nürnberger Land;4949390000000000,0;1,13901e+16;;very low;E;3585,0
130;Hersbruck;Landkreis Nürnberger Land;495187000000000,0;1,14019e+16;;very low;A;3585,0
131;Hersbruck;Landkreis Nürnberger Land;4952440000000000,0;1,14474e+16;;very low;D;3585,0
132;Hersbruck;Landkreis Nürnberger Land;4949880000000000,0;1,14424e+16;;very low;D;3585,0
133;Kirchensittenbach;Landkreis Nürnberger Land;4959790000000000,0;1143690000000000,0;;very low;H;3585,0
134;Simmelsdorf;Landkreis Nürnberger Land;4963200000000000,0;1131960000000000,0;;very low;H;3585,0
135;Schnaittach;Landkreis Nürnberger Land;4957890000000000,0;1,13887e+16;;very low;G;3585,0
136;Schnaittach;Landkreis Nürnberger Land;4961360000000000,0;1,14188e+16;;very low;D;3585,0
137;Eckental;Landkreis Erlangen-Höchstadt;4956400000000000,0;1,11917e+16;;very low;A;4319,0
138;Eckental;Landkreis Erlangen-Höchstadt;4,95781e+16;1,12717e+16;;very low;F;4319,0
139;Eckental;Landkreis Erlangen-Höchstadt;4958270000000000,0;1119670000000000,0;;very low;E;4319,0
140;Eckental;Landkreis Erlangen-Höchstadt;4958360000000000,0;1,12436e+16;;very low;B;4319,0
141;Aurachtal;Landkreis Erlangen-Höchstadt;4957670000000000,0;1,08255e+16;;very low;A;4319,0
142;Großenseebach;Landkreis Erlangen-Höchstadt;4961710000000000,0;1,08798e+16;;very low;C;4319,0
143;Herzogenaurach;Landkreis Erlangen-Höchstadt;4960450000000000,0;1,08463e+16;;very low;D;4319,0
144;Herzogenaurach;Landkreis Erlangen-Höchstadt;4956900000000000,0;1,08865e+16;;very low;H;4319,0
145;Herzogenaurach;Landkreis Erlangen-Höchstadt;4955190000000000,0;1,08889e+16;;very low;E;4319,0
146;Herzogenaurach;Landkreis Erlangen-Höchstadt;4956900000000000,0;1,08557e+16;;very low;D;4319,0
147;Herzogenaurach;Landkreis Erlangen-Höchstadt;4957160000000000,0;1089650000000000,0;;very low;A;4319,0
148;Herzogenaurach;Landkreis Erlangen-Höchstadt;4955120000000000,0;1,08463e+16;;very low;D;4319,0
149;Heßdorf;Landkreis Erlangen-Höchstadt;496562000000000,0;1,08794e+16;;very low;D;4319,0
150;Röttenbach;Landkreis Erlangen-Höchstadt;4967240000000000,0;1092670000000000,0;;very low;F;4319,0
151;Hemhofen;Landkreis Erlangen-Höchstadt;4968480000000000,0;109379000000000,0;;very low;G;4319,0
152;Adelsdorf;Landkreis Erlangen-Höchstadt;4,97086e+16;1,08854e+16;;very low;H;4319,0
153;Adelsdorf;Landkreis Erlangen-Höchstadt;4968990000000000,0;1,09091e+16;;very low;H;4319,0
154;Zirndorf;Landkreis Fürth;4944290000000000,0;1,09529e+16;;very low;C;4602,0
155;Zirndorf;Landkreis Fürth;4943340000000000,0;1,09427e+16;;very low;A;4602,0
156;Zirndorf;Landkreis Fürth;4944860000000000,0;1,09028e+16;;very low;A+;4602,0
157;Zirndorf;Landkreis Fürth;4943400000000000,0;1,09452e+16;;very low;A;4602,0
158;Zirndorf;Landkreis Fürth;4944850000000000,0;1,09452e+16;;very low;D;4602,0
159;Zirndorf;Landkreis Fürth;4,94168e+16;1093600000000000,0;;very low;A;4602,0
160;Zirndorf;Landkreis Fürth;4,94325e+16;1,09391e+16;;very low;H;4602,0
161;Oberasbach;Landkreis Fürth;4941910000000000,0;1,09818e+16;;very low;E;4602,0
162;Oberasbach;Landkreis Fürth;4941890000000000,0;1096130000000000,0;;very low;C;4602,0
163;Oberasbach;Landkreis Fürth;4942920000000000,0;1,09495e+16;;very low;B;4602,0
164;Oberasbach;Landkreis Fürth;4943020000000000,0;1,09718e+16;;very low;H;4602,0
165;Oberasbach;Landkreis Fürth;4942680000000000,0;1,0986e+16;;very low;D;4602,0
166;Stein;Landkreis Fürth;493898000000000,0;1,09478e+16;;very low;D;4602,0
167;Stein;Landkreis Fürth;4939650000000000,0;1,09237e+16;;very low;A;4602,0
168;Stein;Landkreis Fürth;4941410000000000,0;1,10061e+16;;very low;E;4602,0
169;Stein;Landkreis Fürth;4939810000000000,0;1,09387e+16;;very low;H;4602,0
170;Ammerndorf;Landkreis Fürth;4942740000000000,0;1,0852e+16;;very low;C;4602,0
171;Langenzenn;Landkreis Fürth;4945790000000000,0;1,07651e+16;;very low;E;4602,0
172;Langenzenn;Landkreis Fürth;4949990000000000,0;1,0812e+16;;very low;C;4602,0
173;Langenzenn;Landkreis Fürth;4950020000000000,0;107623000000000,0;;very low;C;4602,0
174;Bubenreuth;Landkreis Erlangen-Höchstadt;4962240000000000,0;1,10037e+16;;very low;H;4319,0
175;Baiersdorf;Landkreis Erlangen-Höchstadt;4966810000000000,0;1,10393e+16;;very low;F;4319,0
176;Baiersdorf;Landkreis Erlangen-Höchstadt;4965910000000000,0;1,10594e+16;;very low;G;4319,0
177;Altdorf bei Nürnberg;Landkreis Nürnberger Land;4938030000000000,0;1140870000000000,0;;very low;F;3585,0
178;Altdorf bei Nürnberg;Landkreis Nürnberger Land;4940320000000000,0;1140910000000000,0;;very low;C;3585,0
179;Altdorf bei Nürnberg;Landkreis Nürnberger Land;4,94136e+16;1,14035e+16;;very low;E;3585,0
180;Altdorf bei Nürnberg;Landkreis Nürnberger Land;4938990000000000,0;1137550000000000,0;;very low;D;3585,0
181;Schwarzenbruck;Landkreis Nürnberger Land;4,93646e+16;1,12784e+16;;very low;A;3585,0
182;Schwarzenbruck;Landkreis Nürnberger Land;4936990000000000,0;1,12611e+16;;very low;E;3585,0
183;Lauben;Landkreis Oberallgäu;4779380000000000,0;1,02879e+16;HQ 500;very low;F;4851,0
184;Memmingen;;480301000000000,0;1,01948e+16;;very low;A;3862,0
185;Memmingen;;4799630000000000,0;1,01584e+16;;very low;F;3862,0
186;Memmingen;;479965000000000,0;1019090000000000,0;;very low;E;3862,0
187;Memmingen;;4802310000000000,0;1,01506e+16;;very low;G;3862,0
188;Memmingen;;4798630000000000,0;1,01866e+16;;very low;F;3862,0
189;Memmingen;;4793880000000000,0;1,01255e+16;;very low;H;3862,0
190;Memmingen;;479697000000000,0;1,01351e+16;;very low;D;3862,0
191;Memmingen;;4801050000000000,0;1,01944e+16;;very low;C;3862,0
192;Memmingen;;4798800000000000,0;1,0148e+16;;very low;H;3862,0
193;Memmingen;;4800480000000000,0;1,02062e+16;;very low;E;3862,0
194;Memmingen;;4798080000000000,0;1,01693e+16;;very low;F;3862,0
195;Kaufbeuren;;4787430000000000,0;1064650000000000,0;;very low;G;3716,0
196;Kaufbeuren;;4787170000000000,0;1,06362e+16;;very low;B;3716,0
197;Kaufbeuren;;4786420000000000,0;1,05838e+16;;very low;D;3716,0
198;Kaufbeuren;;4786770000000000,0;1,06084e+16;;very low;D;3716,0
199;Kaufbeuren;;4786650000000000,0;1063870000000000,0;;very low;G;3716,0
200;Kaufbeuren;;4789200000000000,0;1,0577e+16;;very low;G;3716,0
201;Kaufbeuren;;4,78503e+16;1,06333e+16;;very low;C;3716,0
202;Kaufbeuren;;4786470000000000,0;1,06123e+16;;very low;G;3716,0
203;Kaufbeuren;;4,7859e+16;1,06544e+16;;very low;C;3716,0
204;Kaufbeuren;;4788280000000000,0;1,06284e+16;;very low;H;3716,0
205;Kaufbeuren;;4787570000000000,0;1,06342e+16;;very low;D;3716,0
206;Klingenberg am Main;Landkreis Miltenberg;4974860000000000,0;9188380000000000,0;;very low;D;2785,0
207;Klingenberg am Main;Landkreis Miltenberg;4975250000000000,0;918511000000,0;;very low;F;2785,0
208;Bodolz;Landkreis Lindau;4757520000000000,0;968104000000000,0;;very low;E;5279,0
209;Bodolz;Landkreis Lindau;4755980000000000,0;965678000000000,0;;very low;C;5279,0
210;Bodolz;Landkreis Lindau;4757900000000000,0;9691470000000000,0;;very low;D;5279,0
211;Bodolz;Landkreis Lindau;4,75834e+16;9664820000000000,0;;very low;C;5279,0
212;Bodolz;Landkreis Lindau;4,75667e+16;9704820000000000,0;;very low;G;5279,0
213;Bodolz;Landkreis Lindau;4759110000000000,0;9692880000000000,0;;very low;H;5279,0
214;Bodolz;Landkreis Lindau;4757300000000000,0;9713510000000000,0;;very low;A+;5279,0
215;Lindau (Bodensee);Landkreis Lindau;4754260000000000,0;9727280000000000,0;;very low;A+;5279,0
216;Lindau (Bodensee);Landkreis Lindau;4755300000000000,0;972331000000000,0;;very low;G;5279,0
217;Lindau (Bodensee);Landkreis Lindau;4758020000000000,0;9653790000000000,0;;very low;F;5279,0
218;Lindau (Bodensee);Landkreis Lindau;4757040000000000,0;968342000000000,0;;very low;G;5279,0
219;Lindau (Bodensee);Landkreis Lindau;4759760000000000,0;9683800000000000,0;;very low;E;5279,0
220;Lindau (Bodensee);Landkreis Lindau;475910000000000,0;967883000000000,0;;very low;D;5279,0
221;Lindau (Bodensee);Landkreis Lindau;4,75564e+16;9696910000000000,0;;very low;C;5279,0
222;Eschau;Landkreis Miltenberg;4982180000000000,0;934630000000000,0;;very low;H;2785,0
223;Großheubach;Landkreis Miltenberg;4973230000000000,0;9222120000000000,0;;very low;A;2785,0
224;Wörth am Main;Landkreis Miltenberg;4977420000000000,0;9133020000000000,0;;very low;D;2785,0
225;Erlenbach am Main;Landkreis Miltenberg;4,97912e+16;9172310000000000,0;;very low;G;2785,0
226;Erlenbach am Main;Landkreis Miltenberg;4980870000000000,0;920098000000000,0;;very low;F;2785,0
227;Erlenbach am Main;Landkreis Miltenberg;4979830000000000,0;9175400000000000,0;;very low;G;2785,0
228;Mönchberg;Landkreis Miltenberg;4979780000000000,0;9302560000000000,0;;very low;E;2785,0
229;Hausen;Landkreis Miltenberg;4988340000000000,0;9208440000000000,0;;very low;E;2785,0
230;Kleinwallstadt;Landkreis Miltenberg;4987270000000000,0;9169950000000000,0;;very low;C;2785,0
231;Kleinwallstadt;Landkreis Miltenberg;4986240000000000,0;9199750000000000,0;;very low;H;2785,0
232;Sulzbach am Main;Landkreis Miltenberg;4991150000000000,0;9171630000000000,0;;very low;F;2785,0
233;Sulzbach am Main;Landkreis Miltenberg;4992050000000000,0;9189310000000000,0;;very low;A;2785,0
234;Großwallstadt;Landkreis Miltenberg;4988210000000000,0;9119050000000000,0;;very low;E;2785,0
235;Niedernberg;Landkreis Miltenberg;4990620000000000,0;9127530000000000,0;;very low;D;2785,0
236;Hösbach;Landkreis Aschaffenburg;5004420000000000,0;921480000000000,0;;very low;C;3619,0
237;Hösbach;Landkreis Aschaffenburg;5002300000000000,0;9230710000000000,0;;very low;G;3619,0
238;Hösbach;Landkreis Aschaffenburg;5002990000000000,0;9193410000000000,0;;very low;F;3619,0
239;Hösbach;Landkreis Aschaffenburg;4997380000000000,0;921046000000000,0;;very low;G;3619,0
240;Obernburg am Main;Landkreis Miltenberg;4983060000000000,0;9099280000000000,0;;very low;A+;2785,0
241;Obernburg am Main;Landkreis Miltenberg;4,984e+16;9126520000000000,0;;very low;B;2785,0
242;Mömlingen;Landkreis Miltenberg;4985290000000000,0;905653000000000,0;;very low;D;2785,0
243;Stockstadt am Main;Landkreis Aschaffenburg;499771000000000,0;904745000000000,0;;very low;D;3619,0
244;Stockstadt am Main;Landkreis Aschaffenburg;499750000000000,0;9043660000000000,0;;very low;H;3619,0
245;Krombach;Landkreis Aschaffenburg;500700000000000,0;9193090000000000,0;;very low;B;3619,0
246;Mömbris;Landkreis Aschaffenburg;5,00548e+16;9112140000000000,0;;very low;E;3619,0
247;Mömbris;Landkreis Aschaffenburg;500369000000000,0;9129900000000000,0;;very low;E;3619,0
248;Mömbris;Landkreis Aschaffenburg;5004620000000000,0;9182000000000000,0;;very low;E;3619,0
249;Johannesberg;Landkreis Aschaffenburg;5,00167e+16;9117450000000000,0;;very low;G;3619,0
250;Mainaschaff;Landkreis Aschaffenburg;5001530000000000,0;9084690000000000,0;;very low;B;3619,0
251;Mainaschaff;Landkreis Aschaffenburg;4998470000000000,0;9100620000000000,0;;very low;D;3619,0
252;Kleinostheim;Landkreis Aschaffenburg;5002250000000000,0;9089280000000000,0;;very low;C;3619,0
253;Kleinostheim;Landkreis Aschaffenburg;5002530000000000,0;9033570000000000,0;;very low;C;3619,0
254;Karlstein am Main;Landkreis Aschaffenburg;5003360000000000,0;904520000000000,0;;very low;C;3619,0
255;Karlstein am Main;Landkreis Aschaffenburg;5003890000000000,0;9039670000000000,0;;very low;C;3619,0
256;Kahl am Main;Landkreis Aschaffenburg;5006170000000000,0;9000270000000000,0;;very low;A+;3619,0
257;Kahl am Main;Landkreis Aschaffenburg;5007620000000000,0;9013630000000000,0;;very low;H;3619,0
258;Alzenau;Landkreis Aschaffenburg;5006690000000000,0;907678000000000,0;;very low;A+;3619,0
259;Alzenau;Landkreis Aschaffenburg;5009450000000000,0;903762000000000,0;;very low;D;3619,0
260;Alzenau;Landkreis Aschaffenburg;5006440000000000,0;9048070000000000,0;;very low;H;3619,0
261;Alzenau;Landkreis Aschaffenburg;5011540000000000,0;9075080000000000,0;;very low;A+;3619,0
262;Alzenau;Landkreis Aschaffenburg;5008530000000000,0;909157000000000,0;;very low;C;3619,0
263;Würzburg;;4979570000000000,0;9979420000000000,0;;very low;E;3022,0
264;Würzburg;;4978520000000000,0;9953160000000000,0;;very low;F;3022,0
265;Würzburg;;4,97789e+16;9942920000000000,0;;very low;B;3022,0
266;Würzburg;;4979260000000000,0;997854000000000,0;;very low;E;3022,0
267;Würzburg;;4979190000000000,0;996923000000000,0;;very low;E;3022,0
268;Ringelai;Landkreis Freyung-Grafenau;4881360000000000,0;1,3452e+16;;very low;C;2122,0
269;Pfronten;Landkreis Ostallgäu;4754680000000000,0;1,05784e+16;;very low;A;3907,0
270;Pfronten;Landkreis Ostallgäu;4,75515e+16;1,05291e+16;;very low;G;3907,0
271;Benningen;Landkreis Unterallgäu;4796660000000000,0;1,02316e+16;;very low;H;3518,0
272;Höchstadt a.d.Aisch;Landkreis Erlangen-Höchstadt;4969200000000000,0;1,08134e+16;;very low;E;4319,0
273;Höchstadt a.d.Aisch;Landkreis Erlangen-Höchstadt;4975760000000000,0;1088270000000000,0;;very low;D;4319,0
274;Höchstadt a.d.Aisch;Landkreis Erlangen-Höchstadt;4976370000000000,0;1,09022e+16;;very low;F;4319,0
275;Höchstadt a.d.Aisch;Landkreis Erlangen-Höchstadt;4,97607e+16;1,09063e+16;;very low;G;4319,0
276;Mespelbrunn;Landkreis Aschaffenburg;4990130000000000,0;93184700000000,0;;very low;D;3619,0
277;Neuhaus a.d.Pegnitz;Landkreis Nürnberger Land;4962600000000000,0;1,15401e+16;;very low;A;3585,0
278;Sailauf;Landkreis Aschaffenburg;5004130000000000,0;9294570000000000,0;;very low;A+;3619,0
279;Kirchenlamitz;Landkreis Wunsiedel im Fichtelgebirge;5014370000000000,0;1,19049e+16;;very low;H;1589,0
280;Röslau;Landkreis Wunsiedel im Fichtelgebirge;5008040000000000,0;1,20233e+16;;very low;E;1589,0
281;Thiersheim;Landkreis Wunsiedel im Fichtelgebirge;5008520000000000,0;1214150000000000,0;;very low;C;1589,0
