ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Ueberschwemmungstiefe;Schadensfaktor;Energieklasse;Quadratmeterpreise;wohnflaeche;aktueller_immobilienwert;aktuelles_LtV;darlehenbetrag;Risikogewicht;Immobilienschaden;EAI;EI;Neuer Immobilienwert;Neue LtV;Neue Risikogewicht;Neue RWA;RWA Änderung
Burgthann;Landkreis Nürnberger Land;4,93569E+15;1,13083E+16;;0,0;very low;0,0;0,0;C;3585,0;60,0;215100,0;0,63;134450,52;0,3;0,0;0,0;0,0;215100,0;0,625060529986053;0,3;40335,155999999995;0,0
Allersberg;Landkreis Roth;4,92442E+15;1,12603E+16;;0,0;very low;0,0;0,0;H;3631,0;74,35;269972,3;0,54;146534,23;0,25;0,0;0,0;0,0;269972,3;0,5427750550704648;0,25;36633,5575;0,0
Allersberg;Landkreis Roth;4,92533E+12;1,12604E+16;;0,0;very low;0,0;0,0;C;3631,0;189,0;686265,11;0,33;228318,34;0,2;0,0;0,0;0,0;686265,11;0,33269699518892926;0,2;45663,668000000005;0,0
Pyrbaum;Landkreis Neumarkt in der Oberpfalz;4,9291E+13;1,12652E+15;;0,0;very low;0,0;0,0;D;3013,0;137,21;413402,97;0,47;192454,96;0,2;0,0;0,0;0,0;413402,97;0,4655384067511658;0,2;38490,992;0,0
Pyrbaum;Landkreis Neumarkt in der Oberpfalz;4,92994E+15;1,13075E+16;;0,0;very low;0,0;0,0;D;3013,0;81,93;246848,9;0,56;138653,32;0,25;0,0;0,0;0,0;246848,9;0,561693084311901;0,25;34663,33;0,0
Dasing;Landkreis Aichach-Friedberg;4,83755E+15;1,10383E+16;;0,0;very low;0,0;0,0;G;4487,0;60,0;269220,0;0,54;144990,85;0,25;0,0;0,0;0,0;269220,0;0,5385589852165515;0,25;36247,7125;0,0
Wildpoldsried;Landkreis Oberallgäu;4,77864E+15;1,03976E+16;;0,0;very low;0,0;0,0;H;4851,0;60,0;291060,0;0,49;141867,06;0,2;0,0;0,0;0,0;291060,0;0,48741517212945784;0,2;28373,412;0,0
Haldenwang;Landkreis Oberallgäu;4,78055E+15;1,03421E+15;;0,0;very low;0,0;0,0;G;4851,0;60,0;291060,0;0,53;155136,91;0,25;0,0;0,0;0,0;291060,0;0,5330066309352024;0,25;38784,2275;0,0
Collenberg;Landkreis Miltenberg;4,97871E+15;9,32577E+15;;0,0;very low;0,0;0,0;C;2785,0;85,21;237302,3;0,38;89723,53;0,2;0,0;0,0;0,0;237302,3;0,3780980209631344;0,2;17944,706000000002;0,0
Babenhausen;Landkreis Unterallgäu;4,81545E+15;1,0214E+16;;0,0;very low;0,0;0,0;C;3518,0;146,34;514828,29;0,3;153626,35;0,2;0,0;0,0;0,0;514828,29;0,29840308503637203;0,2;30725,270000000004;0,0
Erkheim;Landkreis Unterallgäu;4,80529E+15;1,0321E+16;;0,0;very low;0,0;0,0;D;3518,0;60,0;211080,0;0,42;89398,29;0,2;0,0;0,0;0,0;211080,0;0,4235279988629903;0,2;17879,658;0,0
Boos;Landkreis Unterallgäu;4,80869E+14;1,02254E+16;;0,0;very low;0,0;0,0;C;3518,0;60,0;211080,0;0,68;144250,36;0,3;0,0;0,0;0,0;211080,0;0,6833918893310592;0,3;43275,10799999999;0,0
Biessenhofen;Landkreis Ostallgäu;4,78357E+15;1,06483E+15;;0,0;very low;0,0;0,0;A+;3907,0;60,0;234420,0;0,39;92201,32;0,2;0,0;0,0;0,0;234420,0;0,39331678184455254;0,2;18440,264000000003;0,0
Mauerstetten;Landkreis Ostallgäu;4,78901E+15;1,06774E+16;;0,0;very low;0,0;0,0;G;3907,0;60,0;234420,0;0,73;171838,09;0,3;0,0;0,0;0,0;234420,0;0,7330351079259448;0,3;51551,426999999996;0,0
Stöttwang;Landkreis Ostallgäu;4,78612E+16;1,06866E+15;;0,0;very low;0,0;0,0;A+;3907,0;84,1;328562,15;0,41;135000,8;0,2;0,0;0,0;0,0;328562,15;0,41088360299565846;0,2;27000,16;0,0
Germaringen;Landkreis Ostallgäu;4,79552E+13;1,06836E+15;;0,0;very low;0,0;0,0;H;3907,0;173,99;679790,91;0,2;136933,53;0,2;0,0;0,0;0,0;679790,91;0,2014347764667815;0,2;27386,706000000002;0,0
Pforzen;Landkreis Ostallgäu;4,79404E+15;1,05998E+16;;0,0;very low;0,0;0,0;C;3907,0;60,0;234420,0;0,49;115849,88;0,2;0,0;0,0;0,0;234420,0;0,49419793532975004;0,2;23169,976000000002;0,0
Markt Rettenbach;Landkreis Unterallgäu;4,79569E+16;1,03589E+16;;0,0;very low;0,0;0,0;E;3518,0;117,85;414584,96;0,59;243791,49;0,25;0,0;0,0;0,0;414584,96;0,5880374676399259;0,25;60947,8725;0,0
Ottobeuren;Landkreis Unterallgäu;4,79444E+15;1,03407E+14;;0,0;very low;0,0;0,0;C;3518,0;60,0;211080,0;0,64;135941,73;0,3;0,0;0,0;0,0;211080,0;0,6440294201250711;0,3;40782,519;0,0
Ottobeuren;Landkreis Unterallgäu;4,79346E+16;1,02792E+16;;0,0;very low;0,0;0,0;F;3518,0;65,84;231623,86;0,43;100438,5;0,2;0,0;0,0;0,0;231623,86;0,43362760641325987;0,2;20087,7;0,0
Wolfertschwenden;Landkreis Unterallgäu;4,79114E+15;1,02481E+16;;0,0;very low;0,0;0,0;H;3518,0;60,0;211080,0;0,67;141715,31;0,3;0,0;0,0;0,0;211080,0;0,6713819878718968;0,3;42514,593;0,0
Buxheim;Landkreis Unterallgäu;4,80036E+15;1,01226E+16;;0,0;very low;0,0;0,0;F;3518,0;60,0;211080,0;0,58;122098,28;0,25;0,0;0,0;0,0;211080,0;0,5784455182869054;0,25;30524,57;0,0
Woringen;Landkreis Unterallgäu;4,79258E+16;1,0197E+16;;0,0;very low;0,0;0,0;D;3518,0;60,0;211080,0;0,63;132378,89;0,3;0,0;0,0;0,0;211080,0;0,6271503221527384;0,3;39713,667;0,0
Bad Grönenbach;Landkreis Unterallgäu;4,78713E+15;1,02162E+16;;0,0;very low;0,0;0,0;B;3518,0;180,23;634044,96;0,18;116159,62;0,2;0,0;0,0;0,0;634044,96;0,18320407436090969;0,2;23231,924;0,0
Würzburg;;4,97783E+15;9,93596E+15;;0,0;very low;0,0;0,0;E;3022,0;97,77;295469,38;0,48;141770,35;0,2;0,0;0,0;0,0;295469,38;0,4798140165996219;0,2;28354,070000000003;0,0
Würzburg;;4,97858E+14;9,93336E+14;;0,0;very low;0,0;0,0;H;3022,0;60,0;181320,0;0,73;131893,29;0,3;0,0;0,0;0,0;181320,0;0,7274061879549968;0,3;39567,987;0,0
Würzburg;;4,97801E+15;9,93906E+15;;0,0;very low;0,0;0,0;C;3022,0;60,0;181320,0;0,6;109195,99;0,3;0,0;0,0;0,0;181320,0;0,6022280498566072;0,3;32758,797;0,0
Würzburg;;4,97899E+15;9,9441E+15;;0,0;very low;0,0;0,0;A+;3022,0;483,36;1460710,1;0,07;98377,81;0,2;0,0;0,0;0,0;1460710,1;0,0673493049716025;0,2;19675,562;0,0
Würzburg;;4,97741E+15;9,93474E+15;;0,0;very low;0,0;0,0;A;3022,0;104,71;316421,56;0,24;76911,62;0,2;0,0;0,0;0,0;316421,56;0,2430669389279289;0,2;15382,324;0,0
Mindelheim;Landkreis Unterallgäu;4,80731E+15;1,05012E+16;;0,0;very low;0,0;0,0;F;3518,0;86,83;305480,86;0,16;47915,78;0,2;0,0;0,0;0,0;305480,86;0,15685362415177173;0,2;9583,156;0,0
Mindelheim;Landkreis Unterallgäu;4,80432E+14;1,05389E+16;;0,0;very low;0,0;0,0;A+;3518,0;62,68;220503,94;0,63;138872,72;0,3;0,0;0,0;0,0;220503,94;0,6297970004526903;0,3;41661,816;0,0
Mindelheim;Landkreis Unterallgäu;4,80367E+16;1,04538E+16;;0,0;very low;0,0;0,0;E;3518,0;60,0;211080,0;0,7;147257,75;0,3;0,0;0,0;0,0;211080,0;0,6976395205609248;0,3;44177,325;0,0
Mindelheim;Landkreis Unterallgäu;4,80717E+16;1,05184E+16;;0,0;very low;0,0;0,0;D;3518,0;92,12;324075,51;0,27;86764,29;0,2;0,0;0,0;0,0;324075,51;0,2677286228755761;0,2;17352,858;0,0
Würzburg;;4,97998E+15;9,92688E+15;;0,0;very low;0,0;0,0;B;3022,0;60,0;181320,0;0,68;122965,48;0,3;0,0;0,0;0,0;181320,0;0,6781683212000882;0,3;36889,644;0,0
Würzburg;;4,97994E+15;9,927E+15;;0,0;very low;0,0;0,0;C;3022,0;70,57;213272,35;0,41;88024,26;0,2;0,0;0,0;0,0;213272,35;0,4127317019763696;0,2;17604,852;0,0
Würzburg;;4,97988E+15;9,93083E+14;;0,0;very low;0,0;0,0;C;3022,0;60,0;181320,0;0,47;86130,29;0,2;0,0;0,0;0,0;181320,0;0,47501814471652326;0,2;17226,058;0,0
Memmingerberg;Landkreis Unterallgäu;4,79908E+15;1,02198E+16;;0,0;very low;0,0;0,0;G;3518,0;70,27;247226,54;0,44;107608,33;0,2;0,0;0,0;0,0;247226,54;0,43526204751318365;0,2;21521,666;0,0
Westerheim;Landkreis Unterallgäu;4,79978E+15;1,0315E+16;;0,0;very low;0,0;0,0;A+;3518,0;278,59;980082,24;0,51;501866,0;0,25;0,0;0,0;0,0;980082,24;0,5120651915904526;0,25;125466,5;0,0
Sontheim;Landkreis Unterallgäu;4,79974E+16;1,03995E+16;;0,0;very low;0,0;0,0;E;3518,0;60,0;211080,0;0,67;142440,17;0,3;0,0;0,0;0,0;211080,0;0,6748160413113512;0,3;42732,051;0,0
Grainau;Landkreis Garmisch-Partenkirchen;4,74354E+15;1,10066E+16;;0,0;very low;0,0;0,0;A;7326,0;60,0;439560,0;0,35;155362,84;0,2;0,0;0,0;0,0;439560,0;0,35345081445081444;0,2;31072,568;0,0
Schwangau;Landkreis Ostallgäu;4,7536E+15;1,08396E+16;;0,0;very low;0,0;0,0;A;3907,0;60,0;234420,0;0,36;84958,96;0,2;0,0;0,0;0,0;234420,0;0,3624219776469585;0,2;16991,792;0,0
Halblech;Landkreis Ostallgäu;4,76142E+16;1,08054E+16;;0,0;very low;0,0;0,0;G;3907,0;168,11;656789,67;0,43;284259,99;0,2;0,0;0,0;0,0;656789,67;0,4328021632861552;0,2;56851,998;0,0
Roßhaupten;Landkreis Ostallgäu;4,76843E+15;1,07178E+16;;0,0;very low;0,0;0,0;E;3907,0;60,0;234420,0;0,4;94221,58;0,2;0,0;0,0;0,0;234420,0;0,4019349031652589;0,2;18844,316000000003;0,0
Füssen;Landkreis Ostallgäu;4,75526E+15;1,06943E+16;;0,0;very low;0,0;0,0;G;3907,0;60,0;234420,0;0,32;74970,13;0,2;0,0;0,0;0,0;234420,0;0,31981115092568896;0,2;14994,026000000002;0,0
Füssen;Landkreis Ostallgäu;4,75769E+15;1,06328E+16;;0,0;very low;0,0;0,0;A;3907,0;60,0;234420,0;0,63;147183,36;0,3;0,0;0,0;0,0;234420,0;0,6278617865369849;0,3;44155,007999999994;0,0
Füssen;Landkreis Ostallgäu;4,75719E+15;1,0621E+16;;0,0;very low;0,0;0,0;D;3907,0;60,0;234420,0;0,4;93283,19;0,2;0,0;0,0;0,0;234420,0;0,39793187441344596;0,2;18656,638000000003;0,0
Füssen;Landkreis Ostallgäu;4,75681E+15;1,06047E+16;;0,0;very low;0,0;0,0;C;3907,0;66,2;258651,28;0,52;134203,42;0,25;0,0;0,0;0,0;258651,28;0,5188585186974525;0,25;33550,855;0,0
Durach;Landkreis Oberallgäu;4,77002E+16;1,03796E+16;;0,0;very low;0,0;0,0;A+;4851,0;60,0;291060,0;0,51;149461,42;0,25;0,0;0,0;0,0;291060,0;0,5135072493643923;0,25;37365,355;0,0
Durach;Landkreis Oberallgäu;4,76978E+15;1,0413E+16;;0,0;very low;0,0;0,0;E;4851,0;120,14;582799,33;0,22;128839,11;0,2;0,0;0,0;0,0;582799,33;0,2210694202410974;0,2;25767,822;0,0
Sulzberg;Landkreis Oberallgäu;4,76752E+15;1,03566E+16;;0,0;very low;0,0;0,0;C;4851,0;60,0;291060,0;0,49;141312,86;0,2;0,0;0,0;0,0;291060,0;0,48551109736824016;0,2;28262,572;0,0
Buchenberg;Landkreis Oberallgäu;4,77119E+15;1,01714E+16;;0,0;very low;0,0;0,0;F;4851,0;378,42;1835727,01;0,09;159764,51;0,2;0,0;0,0;0,0;1835727,01;0,08703064732920175;0,2;31952,902000000002;0,0
Waltenhofen;Landkreis Oberallgäu;4,76258E+15;1,02211E+16;;0,0;very low;0,0;0,0;F;4851,0;87,13;422691,2;0,26;110953,71;0,2;0,0;0,0;0,0;422691,2;0,26249354138434866;0,2;22190,742000000002;0,0
Waltenhofen;Landkreis Oberallgäu;4,7646E+15;1,0265E+16;;0,0;very low;0,0;0,0;F;4851,0;60,0;291060,0;0,46;133299,86;0,2;0,0;0,0;0,0;291060,0;0,4579806912664055;0,2;26659,971999999998;0,0
Weitnau;Landkreis Oberallgäu;4,76727E+15;1,01634E+16;;0,0;very low;0,0;0,0;C;4851,0;60,0;291060,0;0,52;149995,01;0,25;0,0;0,0;0,0;291060,0;0,5153405139833711;0,25;37498,7525;0,0
Giebelstadt;Landkreis Würzburg;4,96099E+15;9,96275E+15;;0,0;very low;0,0;0,0;A;3022,0;60,0;181320,0;0,44;80277,94;0,2;0,0;0,0;0,0;181320,0;0,4427417824840062;0,2;16055,588000000002;0,0
Kirchheim;Landkreis Würzburg;4,9645E+16;9,84633E+15;;0,0;very low;0,0;0,0;G;3022,0;68,64;207430,35;0,71;148264,38;0,3;0,0;0,0;0,0;207430,35;0,7147670531337387;0,3;44479,314;0,0
Neubrunn;Landkreis Würzburg;4,97314E+15;9,68533E+14;;0,0;very low;0,0;0,0;C;3022,0;134,76;407254,61;0,13;54492,69;0,2;0,0;0,0;0,0;407254,61;0,13380496785536694;0,2;10898,538;0,0
Helmstadt;Landkreis Würzburg;4,97596E+15;9,7474E+15;;0,0;very low;0,0;0,0;E;3022,0;60,0;181320,0;0,52;93893,75;0,25;0,0;0,0;0,0;181320,0;0,5178344915067284;0,25;23473,4375;0,0
Altertheim;Landkreis Würzburg;4,97423E+15;9,75784E+15;;0,0;very low;0,0;0,0;D;3022,0;266,89;806527,43;0,19;152438,55;0,2;0,0;0,0;0,0;806527,43;0,18900603293802418;0,2;30487,71;0,0
Eisingen;Landkreis Würzburg;4,97587E+14;9,82668E+15;;0,0;very low;0,0;0,0;D;3022,0;107,56;325031,56;0,58;189382,91;0,25;0,0;0,0;0,0;325031,56;0,5826600653794973;0,25;47345,7275;0,0
Höchberg;Landkreis Würzburg;4,9778E+15;9,86672E+15;;0,0;very low;0,0;0,0;B;3022,0;185,69;561167,68;0,42;237565,67;0,2;0,0;0,0;0,0;561167,68;0,4233416828282056;0,2;47513,134000000005;0,0
Höchberg;Landkreis Würzburg;4,97834E+15;9,90102E+14;;0,0;very low;0,0;0,0;D;3022,0;100,86;304809,25;0,41;124746,91;0,2;0,0;0,0;0,0;304809,25;0,4092622189123198;0,2;24949,382;0,0
Waldbüttelbrunn;Landkreis Würzburg;4,97889E+15;9,8162E+15;;0,0;very low;0,0;0,0;F;3022,0;478,13;1444905,08;0,13;186832,42;0,2;0,0;0,0;0,0;1444905,08;0,12930428620266185;0,2;37366,484000000004;0,0
Hettstadt;Landkreis Würzburg;4,98066E+16;9,84397E+14;;0,0;very low;0,0;0,0;D;3022,0;137,79;416410,1;0,63;261725,71;0,3;0,0;0,0;0,0;416410,1;0,6285287268488444;0,3;78517,71299999999;0,0
Zell am Main;Landkreis Würzburg;4,9793E+15;9,88002E+15;;0,0;very low;0,0;0,0;A;3022,0;217,89;658455,62;0,3;196684,61;0,2;0,0;0,0;0,0;658455,62;0,29870594771444126;0,2;39336,922;0,0
Margetshöchheim;Landkreis Würzburg;4,98354E+15;9,85952E+14;;0,0;very low;0,0;0,0;E;3022,0;60,0;181320,0;0,72;130286,73;0,3;0,0;0,0;0,0;181320,0;0,7185458305757776;0,3;39086,019;0,0
Güntersleben;Landkreis Würzburg;4,9891E+15;9,89775E+15;;0,0;very low;0,0;0,0;A+;3022,0;60,0;181320,0;0,7;126077,88;0,3;0,0;0,0;0,0;181320,0;0,6953335539377896;0,3;37823,364;0,0
Veitshöchheim;Landkreis Würzburg;4,9843E+16;9,8955E+15;;0,0;very low;0,0;0,0;D;3022,0;120,76;364947,84;0,45;162649,17;0,2;0,0;0,0;0,0;364947,84;0,4456778535803911;0,2;32529,834000000003;0,0
