ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Ueberschwemmungstiefe;Schadensfaktor;Energieklasse;Quadratmeterpreise;wohnflaeche;aktueller_immobilienwert;aktuelles_LtV;darlehenbetrag;Risikogewicht;immobilienwert_check;darlehenbetrag_check;ID;Immobilienschaden;EAI;Neuer Immobilienwert;Neue LtV;Risikogewicht;Neue Risikogewicht;Akt. RWA;Neue RWA;RWA Änderung
Altusried;Landkreis Oberallgäu;4,77928E+16;1,02286E+16;;0.0;very low;0.0;0.0;F;2522.98;126.38;318853.73;0.75;239140.3;0.3;True;True;20;0.0;0.0;318853.73;0.7500000078405857;0.3;0.3;71742.09;71742.09;0.0
Altusried;Landkreis Oberallgäu;4,77946E+15;1,01903E+16;;0.0;very low;0.0;0.0;F;2522.98;149.79;377924.24;0.73;276143.14;0.3;True;True;21;0.0;0.0;377924.24;0.7306838534622707;0.3;0.3;82842.942;82842.942;0.0
Altusried;Landkreis Oberallgäu;4,77883E+15;1,00994E+16;;0.0;very low;0.0;0.0;H;2522.98;168.17;424279.2;0.75;318209.4;0.3;True;True;22;0.0;0.0;424279.2;0.75;0.3;0.3;95462.82;95462.82;0.0
Oy-Mittelberg;Landkreis Oberallgäu;4,76499E+15;1,05019E+16;;0.0;very low;0.0;0.0;A;2522.98;99.8;251797.8;0.63;157600.35;0.3;True;True;23;0.0;0.0;251797.8;0.625900424864713;0.3;0.3;47280.105;47280.105;0.0
Nesselwang;Landkreis Ostallgäu;4,76133E+16;1,04965E+16;;0.0;very low;0.0;0.0;B;2032.01;139.4;283270.23;0.75;212452.67;0.3;True;True;24;0.0;0.0;283270.23;0.7499999911745051;0.3;0.3;63735.801;63735.801;0.0
Wertach;Landkreis Oberallgäu;4,75853E+15;1,0391E+16;;0.0;very low;0.0;0.0;B;2522.98;80.0;201838.37;0.52;104093.81;0.25;True;True;25;0.0;0.0;201838.37;0.5157285505228763;0.25;0.25;26023.4525;26023.4525;0.0
Bad Hindelang;Landkreis Oberallgäu;4,74701E+15;1,03634E+16;;0.0;very low;0.0;0.0;D;2522.98;80.0;201838.37;0.47;93865.08;0.2;True;True;26;0.0;0.0;201838.37;0.465050723507131;0.2;0.2;18773.016;18773.016;0.0
Rettenberg;Landkreis Oberallgäu;4,75491E+15;1,02956E+16;;0.0;very low;0.0;0.0;F;2522.98;80.0;201838.37;0.45;90385.4;0.2;True;True;27;0.0;0.0;201838.37;0.4478107903863869;0.2;0.2;18077.079999999998;18077.079999999998;0.0
Burgberg i.Allgäu;Landkreis Oberallgäu;4,75459E+15;1,02823E+15;;0.0;very low;0.0;0.0;C;2522.98;80.0;201838.37;0.63;128029.99;0.3;True;True;28;0.0;0.0;201838.37;0.6343193813941324;0.3;0.3;38408.997;38408.997;0.0
Blaichach;Landkreis Oberallgäu;4,74807E+15;1,01228E+16;;0.0;very low;0.0;0.0;E;2522.98;119.77;302166.9;0.56;170593.83;0.25;True;True;29;0.0;0.0;302166.9;0.5645682237200699;0.25;0.25;42648.4575;42648.4575;0.0
Blaichach;Landkreis Oberallgäu;4,74944E+15;1,01905E+15;;0.0;very low;0.0;0.0;D;2522.98;81.2;204859.18;0.56;114361.14;0.25;True;True;30;0.0;0.0;204859.18;0.5582426913941567;0.25;0.25;28590.285;28590.285;0.0
Immenstadt im Allgäu;Landkreis Oberallgäu;4,75726E+15;1,02274E+16;;0.0;very low;0.0;0.0;A;2522.98;80.0;201838.37;0.48;96330.38;0.2;True;True;31;0.0;0.0;201838.37;0.47726495214958387;0.2;0.2;19266.076;19266.076;0.0
Immenstadt im Allgäu;Landkreis Oberallgäu;4,75784E+15;1,01346E+16;;0.0;very low;0.0;0.0;A;2522.98;80.0;201838.37;0.61;122761.89;0.3;True;True;32;0.0;0.0;201838.37;0.6082187940776573;0.3;0.3;36828.566999999995;36828.566999999995;0.0
Immenstadt im Allgäu;Landkreis Oberallgäu;4,75346E+15;1,0206E+16;;0.0;very low;0.0;0.0;D;2522.98;85.98;216934.15;0.66;142641.31;0.3;True;True;33;0.0;0.0;216934.15;0.6575327582125728;0.3;0.3;42792.393;42792.393;0.0
Immenstadt im Allgäu;Landkreis Oberallgäu;4,75854E+15;1,02394E+16;;0.0;very low;0.0;0.0;H;2522.98;148.11;373685.33;0.7;261382.37;0.3;True;True;34;0.0;0.0;373685.33;0.6994718524272815;0.3;0.3;78414.711;78414.711;0.0
Oberstaufen;Landkreis Oberallgäu;4,75E+16;1,00151E+15;;0.0;very low;0.0;0.0;H;2522.98;129.47;326648.3;0.75;244986.22;0.3;True;True;35;0.0;0.0;326648.3;0.749999984693017;0.3;0.3;73495.866;73495.866;0.0
Oberstaufen;Landkreis Oberallgäu;4,75732E+15;1,00375E+16;;0.0;very low;0.0;0.0;G;2522.98;80.0;201838.37;0.48;95898.44;0.2;True;True;36;0.0;0.0;201838.37;0.4751249229767363;0.2;0.2;19179.688000000002;19179.688000000002;0.0
Wiggensbach;Landkreis Oberallgäu;4,77166E+15;1,02385E+16;;0.0;very low;0.0;0.0;E;2522.98;80.0;201838.37;0.75;151378.78;0.3;True;True;37;0.0;0.0;201838.37;0.7500000123861484;0.3;0.3;45413.634;45413.634;0.0
Gaukönigshofen;Landkreis Würzburg;4,96303E+16;1,00067E+14;;0.0;very low;0.0;0.0;A+;1571.73;142.66;224226.04;0.65;144943.77;0.3;True;True;38;0.0;0.0;224226.04;0.6464180966670954;0.3;0.3;43483.130999999994;43483.130999999994;0.0
Leinach;Landkreis Würzburg;4,98284E+15;9,82056E+15;;0.0;very low;0.0;0.0;D;1571.73;154.57;242941.42;0.57;139119.13;0.25;True;True;39;0.0;0.0;242941.42;0.5726447552665165;0.25;0.25;34779.7825;34779.7825;0.0
Roßtal;Landkreis Fürth;4,93877E+15;1,09245E+16;;0.0;very low;0.0;0.0;E;2393.48;84.49;202230.8;0.61;123644.0;0.3;True;True;40;0.0;0.0;202230.8;0.6114004394978411;0.3;0.3;37093.2;37093.2;0.0
Roßtal;Landkreis Fürth;4,94101E+15;1,08587E+16;;0.0;very low;0.0;0.0;A;2393.48;128.07;306526.66;0.61;186553.24;0.3;True;True;41;0.0;0.0;306526.66;0.6086036366298448;0.3;0.3;55965.971999999994;55965.971999999994;0.0
Roßtal;Landkreis Fürth;4,93744E+15;1,0869E+16;;0.0;very low;0.0;0.0;C;2393.48;157.37;376672.21;0.55;207013.22;0.25;True;True;42;0.0;0.0;376672.21;0.549584531335614;0.25;0.25;51753.305;51753.305;0.0
Großhabersdorf;Landkreis Fürth;4,94083E+15;1,08147E+16;;0.0;very low;0.0;0.0;G;2393.48;146.54;350729.63;0.67;233751.96;0.3;True;True;43;0.0;0.0;350729.63;0.6664733743767243;0.3;0.3;70125.58799999999;70125.58799999999;0.0
Burgthann;Landkreis Nürnberger Land;4,93284E+14;1,13817E+16;;0.0;very low;0.0;0.0;B;1864.54;160.53;299317.56;0.63;187162.62;0.3;True;True;44;0.0;0.0;299317.56;0.6252978274979925;0.3;0.3;56148.786;56148.786;0.0
Burgthann;Landkreis Nürnberger Land;4,93324E+15;1,13134E+16;;0.0;very low;0.0;0.0;G;1864.54;82.33;153506.26;0.42;64561.69;0.2;True;True;45;0.0;0.0;153506.26;0.4205801769908276;0.2;0.2;12912.338000000002;12912.338000000002;0.0
Burgthann;Landkreis Nürnberger Land;4,93569E+15;1,13083E+16;;0.0;very low;0.0;0.0;C;1864.54;146.91;273928.7;0.65;177752.01;0.3;True;True;46;0.0;0.0;273928.7;0.6488988192912973;0.3;0.3;53325.603;53325.603;0.0
Allersberg;Landkreis Roth;4,92442E+15;1,12603E+16;;0.0;very low;0.0;0.0;H;1888.46;122.04;230462.04;0.57;132121.48;0.25;True;True;47;0.0;0.0;230462.04;0.573289553455311;0.25;0.25;33030.37;33030.37;0.0
Allersberg;Landkreis Roth;4,92533E+12;1,12604E+16;;0.0;very low;0.0;0.0;C;1888.46;83.44;157579.21;0.73;114422.03;0.3;True;True;48;0.0;0.0;157579.21;0.7261238966739331;0.3;0.3;34326.609;34326.609;0.0
Pyrbaum;Landkreis Neumarkt in der Oberpfalz;4,9291E+13;1,12652E+15;;0.0;very low;0.0;0.0;D;1567.05;84.82;132912.13;0.66;87062.46;0.3;True;True;49;0.0;0.0;132912.13;0.6550377305668038;0.3;0.3;26118.738;26118.738;0.0
Pyrbaum;Landkreis Neumarkt in der Oberpfalz;4,92994E+15;1,13075E+16;;0.0;very low;0.0;0.0;D;1567.05;156.72;245593.11;0.75;184194.83;0.3;True;True;50;0.0;0.0;245593.11;0.7499999898205614;0.3;0.3;55258.44899999999;55258.44899999999;0.0
Dasing;Landkreis Aichach-Friedberg;4,83755E+15;1,10383E+16;;0.0;very low;0.0;0.0;G;2333.67;84.6;197425.11;0.6;119236.49;0.25;True;True;51;0.0;0.0;197425.11;0.6039580780783155;0.25;0.3;29809.1225;35770.947;0.19999999999999996
Wildpoldsried;Landkreis Oberallgäu;4,77864E+15;1,03976E+16;;0.0;very low;0.0;0.0;H;2522.98;153.88;388245.91;0.75;291184.43;0.3;True;True;52;0.0;0.0;388245.91;0.7499999935607822;0.3;0.3;87355.329;87355.329;0.0
Haldenwang;Landkreis Oberallgäu;4,78055E+15;1,03421E+15;;0.0;very low;0.0;0.0;G;2522.98;148.24;373995.22;0.68;254101.41;0.3;True;True;53;0.0;0.0;373995.22;0.6794242183095281;0.3;0.3;76230.423;76230.423;0.0
Collenberg;Landkreis Miltenberg;4,97871E+15;9,32577E+15;;0.0;very low;0.0;0.0;C;1448.46;132.82;192386.65;0.62;119979.64;0.3;True;True;54;0.0;0.0;192386.65;0.6236380746792982;0.3;0.3;35993.892;35993.892;0.0
Babenhausen;Landkreis Unterallgäu;4,81545E+15;1,0214E+16;;0.0;very low;0.0;0.0;C;1829.69;80.0;146375.47;0.68;100156.77;0.3;True;True;55;0.0;0.0;146375.47;0.6842455911499379;0.3;0.3;30047.031;30047.031;0.0
Erkheim;Landkreis Unterallgäu;4,80529E+15;1,0321E+16;;0.0;very low;0.0;0.0;D;1829.69;123.04;225116.32;0.57;127755.22;0.25;True;True;56;0.0;0.0;225116.32;0.5675075889655623;0.25;0.25;31938.805;31938.805;0.0
Boos;Landkreis Unterallgäu;4,80869E+14;1,02254E+16;;0.0;very low;0.0;0.0;C;1829.69;80.09;146533.19;0.66;97304.76;0.3;True;True;57;0.0;0.0;146533.19;0.664045872474352;0.3;0.3;29191.427999999996;29191.427999999996;0.0
Biessenhofen;Landkreis Ostallgäu;4,78357E+15;1,06483E+15;;0.0;very low;0.0;0.0;A+;2032.01;80.0;162560.82;0.7;113747.31;0.3;True;True;58;0.0;0.0;162560.82;0.6997215565226602;0.3;0.3;34124.193;34124.193;0.0
Mauerstetten;Landkreis Ostallgäu;4,78901E+15;1,06774E+16;;0.0;very low;0.0;0.0;G;2032.01;80.0;162560.82;0.65;106198.36;0.3;True;True;59;0.0;0.0;162560.82;0.6532838601576936;0.3;0.3;31859.507999999998;31859.507999999998;0.0
Stöttwang;Landkreis Ostallgäu;4,78612E+16;1,06866E+15;;0.0;very low;0.0;0.0;A+;2032.01;107.56;218556.58;0.72;156324.55;0.3;True;True;60;0.0;0.0;218556.58;0.7152589503367961;0.3;0.3;46897.365;46897.365;0.0
Germaringen;Landkreis Ostallgäu;4,79552E+13;1,06836E+15;;0.0;very low;0.0;0.0;H;2032.01;122.34;248596.7;0.73;182361.02;0.3;True;True;61;0.0;0.0;248596.7;0.7335617085826158;0.3;0.3;54708.306;54708.306;0.0
Pforzen;Landkreis Ostallgäu;4,79404E+15;1,05998E+16;;0.0;very low;0.0;0.0;C;2032.01;84.41;171530.67;0.49;83866.78;0.2;True;True;62;0.0;0.0;171530.67;0.488931687843346;0.2;0.2;16773.356;16773.356;0.0
Markt Rettenbach;Landkreis Unterallgäu;4,79569E+16;1,03589E+16;;0.0;very low;0.0;0.0;E;1829.69;120.03;219626.8;0.61;134884.26;0.3;True;True;63;0.0;0.0;219626.8;0.6141520980135394;0.3;0.3;40465.278;40465.278;0.0
Ottobeuren;Landkreis Unterallgäu;4,79444E+15;1,03407E+14;;0.0;very low;0.0;0.0;C;1829.69;80.0;146375.47;0.6;87394.07;0.25;True;True;64;0.0;0.0;146375.47;0.5970540692371475;0.25;0.25;21848.5175;21848.5175;0.0
Ottobeuren;Landkreis Unterallgäu;4,79346E+16;1,02792E+16;;0.0;very low;0.0;0.0;F;1829.69;80.0;146375.47;0.68;98868.8;0.3;True;True;65;0.0;0.0;146375.47;0.6754465075329903;0.3;0.3;29660.64;29660.64;0.0
Wolfertschwenden;Landkreis Unterallgäu;4,79114E+15;1,02481E+16;;0.0;very low;0.0;0.0;H;1829.69;83.57;152915.12;0.73;111605.86;0.3;True;True;66;0.0;0.0;152915.12;0.7298549679063784;0.3;0.3;33481.758;33481.758;0.0
Buxheim;Landkreis Unterallgäu;4,80036E+15;1,01226E+16;;0.0;very low;0.0;0.0;F;1829.69;134.32;245764.5;0.43;105810.49;0.2;True;True;67;0.0;0.0;245764.5;0.4305361026511152;0.2;0.2;21162.098;21162.098;0.0
Woringen;Landkreis Unterallgäu;4,79258E+16;1,0197E+16;;0.0;very low;0.0;0.0;D;1829.69;98.15;179591.28;0.66;117695.94;0.3;True;True;68;0.0;0.0;179591.28;0.6553544247805351;0.3;0.3;35308.782;35308.782;0.0
Bad Grönenbach;Landkreis Unterallgäu;4,78713E+15;1,02162E+16;;0.0;very low;0.0;0.0;B;1829.69;110.63;202423.32;0.66;132900.53;0.3;True;True;69;0.0;0.0;202423.32;0.6565475262435178;0.3;0.3;39870.159;39870.159;0.0
Würzburg;;4,97783E+15;9,93596E+15;;0.0;very low;0.0;0.0;E;1571.73;84.16;132278.7;0.68;89413.2;0.3;True;True;70;0.0;0.0;132278.7;0.6759455603963449;0.3;0.3;26823.96;26823.96;0.0
Würzburg;;4,97858E+14;9,93336E+14;;0.0;very low;0.0;0.0;H;1571.73;80.0;125738.11;0.42;53240.19;0.2;True;True;71;0.0;0.0;125738.11;0.42342126822170306;0.2;0.2;10648.038;10648.038;0.0
Würzburg;;4,97801E+15;9,93906E+15;;0.0;very low;0.0;0.0;C;1571.73;117.15;184126.78;0.55;102006.05;0.25;True;True;72;0.0;0.0;184126.78;0.5539989891747414;0.25;0.25;25501.5125;25501.5125;0.0
Würzburg;;4,97899E+15;9,9441E+15;;0.0;very low;0.0;0.0;A+;1571.73;116.78;183547.35;0.75;137660.51;0.3;True;True;73;0.0;0.0;183547.35;0.7499999863795365;0.3;0.3;41298.153;41298.153;0.0
Würzburg;;4,97741E+15;9,93474E+15;;0.0;very low;0.0;0.0;A;1571.73;97.99;154015.29;0.6;91905.58;0.25;True;True;74;0.0;0.0;154015.29;0.5967302337319885;0.25;0.25;22976.395;22976.395;0.0
Mindelheim;Landkreis Unterallgäu;4,80731E+15;1,05012E+16;;0.0;very low;0.0;0.0;F;1829.69;122.2;223590.13;0.56;125066.36;0.25;True;True;75;0.0;0.0;223590.13;0.5593554599212407;0.25;0.25;31266.59;31266.59;0.0
Mindelheim;Landkreis Unterallgäu;4,80432E+14;1,05389E+16;;0.0;very low;0.0;0.0;A+;1829.69;132.0;241521.88;0.6;145598.11;0.25;True;True;76;0.0;0.0;241521.88;0.6028361074367258;0.25;0.3;36399.5275;43679.433;0.19999999999999996
Mindelheim;Landkreis Unterallgäu;4,80367E+16;1,04538E+16;;0.0;very low;0.0;0.0;E;1829.69;100.75;184340.54;0.64;118199.45;0.3;True;True;77;0.0;0.0;184340.54;0.641201604378505;0.3;0.3;35459.835;35459.835;0.0
Mindelheim;Landkreis Unterallgäu;4,80717E+16;1,05184E+16;;0.0;very low;0.0;0.0;D;1829.69;85.94;157238.4;0.72;112963.86;0.3;True;True;78;0.0;0.0;157238.4;0.7184241254044814;0.3;0.3;33889.157999999996;33889.157999999996;0.0
Würzburg;;4,97998E+15;9,92688E+15;;0.0;very low;0.0;0.0;B;1571.73;80.0;125738.11;0.66;82772.74;0.3;True;True;79;0.0;0.0;125738.11;0.6582947683880409;0.3;0.3;24831.822;24831.822;0.0
Würzburg;;4,97994E+15;9,927E+15;;0.0;very low;0.0;0.0;C;1571.73;163.47;256931.83;0.67;173251.42;0.3;True;True;80;0.0;0.0;256931.83;0.6743089013144071;0.3;0.3;51975.426;51975.426;0.0
Würzburg;;4,97988E+15;9,93083E+14;;0.0;very low;0.0;0.0;C;1571.73;101.2;159055.44;0.75;119291.58;0.3;True;True;81;0.0;0.0;159055.44;0.75;0.3;0.3;35787.474;35787.474;0.0
Memmingerberg;Landkreis Unterallgäu;4,79908E+15;1,02198E+16;;0.0;very low;0.0;0.0;G;1829.69;80.0;146375.47;0.75;109050.15;0.3;True;True;82;0.0;0.0;146375.47;0.7450029024671961;0.3;0.3;32715.045;32715.045;0.0
Westerheim;Landkreis Unterallgäu;4,79978E+15;1,0315E+16;;0.0;very low;0.0;0.0;A+;1829.69;110.09;201425.12;0.63;126400.89;0.3;True;True;83;0.0;0.0;201425.12;0.6275329015566679;0.3;0.3;37920.267;37920.267;0.0
Sontheim;Landkreis Unterallgäu;4,79974E+16;1,03995E+16;;0.0;very low;0.0;0.0;E;1829.69;92.92;170023.91;0.45;77343.72;0.2;True;True;84;0.0;0.0;170023.91;0.45489907860606194;0.2;0.2;15468.744;15468.744;0.0
Grainau;Landkreis Garmisch-Partenkirchen;4,74354E+15;1,10066E+16;;0.0;very low;0.0;0.0;A;3810.21;162.94;620819.56;0.44;272918.41;0.2;True;True;85;0.0;0.0;620819.56;0.43960987633830345;0.2;0.2;54583.682;54583.682;0.0
Schwangau;Landkreis Ostallgäu;4,7536E+15;1,08396E+16;;0.0;very low;0.0;0.0;A;2032.01;124.94;253887.44;0.54;137146.25;0.25;True;True;86;0.0;0.0;253887.44;0.5401852490221651;0.25;0.25;34286.5625;34286.5625;0.0
Halblech;Landkreis Ostallgäu;4,76142E+16;1,08054E+16;;0.0;very low;0.0;0.0;G;2032.01;98.02;199180.94;0.42;83797.88;0.2;True;True;87;0.0;0.0;199180.94;0.42071234325935003;0.2;0.2;16759.576;16759.576;0.0
Roßhaupten;Landkreis Ostallgäu;4,76843E+15;1,07178E+16;;0.0;very low;0.0;0.0;E;2032.01;141.66;287850.95;0.48;137776.54;0.2;True;True;88;0.0;0.0;287850.95;0.4786384759195688;0.2;0.2;27555.308000000005;27555.308000000005;0.0
Füssen;Landkreis Ostallgäu;4,75526E+15;1,06943E+16;;0.0;very low;0.0;0.0;G;2032.01;106.53;216468.28;0.68;146955.46;0.3;True;True;89;0.0;0.0;216468.28;0.678877570422789;0.3;0.3;44086.638;44086.638;0.0
Füssen;Landkreis Ostallgäu;4,75769E+15;1,06328E+16;;0.0;very low;0.0;0.0;A;2032.01;92.03;187001.52;0.75;140251.14;0.3;True;True;90;0.0;0.0;187001.52;0.7500000000000001;0.3;0.3;42075.342000000004;42075.342000000004;0.0
Füssen;Landkreis Ostallgäu;4,75719E+15;1,0621E+16;;0.0;very low;0.0;0.0;D;2032.01;155.75;316490.58;0.72;229318.39;0.3;True;True;91;0.0;0.0;316490.58;0.7245662414344212;0.3;0.3;68795.517;68795.517;0.0
Füssen;Landkreis Ostallgäu;4,75681E+15;1,06047E+16;;0.0;very low;0.0;0.0;C;2032.01;80.0;162560.82;0.67;109492.06;0.3;True;True;92;0.0;0.0;162560.82;0.6735451998827269;0.3;0.3;32847.617999999995;32847.617999999995;0.0
Durach;Landkreis Oberallgäu;4,77002E+16;1,03796E+16;;0.0;very low;0.0;0.0;A+;2522.98;109.32;275808.31;0.58;159235.91;0.25;True;True;93;0.0;0.0;275808.31;0.5773426841272477;0.25;0.25;39808.9775;39808.9775;0.0
Durach;Landkreis Oberallgäu;4,76978E+15;1,0413E+16;;0.0;very low;0.0;0.0;E;2522.98;80.0;201838.37;0.73;147267.04;0.3;True;True;94;0.0;0.0;201838.37;0.7296285636868749;0.3;0.3;44180.112;44180.112;0.0
Sulzberg;Landkreis Oberallgäu;4,76752E+15;1,03566E+16;;0.0;very low;0.0;0.0;C;2522.98;113.5;286367.16;0.75;214775.37;0.3;True;True;95;0.0;0.0;286367.16;0.75;0.3;0.3;64432.611;64432.611;0.0
Buchenberg;Landkreis Oberallgäu;4,77119E+15;1,01714E+16;;0.0;very low;0.0;0.0;F;2522.98;80.0;201838.37;0.52;105933.24;0.25;True;True;96;0.0;0.0;201838.37;0.5248419316901936;0.25;0.25;26483.31;26483.31;0.0
Waltenhofen;Landkreis Oberallgäu;4,76258E+15;1,02211E+16;;0.0;very low;0.0;0.0;F;2522.98;80.0;201838.37;0.71;144132.34;0.3;True;True;97;0.0;0.0;201838.37;0.714097819953659;0.3;0.3;43239.702;43239.702;0.0
Waltenhofen;Landkreis Oberallgäu;4,7646E+15;1,0265E+16;;0.0;very low;0.0;0.0;F;2522.98;109.49;276250.01;0.61;168795.96;0.3;True;True;98;0.0;0.0;276250.01;0.6110260774289202;0.3;0.3;50638.78799999999;50638.78799999999;0.0
Weitnau;Landkreis Oberallgäu;4,76727E+15;1,01634E+16;;0.0;very low;0.0;0.0;C;2522.98;129.24;326078.45;0.68;220483.46;0.3;True;True;99;0.0;0.0;326078.45;0.6761669162742892;0.3;0.3;66145.038;66145.038;0.0
Giebelstadt;Landkreis Würzburg;4,96099E+15;9,96275E+15;;0.0;very low;0.0;0.0;A;1571.73;80.0;125738.11;0.46;57389.23;0.2;True;True;100;0.0;0.0;125738.11;0.45641874209815947;0.2;0.2;11477.846000000001;11477.846000000001;0.0
Kirchheim;Landkreis Würzburg;4,9645E+16;9,84633E+15;;0.0;very low;0.0;0.0;G;1571.73;133.93;210506.01;0.57;120606.68;0.25;True;True;101;0.0;0.0;210506.01;0.5729369912051442;0.25;0.25;30151.67;30151.67;0.0
Neubrunn;Landkreis Würzburg;4,97314E+15;9,68533E+14;;0.0;very low;0.0;0.0;C;1571.73;80.0;125738.11;0.59;74729.51;0.25;True;True;102;0.0;0.0;125738.11;0.5943266524365604;0.25;0.25;18682.3775;18682.3775;0.0
Helmstadt;Landkreis Würzburg;4,97596E+15;9,7474E+15;;0.0;very low;0.0;0.0;E;1571.73;99.77;156805.64;0.71;111229.2;0.3;True;True;103;0.0;0.0;156805.64;0.7093443832760097;0.3;0.3;33368.759999999995;33368.759999999995;0.0
