ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Ueberschwemmungstiefe;Schadensfaktor;Energieklasse;Quadratmeterpreise;wohnflaeche;aktueller_immobilienwert;aktuelles_LtV;darlehenbetrag;Risikogewicht
Haldenwang;Landkreis Oberallgäu;4,780,550,000,000,000,0;1,034,210,000,000,000,0;;0,0;very low;0,0;0,0;G;4851;60,0;291,060,0;0,533;155,136,91;0,25
Collenberg;Landkreis Miltenberg;4,978,710,000,000,000,0;9,325,770,000,000,000,0;;0,0;very low;0,0;0,0;C;2785;85,21;237,302,3;0,3781;89,723,53;0,2
Babenhausen;Landkreis Unterallgäu;4,815,450,000,000,000,0;1,0214e+16;;0,0;very low;0,0;0,0;C;3518;146,34;514,828,29;0,2984;153,626,35;0,2
Erkheim;Landkreis Unterallgäu;4,805,290,000,000,000,0;1,0321e+16;;0,0;very low;0,0;0,0;D;3518;60,0;211,080,0;0,4235;89,398,29;0,2
Boos;Landkreis Unterallgäu;480,869,000,000,000,0;1,02254e+16;;0,0;very low;0,0;0,0;C;3518;60,0;211,080,0;0,6834;144,250,36;0,3
Biessenhofen;Landkreis Ostallgäu;4,783,570,000,000,000,0;1,064,830,000,000,000,0;;0,0;very low;0,0;0,0;A+;3907;60,0;234,420,0;0,3933;92,201,32;0,2
Mauerstetten;Landkreis Ostallgäu;4,789,010,000,000,000,0;1,06774e+16;;0,0;very low;0,0;0,0;G;3907;60,0;234,420,0;0,733;171,838,09;0,3
Stöttwang;Landkreis Ostallgäu;4,78612e+16;1,068,660,000,000,000,0;;0,0;very low;0,0;0,0;A+;3907;84,1;328,562,15;0,4109;135,000,8;0,2
Germaringen;Landkreis Ostallgäu;47,955,200,000,000,0;1,068,360,000,000,000,0;;0,0;very low;0,0;0,0;H;3907;173,99;679,790,91;0,2014;136,933,53;0,2
Pforzen;Landkreis Ostallgäu;4,794,040,000,000,000,0;1,05998e+16;;0,0;very low;0,0;0,0;C;3907;60,0;234,420,0;0,4942;115,849,88;0,2
Markt Rettenbach;Landkreis Unterallgäu;4,79569e+16;1,03589e+16;;0,0;very low;0,0;0,0;E;3518;117,85;414,584,96;0,588;243,791,49;0,25
Ottobeuren;Landkreis Unterallgäu;4,794,440,000,000,000,0;103,407,000,000,000,0;;0,0;very low;0,0;0,0;C;3518;60,0;211,080,0;0,644;135,941,73;0,3
Ottobeuren;Landkreis Unterallgäu;4,79346e+16;1,02792e+16;;0,0;very low;0,0;0,0;F;3518;65,84;231,623,86;0,4336;100,438,5;0,2
Wolfertschwenden;Landkreis Unterallgäu;4,791,140,000,000,000,0;1,02481e+16;;0,0;very low;0,0;0,0;H;3518;60,0;211,080,0;0,6714;141,715,31;0,3
Buxheim;Landkreis Unterallgäu;4,800,360,000,000,000,0;1,01226e+16;;0,0;very low;0,0;0,0;F;3518;60,0;211,080,0;0,5784;122,098,28;0,25
Woringen;Landkreis Unterallgäu;4,79258e+16;1,0197e+16;;0,0;very low;0,0;0,0;D;3518;60,0;211,080,0;0,6272;132,378,89;0,3
Bad Grönenbach;Landkreis Unterallgäu;4,787,130,000,000,000,0;1,02162e+16;;0,0;very low;0,0;0,0;B;3518;180,23;634,044,96;0,1832;116,159,62;0,2
Würzburg;;4,977,830,000,000,000,0;9,935,960,000,000,000,0;;0,0;very low;0,0;0,0;E;3022;97,77;295,469,38;0,4798;141,770,35;0,2
Würzburg;;497,858,000,000,000,0;993,336,000,000,000,0;;0,0;very low;0,0;0,0;H;3022;60,0;181,320,0;0,7274;131,893,29;0,3
Würzburg;;4,978,010,000,000,000,0;9,939,060,000,000,000,0;;0,0;very low;0,0;0,0;C;3022;60,0;181,320,0;0,6022;109,195,99;0,3
Würzburg;;4,978,990,000,000,000,0;9,944,100,000,000,000,0;;0,0;very low;0,0;0,0;A+;3022;483,36;1,460,710,1;0,0673;98,377,81;0,2
Würzburg;;4,977,410,000,000,000,0;9,934,740,000,000,000,0;;0,0;very low;0,0;0,0;A;3022;104,71;316,421,56;0,2431;76,911,62;0,2
Mindelheim;Landkreis Unterallgäu;4,807,310,000,000,000,0;1,05012e+16;;0,0;very low;0,0;0,0;F;3518;86,83;305,480,86;0,1569;47,915,78;0,2
Mindelheim;Landkreis Unterallgäu;480,432,000,000,000,0;1,05389e+16;;0,0;very low;0,0;0,0;A+;3518;62,68;220,503,94;0,6298;138,872,72;0,3
Mindelheim;Landkreis Unterallgäu;4,80367e+16;1,04538e+16;;0,0;very low;0,0;0,0;E;3518;60,0;211,080,0;0,6976;147,257,75;0,3
Mindelheim;Landkreis Unterallgäu;4,80717e+16;1,05184e+16;;0,0;very low;0,0;0,0;D;3518;92,12;324,075,51;0,2677;86,764,29;0,2
Würzburg;;4,979,980,000,000,000,0;9,926,880,000,000,000,0;;0,0;very low;0,0;0,0;B;3022;60,0;181,320,0;0,6782;122,965,48;0,3
Würzburg;;4,979,940,000,000,000,0;9,927,000,000,000,000,0;;0,0;very low;0,0;0,0;C;3022;70,57;213,272,35;0,4127;88,024,26;0,2
Würzburg;;4,979,880,000,000,000,0;993,083,000,000,000,0;;0,0;very low;0,0;0,0;C;3022;60,0;181,320,0;0,475;86,130,29;0,2
Memmingerberg;Landkreis Unterallgäu;4,799,080,000,000,000,0;1,02198e+16;;0,0;very low;0,0;0,0;G;3518;70,27;247,226,54;0,4353;107,608,33;0,2
Westerheim;Landkreis Unterallgäu;4,799,780,000,000,000,0;1,0315e+16;;0,0;very low;0,0;0,0;A+;3518;278,59;980,082,24;0,5121;501,866,0;0,25
Sontheim;Landkreis Unterallgäu;4,79974e+16;1,03995e+16;;0,0;very low;0,0;0,0;E;3518;60,0;211,080,0;0,6748;142,440,17;0,3
Grainau;Landkreis Garmisch-Partenkirchen;4,743,540,000,000,000,0;1,10066e+16;;0,0;very low;0,0;0,0;A;7326;60,0;439,560,0;0,3535;155,362,84;0,2
Schwangau;Landkreis Ostallgäu;4,753,600,000,000,000,0;1,08396e+16;;0,0;very low;0,0;0,0;A;3907;60,0;234,420,0;0,3624;84,958,96;0,2
Halblech;Landkreis Ostallgäu;4,76142e+16;1,08054e+16;;0,0;very low;0,0;0,0;G;3907;168,11;656,789,67;0,4328;284,259,99;0,2
Roßhaupten;Landkreis Ostallgäu;4,768,430,000,000,000,0;1,07178e+16;;0,0;very low;0,0;0,0;E;3907;60,0;234,420,0;0,4019;94,221,58;0,2
Füssen;Landkreis Ostallgäu;4,755,260,000,000,000,0;1,06943e+16;;0,0;very low;0,0;0,0;G;3907;60,0;234,420,0;0,3198;74,970,13;0,2
Füssen;Landkreis Ostallgäu;4,757,690,000,000,000,0;1,06328e+16;;0,0;very low;0,0;0,0;A;3907;60,0;234,420,0;0,6279;147,183,36;0,3
Füssen;Landkreis Ostallgäu;4,757,190,000,000,000,0;1,0621e+16;;0,0;very low;0,0;0,0;D;3907;60,0;234,420,0;0,3979;93,283,19;0,2
Füssen;Landkreis Ostallgäu;4,756,810,000,000,000,0;1,06047e+16;;0,0;very low;0,0;0,0;C;3907;66,2;258,651,28;0,5189;134,203,42;0,25
Durach;Landkreis Oberallgäu;4,77002e+16;1,03796e+16;;0,0;very low;0,0;0,0;A+;4851;60,0;291,060,0;0,5135;149,461,42;0,25
Durach;Landkreis Oberallgäu;4,769,780,000,000,000,0;1,0413e+16;;0,0;very low;0,0;0,0;E;4851;120,14;582,799,33;0,2211;128,839,11;0,2
Sulzberg;Landkreis Oberallgäu;4,767,520,000,000,000,0;1,03566e+16;;0,0;very low;0,0;0,0;C;4851;60,0;291,060,0;0,4855;141,312,86;0,2
Buchenberg;Landkreis Oberallgäu;4,771,190,000,000,000,0;1,01714e+16;;0,0;very low;0,0;0,0;F;4851;378,42;1,835,727,01;0,087;159,764,51;0,2
Waltenhofen;Landkreis Oberallgäu;4,762,580,000,000,000,0;1,02211e+16;;0,0;very low;0,0;0,0;F;4851;87,13;422,691,2;0,2625;110,953,71;0,2
Waltenhofen;Landkreis Oberallgäu;4,764,600,000,000,000,0;1,0265e+16;;0,0;very low;0,0;0,0;F;4851;60,0;291,060,0;0,458;133,299,86;0,2
Weitnau;Landkreis Oberallgäu;4,767,270,000,000,000,0;1,01634e+16;;0,0;very low;0,0;0,0;C;4851;60,0;291,060,0;0,5153;149,995,01;0,25
Giebelstadt;Landkreis Würzburg;4,960,990,000,000,000,0;9,962,750,000,000,000,0;;0,0;very low;0,0;0,0;A;3022;60,0;181,320,0;0,4427;80,277,94;0,2
Kirchheim;Landkreis Würzburg;4,9645e+16;9,846,330,000,000,000,0;;0,0;very low;0,0;0,0;G;3022;68,64;207,430,35;0,7148;148,264,38;0,3
Neubrunn;Landkreis Würzburg;4,973,140,000,000,000,0;968,533,000,000,000,0;;0,0;very low;0,0;0,0;C;3022;134,76;407,254,61;0,1338;54,492,69;0,2
Helmstadt;Landkreis Würzburg;4,975,960,000,000,000,0;9,747,400,000,000,000,0;;0,0;very low;0,0;0,0;E;3022;60,0;181,320,0;0,5178;93,893,75;0,25
Altertheim;Landkreis Würzburg;4,974,230,000,000,000,0;9,757,840,000,000,000,0;;0,0;very low;0,0;0,0;D;3022;266,89;806,527,43;0,189;152,438,55;0,2
Eisingen;Landkreis Würzburg;497,587,000,000,000,0;9,826,680,000,000,000,0;;0,0;very low;0,0;0,0;D;3022;107,56;325,031,56;0,5827;189,382,91;0,25
Höchberg;Landkreis Würzburg;4,977,800,000,000,000,0;9,866,720,000,000,000,0;;0,0;very low;0,0;0,0;B;3022;185,69;561,167,68;0,4233;237,565,67;0,2
Höchberg;Landkreis Würzburg;4,978,340,000,000,000,0;990,102,000,000,000,0;;0,0;very low;0,0;0,0;D;3022;100,86;304,809,25;0,4093;124,746,91;0,2
Waldbüttelbrunn;Landkreis Würzburg;4,978,890,000,000,000,0;9,816,200,000,000,000,0;;0,0;very low;0,0;0,0;F;3022;478,13;1,444,905,08;0,1293;186,832,42;0,2
Hettstadt;Landkreis Würzburg;4,98066e+16;984,397,000,000,000,0;;0,0;very low;0,0;0,0;D;3022;137,79;416,410,1;0,6285;261,725,71;0,3
Zell am Main;Landkreis Würzburg;4,979,300,000,000,000,0;9,880,020,000,000,000,0;;0,0;very low;0,0;0,0;A;3022;217,89;658,455,62;0,2987;196,684,61;0,2
Margetshöchheim;Landkreis Würzburg;4,983,540,000,000,000,0;985,952,000,000,000,0;;0,0;very low;0,0;0,0;E;3022;60,0;181,320,0;0,7185;130,286,73;0,3
Güntersleben;Landkreis Würzburg;4,989,100,000,000,000,0;9,897,750,000,000,000,0;;0,0;very low;0,0;0,0;A+;3022;60,0;181,320,0;0,6953;126,077,88;0,3
Veitshöchheim;Landkreis Würzburg;4,9843e+16;9,895,500,000,000,000,0;;0,0;very low;0,0;0,0;D;3022;120,76;364,947,84;0,4457;162,649,17;0,2
Veitshöchheim;Landkreis Würzburg;4,985,190,000,000,000,0;990,034,000,000,000,0;;0,0;very low;0,0;0,0;H;3022;60,0;181,320,0;0,6889;124,906,11;0,3
Veitshöchheim;Landkreis Würzburg;4,985,340,000,000,000,0;9,873,190,000,000,000,0;;0,0;very low;0,0;0,0;E;3022;104,63;316,185,46;0,4626;146,275,79;0,2
Eibelstadt;Landkreis Würzburg;4,972,370,000,000,000,0;1,00165e+16;;0,0;very low;0,0;0,0;F;3022;222,66;672,884,79;0,3873;260,577,26;0,2
Theilheim;Landkreis Würzburg;4,975,560,000,000,000,0;1,00556e+16;;0,0;very low;0,0;0,0;E;3022;128,89;389,509,9;0,1379;53,719,89;0,2
Randersacker;Landkreis Würzburg;497,373,000,000,000,0;1,001,540,000,000,000,0;;0,0;very low;0,0;0,0;F;3022;60,32;182,282,28;0,5313;96,844,13;0,25
Gerbrunn;Landkreis Würzburg;497,827,000,000,000,0;100,067,000,000,000,0;;0,0;very low;0,0;0,0;A;3022;137,42;415,284,22;0,3312;137,558,05;0,2
Gerbrunn;Landkreis Würzburg;4,97866e+16;1,00025e+16;;0,0;very low;0,0;0,0;B;3022;197,32;596,291,75;0,371;221,211,21;0,2
Rottendorf;Landkreis Würzburg;4,979,480,000,000,000,0;1,00244e+16;;0,0;very low;0,0;0,0;H;3022;92,91;280,780,26;0,4194;117,752,02;0,2
Kürnach;Landkreis Würzburg;4,98447e+16;1,00489e+16;;0,0;very low;0,0;0,0;C;3022;136,15;411,450,83;0,493;202,830,93;0,2
Estenfeld;Landkreis Würzburg;4,981,900,000,000,000,0;1,00155e+16;;0,0;very low;0,0;0,0;G;3022;89,22;269,631,29;0,5014;135,191,02;0,25
Unterpleichfeld;Landkreis Würzburg;4,987,750,000,000,000,0;1,002,390,000,000,000,0;;0,0;very low;0,0;0,0;E;3022;140,32;424,034,12;0,3758;159,353,3;0,2
Hausen b. Würzburg;Landkreis Würzburg;499,040,000,000,000,0;100,068,000,000,000,0;;0,0;very low;0,0;0,0;C;3022;60,0;181,320,0;0,6587;119,428,61;0,3
Weisendorf;Landkreis Erlangen-Höchstadt;4,961,760,000,000,000,0;1,08417e+16;;0,0;very low;0,0;0,0;H;4319;60,0;259,140,0;0,5835;151,203,43;0,25
Weisendorf;Landkreis Erlangen-Höchstadt;4,959,470,000,000,000,0;1,081,900,000,000,000,0;;0,0;very low;0,0;0,0;E;4319;206,94;893,758,1;0,2354;210,431,81;0,2
Puschendorf;Landkreis Fürth;4,952,600,000,000,000,0;1,08342e+16;;0,0;very low;0,0;0,0;C;4602;80,74;371,565,02;0,2634;97,854,04;0,2
Henfenfeld;Landkreis Nürnberger Land;4,949,390,000,000,000,0;1,13901e+16;;0,0;very low;0,0;0,0;E;3585;84,28;302,153,73;0,1121;33,882,39;0,2
Hersbruck;Landkreis Nürnberger Land;495,187,000,000,000,0;1,14019e+16;;0,0;very low;0,0;0,0;A;3585;60,0;215,100,0;0,5095;109,594,03;0,25
Hersbruck;Landkreis Nürnberger Land;4,952,440,000,000,000,0;1,14474e+16;;0,0;very low;0,0;0,0;D;3585;60,0;215,100,0;0,6967;149,850,26;0,3
Hersbruck;Landkreis Nürnberger Land;4,949,880,000,000,000,0;1,14424e+16;;0,0;very low;0,0;0,0;D;3585;60,0;215,100,0;0,2785;59,908,62;0,2
Kirchensittenbach;Landkreis Nürnberger Land;4,959,790,000,000,000,0;1,143,690,000,000,000,0;;0,0;very low;0,0;0,0;H;3585;81,99;293,932,22;0,2039;59,941,77;0,2
Simmelsdorf;Landkreis Nürnberger Land;4,963,200,000,000,000,0;1,131,960,000,000,000,0;;0,0;very low;0,0;0,0;H;3585;72,03;258,220,52;0,5224;134,898,11;0,25
Schnaittach;Landkreis Nürnberger Land;4,957,890,000,000,000,0;1,13887e+16;;0,0;very low;0,0;0,0;G;3585;114,85;411,734,13;0,152;62,564,7;0,2
Schnaittach;Landkreis Nürnberger Land;4,961,360,000,000,000,0;1,14188e+16;;0,0;very low;0,0;0,0;D;3585;238,22;854,008,13;0,1798;153,557,04;0,2
Eckental;Landkreis Erlangen-Höchstadt;4,956,400,000,000,000,0;1,11917e+16;;0,0;very low;0,0;0,0;A;4319;63,81;275,610,64;0,5272;145,313,59;0,25
Eckental;Landkreis Erlangen-Höchstadt;4,95781e+16;1,12717e+16;;0,0;very low;0,0;0,0;F;4319;330,93;1,429,266,94;0,1204;172,046,46;0,2
Eckental;Landkreis Erlangen-Höchstadt;4,958,270,000,000,000,0;1,119,670,000,000,000,0;;0,0;very low;0,0;0,0;E;4319;91,08;393,366,48;0,1975;77,698,97;0,2
Eckental;Landkreis Erlangen-Höchstadt;4,958,360,000,000,000,0;1,12436e+16;;0,0;very low;0,0;0,0;B;4319;60,0;259,140,0;0,4259;110,365,85;0,2
Aurachtal;Landkreis Erlangen-Höchstadt;4,957,670,000,000,000,0;1,08255e+16;;0,0;very low;0,0;0,0;A;4319;60,0;259,140,0;0,6871;178,064,19;0,3
Großenseebach;Landkreis Erlangen-Höchstadt;4,961,710,000,000,000,0;1,08798e+16;;0,0;very low;0,0;0,0;C;4319;80,71;348,572,28;0,7256;252,930,56;0,3
Herzogenaurach;Landkreis Erlangen-Höchstadt;4,960,450,000,000,000,0;1,08463e+16;;0,0;very low;0,0;0,0;D;4319;60,0;259,140,0;0,4477;116,009,47;0,2
Herzogenaurach;Landkreis Erlangen-Höchstadt;4,956,900,000,000,000,0;1,08865e+16;;0,0;very low;0,0;0,0;H;4319;78,52;339,131,53;0,2455;83,243,32;0,2
Herzogenaurach;Landkreis Erlangen-Höchstadt;4,955,190,000,000,000,0;1,08889e+16;;0,0;very low;0,0;0,0;E;4319;69,0;297,989,74;0,6595;196,533,27;0,3
Herzogenaurach;Landkreis Erlangen-Höchstadt;4,956,900,000,000,000,0;1,08557e+16;;0,0;very low;0,0;0,0;D;4319;131,51;567,983,64;0,1738;98,725,16;0,2
Herzogenaurach;Landkreis Erlangen-Höchstadt;4,957,160,000,000,000,0;1,089,650,000,000,000,0;;0,0;very low;0,0;0,0;A;4319;112,26;484,872,44;0,1085;52,590,6;0,2
Herzogenaurach;Landkreis Erlangen-Höchstadt;4,955,120,000,000,000,0;1,08463e+16;;0,0;very low;0,0;0,0;D;4319;80,58;348,005,7;0,6897;240,028,19;0,3
Heßdorf;Landkreis Erlangen-Höchstadt;496,562,000,000,000,0;1,08794e+16;;0,0;very low;0,0;0,0;D;4319;60,0;259,140,0;0,5122;132,722,57;0,25
Röttenbach;Landkreis Erlangen-Höchstadt;4,967,240,000,000,000,0;1,092,670,000,000,000,0;;0,0;very low;0,0;0,0;F;4319;390,62;1,687,105,06;0,1214;204,738,76;0,2
Hemhofen;Landkreis Erlangen-Höchstadt;4,968,480,000,000,000,0;109,379,000,000,000,0;;0,0;very low;0,0;0,0;G;4319;93,32;403,041,61;0,5309;213,994,64;0,25
Adelsdorf;Landkreis Erlangen-Höchstadt;4,97086e+16;1,08854e+16;;0,0;very low;0,0;0,0;H;4319;60,0;259,140,0;0,2027;52,539,8;0,2
Adelsdorf;Landkreis Erlangen-Höchstadt;4,968,990,000,000,000,0;1,09091e+16;;0,0;very low;0,0;0,0;H;4319;290,58;1,255,007,06;0,1224;153,626,78;0,2
Zirndorf;Landkreis Fürth;4,944,290,000,000,000,0;1,09529e+16;;0,0;very low;0,0;0,0;C;4602;78,19;359,832,52;0,2351;84,589,62;0,2
