ID,ort,landkreis,latitude,longitude,GEB_HQ,flood_risk,Energieklasse,Quadratmeterpreise,aktuelles_LtV,darlehenbetrag,aktueller_immobilienwert,wohnflaeche,Schadensfaktor
82,Memmingerberg,Landkreis Unterallgäu,47.99080240613901,10.219828700458343,,very low,G,3518,"0,4353","107608,33","247226,54","70,27","0,04"
83,Westerheim,Landkreis Unterallgäu,47.99781084392707,10.314960100464695,,very low,A+,3518,"0,5121",501866,"980082,24","278,59","0,04"
84,Sontheim,Landkreis Unterallgäu,47.997429720562906,10.399536257478536,,very low,E,3518,"0,6748","142440,17",211080,60,"0,04"
85,Grainau,Landkreis Garmisch-Partenkirchen,47.43535925085816,11.006639936568584,,very low,A,7326,"0,3535","155362,84",439560,60,"0,04"
86,Schwangau,Landkreis Ostallgäu,47.53601373828529,10.839564215433834,,very low,A,3907,"0,3624","84958,96",234420,60,"0,04"
87,Halblech,Landkreis Ostallgäu,47.614243861754304,10.805354071513465,,very low,G,3907,"0,4328","284259,99","656789,67","168,11","0,04"
88,Roßhaupten,Landkreis Ostallgäu,47.68425817678596,10.717825382972212,,very low,E,3907,"0,4019","94221,58",234420,60,"0,04"
89,Füssen,Landkreis Ostallgäu,47.55261613223079,10.694261249175398,,very low,G,3907,"0,3198","74970,13",234420,60,"0,04"
90,Füssen,Landkreis Ostallgäu,47.57691792475938,10.632836732493203,,very low,A,3907,"0,6279","147183,36",234420,60,"0,04"
91,Füssen,Landkreis Ostallgäu,47.57188156669628,10.620999507560224,,very low,D,3907,"0,3979","93283,19",234420,60,"0,04"
92,Füssen,Landkreis Ostallgäu,47.56808038592563,10.604749519722011,,very low,C,3907,"0,5189","134203,42","258651,28","66,2","0,04"
93,Durach,Landkreis Oberallgäu,47.700222349554565,10.379630649198209,,very low,A+,4851,"0,5135","149461,42",291060,60,"0,04"
94,Durach,Landkreis Oberallgäu,47.69779683845187,10.412981467749598,,very low,E,4851,"0,2211","128839,11","582799,33","120,14","0,04"
95,Sulzberg,Landkreis Oberallgäu,47.67520166668509,10.356606499039504,,very low,C,4851,"0,4855","141312,86",291060,60,"0,04"
96,Buchenberg,Landkreis Oberallgäu,47.71193858483482,10.171378449473297,,very low,F,4851,"0,087","159764,51","1835727,01","378,42","0,04"
97,Waltenhofen,Landkreis Oberallgäu,47.62576450282301,10.221120066894583,,very low,F,4851,"0,2625","110953,71","422691,2","87,13","0,04"
98,Waltenhofen,Landkreis Oberallgäu,47.64596051987319,10.264968094108443,,very low,F,4851,"0,458","133299,86",291060,60,"0,04"
99,Weitnau,Landkreis Oberallgäu,47.67265119859032,10.163359324393737,,very low,C,4851,"0,5153","149995,01",291060,60,"0,04"
100,Giebelstadt,Landkreis Würzburg,49.60992895265301,9.962753360934672,,very low,A,3022,"0,4427","80277,94",181320,60,"0,04"
101,Kirchheim,Landkreis Würzburg,49.644981618866005,9.846334494571392,,very low,G,3022,"0,7148","148264,38","207430,35","68,64","0,04"
102,Neubrunn,Landkreis Würzburg,49.73142544396067,9.68533156531873,,very low,C,3022,"0,1338","54492,69","407254,61","134,76","0,04"
103,Helmstadt,Landkreis Würzburg,49.75958965193743,9.747396527621618,,very low,E,3022,"0,5178","93893,75",181320,60,"0,04"
104,Altertheim,Landkreis Würzburg,49.74227463772256,9.757844634928096,,very low,D,3022,"0,189","152438,55","806527,43","266,89","0,04"
105,Eisingen,Landkreis Würzburg,49.7587251613237,9.826682738930876,,very low,D,3022,"0,5827","189382,91","325031,56","107,56","0,04"
106,Höchberg,Landkreis Würzburg,49.77796990292198,9.866717703024522,,very low,B,3022,"0,4233","237565,67","561167,68","185,69","0,04"
107,Höchberg,Landkreis Würzburg,49.78339931478152,9.90102158309528,,very low,D,3022,"0,4093","124746,91","304809,25","100,86","0,04"
108,Waldbüttelbrunn,Landkreis Würzburg,49.78890328324444,9.816196335653157,,very low,F,3022,"0,1293","186832,42","1444905,08","478,13","0,04"
109,Hettstadt,Landkreis Würzburg,49.806614858419934,9.84397485004684,,very low,D,3022,"0,6285","261725,71","416410,1","137,79","0,04"
110,Zell am Main,Landkreis Würzburg,49.79299184829138,9.880022571445023,,very low,A,3022,"0,2987","196684,61","658455,62","217,89","0,04"
111,Margetshöchheim,Landkreis Würzburg,49.83540915313767,9.85951712875154,,very low,E,3022,"0,7185","130286,73",181320,60,"0,04"
112,Güntersleben,Landkreis Würzburg,49.89099880745315,9.897749151484344,,very low,A+,3022,"0,6953","126077,88",181320,60,"0,04"
113,Veitshöchheim,Landkreis Würzburg,49.843013883671865,9.895497768716243,,very low,D,3022,"0,4457","162649,17","364947,84","120,76","0,04"
114,Veitshöchheim,Landkreis Würzburg,49.85191088620722,9.90033564935012,,very low,H,3022,"0,6889","124906,11",181320,60,"0,04"
115,Veitshöchheim,Landkreis Würzburg,49.85339491700492,9.873190014596092,,very low,E,3022,"0,4626","146275,79","316185,46","104,63","0,04"
116,Eibelstadt,Landkreis Würzburg,49.72369873267223,10.016491375424518,,very low,F,3022,"0,3873","260577,26","672884,79","222,66","0,04"
117,Theilheim,Landkreis Würzburg,49.75558004042021,10.055601008175184,,very low,E,3022,"0,1379","53719,89","389509,9","128,89","0,04"
118,Randersacker,Landkreis Würzburg,49.7372867218941,10.01537735878745,,very low,F,3022,"0,5313","96844,13","182282,28","60,32","0,04"
119,Gerbrunn,Landkreis Würzburg,49.7826514912806,10.0066743535993,,very low,A,3022,"0,3312","137558,05","415284,22","137,42","0,04"
120,Gerbrunn,Landkreis Würzburg,49.786625368726405,10.002456521455503,,very low,B,3022,"0,371","221211,21","596291,75","197,32","0,04"
121,Rottendorf,Landkreis Würzburg,49.79479748957512,10.024423263834016,,very low,H,3022,"0,4194","117752,02","280780,26","92,91","0,04"
122,Kürnach,Landkreis Würzburg,49.844706970364655,10.048909743732276,,very low,C,3022,"0,493","202830,93","411450,83","136,15","0,04"
123,Estenfeld,Landkreis Würzburg,49.81899254887006,10.015532307170382,,very low,G,3022,"0,5014","135191,02","269631,29","89,22","0,04"
124,Unterpleichfeld,Landkreis Würzburg,49.87750265385583,10.02391278007872,,very low,E,3022,"0,3758","159353,3","424034,12","140,32","0,04"
125,Hausen b. Würzburg,Landkreis Würzburg,49.9040112079748,10.0067523600372,,very low,C,3022,"0,6587","119428,61",181320,60,"0,04"
126,Weisendorf,Landkreis Erlangen-Höchstadt,49.61764549112501,10.841702610566935,,very low,H,4319,"0,5835","151203,43",259140,60,"0,04"
127,Weisendorf,Landkreis Erlangen-Höchstadt,49.59472530869877,10.81904854273338,,very low,E,4319,"0,2354","210431,81","893758,1","206,94","0,04"
128,Puschendorf,Landkreis Fürth,49.52596495956764,10.834229527198405,,very low,C,4602,"0,2634","97854,04","371565,02","80,74","0,04"
129,Henfenfeld,Landkreis Nürnberger Land,49.49386108836847,11.390141329969982,,very low,E,3585,"0,1121","33882,39","302153,73","84,28","0,04"
130,Hersbruck,Landkreis Nürnberger Land,49.5186992902828,11.401920855814316,,very low,A,3585,"0,5095","109594,03",215100,60,"0,04"
131,Hersbruck,Landkreis Nürnberger Land,49.52443162716186,11.447359201973034,,very low,D,3585,"0,6967","149850,26",215100,60,"0,04"
132,Hersbruck,Landkreis Nürnberger Land,49.49878588264746,11.442416694111678,,very low,D,3585,"0,2785","59908,62",215100,60,"0,04"
133,Kirchensittenbach,Landkreis Nürnberger Land,49.59789160183482,11.43687392017961,,very low,H,3585,"0,2039","59941,77","293932,22","81,99","0,04"
134,Simmelsdorf,Landkreis Nürnberger Land,49.63198004086837,11.31961162841036,,very low,H,3585,"0,5224","134898,11","258220,52","72,03","0,04"
135,Schnaittach,Landkreis Nürnberger Land,49.57889291857686,11.388701786768271,,very low,G,3585,"0,152","62564,7","411734,13","114,85","0,04"
136,Schnaittach,Landkreis Nürnberger Land,49.61356695704074,11.418817357013866,,very low,D,3585,"0,1798","153557,04","854008,13","238,22","0,04"
137,Eckental,Landkreis Erlangen-Höchstadt,49.56402320964055,11.191713498758212,,very low,A,4319,"0,5272","145313,59","275610,64","63,81","0,04"
138,Eckental,Landkreis Erlangen-Höchstadt,49.578124847469056,11.271709221437163,,very low,F,4319,"0,1204","172046,46","1429266,94","330,93","0,04"
139,Eckental,Landkreis Erlangen-Höchstadt,49.58265878840731,11.19666641105284,,very low,E,4319,"0,1975","77698,97","393366,48","91,08","0,04"
140,Eckental,Landkreis Erlangen-Höchstadt,49.58355358306339,11.243567253408292,,very low,B,4319,"0,4259","110365,85",259140,60,"0,04"
141,Aurachtal,Landkreis Erlangen-Höchstadt,49.57669870920353,10.825457782601648,,very low,A,4319,"0,6871","178064,19",259140,60,"0,04"
142,Großenseebach,Landkreis Erlangen-Höchstadt,49.61710065795014,10.879770739318657,,very low,C,4319,"0,7256","252930,56","348572,28","80,71","0,04"
143,Herzogenaurach,Landkreis Erlangen-Höchstadt,49.60447617088918,10.846344700174292,,very low,D,4319,"0,4477","116009,47",259140,60,"0,04"
144,Herzogenaurach,Landkreis Erlangen-Höchstadt,49.56901891832418,10.886482097502997,,very low,H,4319,"0,2455","83243,32","339131,53","78,52","0,04"
145,Herzogenaurach,Landkreis Erlangen-Höchstadt,49.55185419180787,10.888861160960383,,very low,E,4319,"0,6595","196533,27","297989,74",69,"0,04"
146,Herzogenaurach,Landkreis Erlangen-Höchstadt,49.56896132271135,10.855656647603128,,very low,D,4319,"0,1738","98725,16","567983,64","131,51","0,04"
147,Herzogenaurach,Landkreis Erlangen-Höchstadt,49.57163539779987,10.89653663988916,,very low,A,4319,"0,1085","52590,6","484872,44","112,26","0,04"
148,Herzogenaurach,Landkreis Erlangen-Höchstadt,49.55118374823773,10.846250310627417,,very low,D,4319,"0,6897","240028,19","348005,7","80,58","0,04"
149,Heßdorf,Landkreis Erlangen-Höchstadt,49.6562441349056,10.879429293127131,,very low,D,4319,"0,5122","132722,57",259140,60,"0,04"
150,Röttenbach,Landkreis Erlangen-Höchstadt,49.67238353091323,10.92670731351844,,very low,F,4319,"0,1214","204738,76","1687105,06","390,62","0,04"
151,Hemhofen,Landkreis Erlangen-Höchstadt,49.68484772231877,10.9378572179321,,very low,G,4319,"0,5309","213994,64","403041,61","93,32","0,04"
152,Adelsdorf,Landkreis Erlangen-Höchstadt,49.708570528491045,10.885367615096706,,very low,H,4319,"0,2027","52539,8",259140,60,"0,04"
153,Adelsdorf,Landkreis Erlangen-Höchstadt,49.68987613278638,10.909073516522724,,very low,H,4319,"0,1224","153626,78","1255007,06","290,58","0,04"
154,Zirndorf,Landkreis Fürth,49.44294589901155,10.952878271727156,,very low,C,4602,"0,2351","84589,62","359832,52","78,19","0,04"
155,Zirndorf,Landkreis Fürth,49.43344346086475,10.942698335709784,,very low,A,4602,"0,316","214796,36","679710,99","147,7","0,04"
156,Zirndorf,Landkreis Fürth,49.44862574590348,10.902788624957118,,very low,A+,4602,"0,5941","164055,53",276120,60,"0,04"
157,Zirndorf,Landkreis Fürth,49.43400780939992,10.945228552800362,,very low,A,4602,"0,4738","130819,96",276120,60,"0,04"
158,Zirndorf,Landkreis Fürth,49.44850988805071,10.945191092714763,,very low,D,4602,"0,1609","138874,06","863356,28","187,6","0,04"
159,Zirndorf,Landkreis Fürth,49.416837378094016,10.93596868468995,,very low,A,4602,"0,6519",180013,276120,60,"0,04"
160,Zirndorf,Landkreis Fürth,49.432525662278096,10.939097022541604,,very low,H,4602,"0,4664","134599,34","288613,45","62,71","0,04"
161,Oberasbach,Landkreis Fürth,49.41909208217746,10.981783342739796,,very low,E,4602,"0,4729","143619,31","303680,76","65,99","0,04"
162,Oberasbach,Landkreis Fürth,49.41887038686081,10.96129615213668,,very low,C,4602,"0,7329","202356,95",276120,60,"0,04"
163,Oberasbach,Landkreis Fürth,49.42920497188639,10.949542459207985,,very low,B,4602,"0,5198","156600,32","301277,15","65,47","0,04"
164,Oberasbach,Landkreis Fürth,49.43015905839407,10.971812233518245,,very low,H,4602,"0,6018","166168,9",276120,60,"0,04"
165,Oberasbach,Landkreis Fürth,49.42678674419762,10.986025735632545,,very low,D,4602,"0,1146","118106,85","1030918,74","224,02","0,04"
166,Stein,Landkreis Fürth,49.3898462958967,10.947789091715183,,very low,D,4602,"0,43","118731,35",276120,60,"0,04"
167,Stein,Landkreis Fürth,49.39654823137244,10.923742369829109,,very low,A,4602,"0,4125","180038,23","436501,82","94,85","0,04"
168,Stein,Landkreis Fürth,49.41411019561806,11.006059090761756,,very low,E,4602,"0,1303","60534,97","464481,43","100,93","0,04"
169,Stein,Landkreis Fürth,49.39814204109528,10.938656594177164,,very low,H,4602,"0,7035","264579,73","376084,97","81,72","0,04"
170,Ammerndorf,Landkreis Fürth,49.42744538790724,10.852037905640648,,very low,C,4602,"0,3157","95902,41","303760,97","66,01","0,04"
171,Langenzenn,Landkreis Fürth,49.45785249972266,10.765103559125714,,very low,E,4602,"0,5509","154652,09","280736,15",61,"0,04"
172,Langenzenn,Landkreis Fürth,49.49987672612504,10.811982633958392,,very low,C,4602,"0,6673","184262,63",276120,60,"0,04"
173,Langenzenn,Landkreis Fürth,49.50024916650239,10.7622935935599,,very low,C,4602,"0,6981","192763,92",276120,60,"0,04"
174,Bubenreuth,Landkreis Erlangen-Höchstadt,49.62242751370171,11.003713066361074,,very low,H,4319,"0,0782","93608,58","1196864,7","277,12","0,04"
175,Baiersdorf,Landkreis Erlangen-Höchstadt,49.66810605730714,11.039330270940098,,very low,F,4319,"0,4224","109454,98",259140,60,"0,04"
176,Baiersdorf,Landkreis Erlangen-Höchstadt,49.65911935672197,11.059413565179083,,very low,G,4319,"0,3983","164109,49","412067,55","95,41","0,04"
177,Altdorf bei Nürnberg,Landkreis Nürnberger Land,49.38027725942457,11.40871798522604,,very low,F,3585,"0,2722","108480,68","398532,99","111,17","0,04"
178,Altdorf bei Nürnberg,Landkreis Nürnberger Land,49.40315785941858,11.40908479786127,,very low,C,3585,"0,5269","113331,64",215100,60,"0,04"
179,Altdorf bei Nürnberg,Landkreis Nürnberger Land,49.413568114539856,11.403482724005803,,very low,E,3585,"0,2243","99950,81","445566,42","124,29","0,04"
180,Altdorf bei Nürnberg,Landkreis Nürnberger Land,49.38992532807489,11.37549159401918,,very low,D,3585,"0,6941","166036,52",239203,"66,72","0,04"
181,Schwarzenbruck,Landkreis Nürnberger Land,49.364554438994325,11.278389306752183,,very low,A,3585,"0,5798","124706,8",215100,60,"0,04"
182,Schwarzenbruck,Landkreis Nürnberger Land,49.36985446051446,11.261124142312376,,very low,E,3585,"0,4782","128260,78","268232,15","74,82","0,04"
183,Lauben,Landkreis Oberallgäu,47.79377186157209,10.287930309354868,HQ 500,very low,F,4851,"0,6114","177943,48",291060,60,"0,04"
184,Memmingen,,48.0300823033412,10.194814973702698,,very low,A,3862,"0,1653","62498,08","378016,44","97,88","0,04"
185,Memmingen,,47.99630440334956,10.158403201104274,,very low,F,3862,"0,5153","119401,01",231720,60,"0,04"
186,Memmingen,,47.9965484800664,10.19086077280094,,very low,E,3862,"0,1626","118536,09","729120,88","188,79","0,04"
187,Memmingen,,48.02309292771946,10.150627666255604,,very low,G,3862,"0,3902","127279,21","326201,82","84,46","0,04"
188,Memmingen,,47.98628149712607,10.186606831020487,,very low,F,3862,"0,5164","119663,63",231720,60,"0,04"
189,Memmingen,,47.93876730108073,10.125498860123706,,very low,H,3862,"0,4069","94296,07",231720,60,"0,04"
190,Memmingen,,47.9696993786464,10.135072291237895,,very low,D,3862,"0,4799","111207,77",231720,60,"0,04"
191,Memmingen,,48.01045799184234,10.194385181079506,,very low,C,3862,"0,2805","64993,83",231720,60,"0,04"
192,Memmingen,,47.98796113154863,10.147971976454516,,very low,H,3862,"0,3334","77265,02",231720,60,"0,04"
193,Memmingen,,48.00475599188902,10.206227118427323,,very low,E,3862,"0,6904","196724,75","284944,14","73,78","0,04"
194,Memmingen,,47.98077964978182,10.169349463981392,,very low,F,3862,"0,0971","62648,76","645283,26","167,09","0,04"
195,Kaufbeuren,,47.87428642346524,10.64645019049516,,very low,G,3716,"0,3889","86698,56",222960,60,"0,04"
196,Kaufbeuren,,47.87165162648677,10.636170393184956,,very low,B,3716,"0,6367","141958,31",222960,60,"0,04"
197,Kaufbeuren,,47.86416954477423,10.583811171898615,,very low,D,3716,"0,477","106352,38",222960,60,"0,04"
